,AZSSG2REHDX18,ACBG07QLGIDP0,AJE5OG666CBAC
13622,-100.0,-100.0,-100.0
13638,-100.0,-100.0,-100.0
13655,-100.0,-100.0,-100.0
13672,-100.0,-100.0,-100.0
13689,-100.0,-100.0,-100.0
13705,-100.0,-100.0,-100.0
13722,-100.0,-100.0,-100.0
13738,-100.0,-100.0,-100.0
13755,-100.0,-100.0,-100.0
13772,-100.0,-100.0,-100.0
13789,-100.0,-100.0,-100.0
13805,-100.0,-100.0,-100.0
13823,-100.0,-100.0,-100.0
13838,-100.0,-100.0,-100.0
13855,-100.0,-100.0,-100.0
13872,-100.0,-100.0,-100.0
13888,-100.0,-100.0,-100.0
13905,-100.0,-100.0,-100.0
13922,-100.0,-100.0,-100.0
13939,-100.0,-100.0,-100.0
15405,-100.0,-100.0,-100.0
15422,-100.0,-100.0,-100.0
15438,-100.0,-100.0,-100.0
15455,-100.0,-100.0,-100.0
15472,-100.0,-100.0,-100.0
15488,-100.0,-100.0,-100.0
15505,-100.0,-100.0,-100.0
15522,-100.0,-100.0,-100.0
15538,-100.0,-100.0,-100.0
15555,-100.0,-100.0,-100.0
15572,-100.0,-100.0,-100.0
15588,-100.0,-100.0,-100.0
15605,-100.0,-100.0,-100.0
15622,-100.0,-100.0,-100.0
15638,-100.0,-100.0,-100.0
15655,-100.0,-100.0,-100.0
15672,-100.0,-100.0,-100.0
15688,-100.0,-100.0,-100.0
15705,-100.0,-100.0,-100.0
15722,-100.0,-100.0,-100.0
15738,-100.0,-100.0,-100.0
15755,-100.0,-100.0,-100.0
15772,-100.0,-100.0,-100.0
15788,-100.0,-100.0,-100.0
15805,-100.0,-100.0,-100.0
15822,-100.0,-100.0,-100.0
16138,-100.0,-100.0,-100.0
16157,-100.0,-100.0,-100.0
16172,-100.0,-100.0,-100.0
16189,-100.0,-100.0,-100.0
16205,-100.0,-100.0,-100.0
16222,-100.0,-100.0,-100.0
16238,-100.0,-100.0,-100.0
16255,-100.0,-100.0,-100.0
16272,-100.0,-100.0,-100.0
16288,-100.0,-100.0,-100.0
16305,-100.0,-100.0,-100.0
16322,-100.0,-100.0,-100.0
80856,-100.0,-100.0,-100.0
80873,-100.0,-100.0,-100.0
80889,-100.0,-100.0,-100.0
80906,-100.0,-100.0,-100.0
80922,-100.0,-100.0,-100.0
80939,-100.0,-100.0,-100.0
80956,-100.0,-100.0,-100.0
80972,-100.0,-100.0,-100.0
80989,-100.0,-100.0,-100.0
81006,-100.0,-100.0,-100.0
81022,-100.0,-100.0,-100.0
81039,-100.0,-100.0,-100.0
81056,-100.0,-100.0,-100.0
81072,-100.0,-100.0,-100.0
81083,-100.0,-100.0,-100.0
81089,-100.0,-100.0,-100.0
81100,-100.0,-100.0,-100.0
81106,-100.0,-100.0,-100.0
81116,-100.0,-100.0,-100.0
81122,-100.0,-100.0,-100.0
81132,-100.0,-100.0,-100.0
81139,-100.0,-100.0,-100.0
81149,-100.0,-100.0,-100.0
81156,-100.0,-100.0,-100.0
81161,-100.0,-100.0,-100.0
81165,-100.0,-100.0,-100.0
81172,-100.0,-100.0,-100.0
81176,-100.0,-100.0,-100.0
81179,-100.0,-100.0,-100.0
81182,-100.0,-100.0,-100.0
81189,-100.0,-100.0,-100.0
81191,-100.0,-100.0,-100.0
81194,-100.0,-100.0,-100.0
81199,-100.0,-100.0,-100.0
81206,-100.0,-100.0,-100.0
81208,-100.0,-100.0,-100.0
81211,-100.0,-100.0,-100.0
81216,-100.0,-100.0,-100.0
81222,-100.0,-100.0,-100.0
81225,-100.0,-100.0,-100.0
81228,-100.0,-100.0,-100.0
81232,-100.0,-100.0,-100.0
81239,-100.0,-100.0,-100.0
81241,-100.0,-100.0,-100.0
81245,-100.0,-100.0,-100.0
81249,-100.0,-100.0,-100.0
81256,-100.0,-100.0,-100.0
81258,-100.0,-100.0,-100.0
81261,-100.0,-100.0,-100.0
81265,-100.0,-100.0,-100.0
81272,-100.0,-100.0,-100.0
81275,-100.0,-100.0,-100.0
81278,-100.0,-100.0,-100.0
81282,-100.0,-100.0,-100.0
81289,-100.0,-100.0,-100.0
81292,-100.0,-100.0,-100.0
81295,-100.0,-100.0,-100.0
81299,-100.0,-100.0,-100.0
81306,-100.0,-100.0,-100.0
81308,-100.0,-100.0,-100.0
81311,-100.0,-100.0,-100.0
81315,-100.0,-100.0,-100.0
81322,-100.0,-100.0,-100.0
81325,-100.0,-100.0,-100.0
81328,-100.0,-100.0,-100.0
81332,-100.0,-100.0,-100.0
81339,-100.0,-100.0,-100.0
81341,-100.0,-100.0,-100.0
81344,-100.0,-100.0,-100.0
81349,-100.0,-100.0,-100.0
81356,-100.0,-100.0,-100.0
81358,-100.0,-100.0,-100.0
81361,-100.0,-100.0,-100.0
81366,-100.0,-100.0,-100.0
81372,-100.0,-100.0,-100.0
81375,-100.0,-100.0,-100.0
81378,-100.0,-100.0,-100.0
81382,-100.0,-100.0,-100.0
81389,-100.0,-100.0,-100.0
81391,-100.0,-100.0,-100.0
81394,-100.0,-100.0,-100.0
81399,-100.0,-100.0,-100.0
81406,-100.0,-100.0,-100.0
81408,-100.0,-100.0,-100.0
81411,-100.0,-100.0,-100.0
81416,-100.0,-100.0,-100.0
81422,-100.0,-100.0,-100.0
81427,-100.0,-100.0,-100.0
81432,-100.0,-100.0,-100.0
81439,-100.0,-100.0,-100.0
81449,-100.0,-100.0,-100.0
81457,-100.0,-100.0,-100.0
81459,-100.0,-100.0,-100.0
81464,-100.0,-100.0,-100.0
81466,-100.0,-100.0,-100.0
81472,-100.0,-100.0,-100.0
81482,-100.0,-100.0,-100.0
81489,-100.0,-100.0,-100.0
81492,-100.0,-100.0,-100.0
81495,-100.0,-100.0,-100.0
81499,-100.0,-100.0,-100.0
81506,-100.0,-100.0,-100.0
81509,-100.0,-100.0,-100.0
81511,-100.0,-100.0,-100.0
81516,-100.0,-100.0,-100.0
81525,-100.0,-100.0,-100.0
81528,-100.0,-100.0,-100.0
81533,-100.0,-100.0,-100.0
81541,-100.0,-100.0,-100.0
81545,-100.0,-100.0,-100.0
81549,-100.0,-100.0,-100.0
81559,-100.0,-100.0,-100.0
81562,-100.0,-100.0,-100.0
81566,-100.0,-100.0,-100.0
81575,-100.0,-100.0,-100.0
81579,-100.0,-100.0,-100.0
81582,-100.0,-100.0,-100.0
81591,-100.0,-100.0,-100.0
81594,-100.0,-100.0,-100.0
81599,-100.0,-100.0,-100.0
81608,-100.0,-100.0,-100.0
81610,-100.0,-100.0,-100.0
81616,-100.0,-100.0,-100.0
81624,-100.0,-100.0,-100.0
81627,-100.0,-100.0,-100.0
81632,-100.0,-100.0,-100.0
81641,-100.0,-100.0,-100.0
81644,-100.0,-100.0,-100.0
81649,-100.0,-100.0,-100.0
81658,-100.0,-100.0,-100.0
81661,-100.0,-100.0,-100.0
81666,-100.0,-100.0,-100.0
81674,-100.0,-100.0,-100.0
81677,-100.0,-100.0,-100.0
81691,-100.0,-100.0,-100.0
81694,-100.0,-100.0,-100.0
81709,-100.0,-100.0,-100.0
81711,-100.0,-100.0,-100.0
81727,-100.0,-100.0,-100.0
81729,-100.0,-100.0,-100.0
81741,-100.0,-100.0,-100.0
81745,-100.0,-100.0,-100.0
81760,-100.0,-100.0,-100.0
81762,-100.0,-100.0,-100.0
81774,-100.0,-100.0,-100.0
81778,-100.0,-100.0,-100.0
81792,-100.0,-100.0,-100.0
81794,-100.0,-100.0,-100.0
81810,-100.0,-100.0,-100.0
81813,-100.0,-100.0,-100.0
81825,-100.0,-100.0,-100.0
81829,-100.0,-100.0,-100.0
81841,-100.0,-100.0,-100.0
81844,-100.0,-100.0,-100.0
81860,-100.0,-100.0,-100.0
81862,-100.0,-100.0,-100.0
81874,-100.0,-100.0,-100.0
81877,-100.0,-100.0,-100.0
81891,-100.0,-100.0,-100.0
81894,-100.0,-100.0,-100.0
81908,-100.0,-100.0,-100.0
81912,-100.0,-100.0,-100.0
81924,-100.0,-100.0,-100.0
81927,-100.0,-100.0,-100.0
81941,-100.0,-100.0,-100.0
81943,-100.0,-100.0,-100.0
81957,-100.0,-100.0,-100.0
81960,-100.0,-100.0,-100.0
81974,-100.0,-100.0,-100.0
81977,-100.0,-100.0,-100.0
81991,-100.0,-100.0,-100.0
81994,-100.0,-100.0,-100.0
82007,-100.0,-100.0,-100.0
82010,-100.0,-100.0,-100.0
82024,-100.0,-100.0,-100.0
82027,-100.0,-100.0,-100.0
82041,-100.0,-100.0,-100.0
82044,-100.0,-100.0,-100.0
82056,-100.0,-100.0,-100.0
82057,-100.0,-100.0,-100.0
82060,-100.0,-100.0,-100.0
82073,-100.0,-100.0,-100.0
82074,-100.0,-100.0,-100.0
82076,-100.0,-100.0,-100.0
82078,-100.0,-100.0,-100.0
82089,-100.0,-100.0,-100.0
82091,-100.0,-100.0,-100.0
82094,-100.0,-100.0,-100.0
82106,-100.0,-100.0,-100.0
82109,-100.0,-100.0,-100.0
82111,-100.0,-100.0,-100.0
82122,-100.0,-100.0,-100.0
82124,-100.0,-100.0,-100.0
82126,-100.0,-100.0,-100.0
82127,-100.0,-100.0,-100.0
82139,-100.0,-100.0,-100.0
82141,-100.0,-100.0,-100.0
82144,-100.0,-100.0,-100.0
82156,-100.0,-100.0,-100.0
82157,-100.0,-100.0,-100.0
82164,-100.0,-100.0,-100.0
82172,-100.0,-100.0,-100.0
82177,-100.0,-100.0,-100.0
82179,-100.0,-100.0,-100.0
82189,-100.0,-100.0,-100.0
82191,-100.0,-100.0,-100.0
82193,-100.0,-100.0,-100.0
82206,-100.0,-100.0,-100.0
82207,-100.0,-100.0,-100.0
82210,-100.0,-100.0,-100.0
82222,-100.0,-100.0,-100.0
82224,-100.0,-100.0,-100.0
82226,-100.0,-100.0,-100.0
82239,-100.0,-100.0,-100.0
82241,-100.0,-100.0,-100.0
82244,-100.0,-100.0,-100.0
82256,-100.0,-100.0,-100.0
82257,-100.0,-100.0,-100.0
82260,-100.0,-100.0,-100.0
82274,-100.0,-100.0,-100.0
82275,-100.0,-100.0,-100.0
82276,-100.0,-100.0,-100.0
82289,-100.0,-100.0,-100.0
82290,-100.0,-100.0,-100.0
82293,-100.0,-100.0,-100.0
82294,-100.0,-100.0,-100.0
82307,-100.0,-100.0,-100.0
82309,-100.0,-100.0,-100.0
82324,-100.0,-100.0,-100.0
82326,-100.0,-100.0,-100.0
82341,-100.0,-100.0,-100.0
82343,-100.0,-100.0,-100.0
82357,-100.0,-100.0,-100.0
82359,-100.0,-100.0,-100.0
82374,-100.0,-100.0,-100.0
82376,-100.0,-100.0,-100.0
82392,-100.0,-100.0,-100.0
82394,-100.0,-100.0,-100.0
82407,-100.0,-100.0,-100.0
82410,-100.0,-100.0,-100.0
82411,-100.0,-100.0,-100.0
82417,-100.0,-100.0,-100.0
82426,-100.0,-100.0,-100.0
82428,-100.0,-100.0,-100.0
82429,-100.0,-100.0,-100.0
82434,-100.0,-100.0,-100.0
82442,-100.0,-100.0,-100.0
82444,-100.0,-100.0,-100.0
82445,-100.0,-100.0,-100.0
82450,-100.0,-100.0,-99.9090909090909
82459,-100.0,-100.0,-99.81818181818181
82460,-100.0,-100.0,-99.72727272727273
82461,-100.0,-100.0,-99.63636363636364
82467,-100.0,-100.0,-99.54545454545455
82475,-100.0,-100.0,-99.45454545454545
82477,-100.0,-100.0,-99.36363636363636
82478,-100.0,-100.0,-99.27272727272727
82483,-100.0,-100.0,-99.18181818181819
82491,-100.0,-100.0,-99.0909090909091
82492,-100.0,-100.0,-99.0
82495,-100.0,-100.0,-98.57142857142857
82500,-100.0,-100.0,-98.14285714285714
82508,-100.0,-100.0,-97.71428571428571
82510,-100.0,-100.0,-97.28571428571429
82517,-100.0,-100.0,-96.85714285714286
82524,-100.0,-100.0,-96.42857142857143
82527,-100.0,-100.0,-96.0
82534,-100.0,-100.0,-95.77777777777777
82541,-100.0,-100.0,-95.55555555555556
82543,-100.0,-100.0,-95.33333333333333
82550,-100.0,-100.0,-95.11111111111111
82558,-100.0,-100.0,-94.88888888888889
82560,-100.0,-100.0,-94.66666666666667
82564,-100.0,-100.0,-94.44444444444444
82567,-100.0,-100.0,-94.22222222222223
82573,-100.0,-100.0,-94.0
82574,-100.0,-100.0,-93.98113207547169
82576,-100.0,-100.0,-93.9622641509434
82578,-100.0,-100.0,-93.94339622641509
82583,-100.0,-100.0,-93.9245283018868
82590,-100.0,-100.0,-93.90566037735849
82592,-100.0,-100.0,-93.88679245283019
82596,-100.0,-100.0,-93.86792452830188
82600,-100.0,-100.0,-93.84905660377359
82607,-100.0,-100.0,-93.83018867924528
82609,-100.0,-100.0,-93.81132075471699
82617,-100.0,-100.0,-93.79245283018868
82623,-100.0,-100.0,-93.77358490566037
82626,-100.0,-100.0,-93.75471698113208
82628,-100.0,-100.0,-93.73584905660377
82634,-100.0,-100.0,-93.71698113207547
82640,-100.0,-100.0,-93.69811320754717
82643,-100.0,-100.0,-93.67924528301887
82650,-100.0,-100.0,-93.66037735849056
82657,-100.0,-100.0,-93.64150943396227
82659,-100.0,-100.0,-93.62264150943396
82667,-100.0,-100.0,-93.60377358490567
82674,-100.0,-100.0,-93.58490566037736
82676,-100.0,-100.0,-93.56603773584905
82684,-100.0,-100.0,-93.54716981132076
82690,-100.0,-100.0,-93.52830188679245
82693,-100.0,-100.0,-93.50943396226415
82700,-100.0,-100.0,-93.49056603773585
82708,-100.0,-100.0,-93.47169811320755
82710,-100.0,-100.0,-93.45283018867924
82717,-100.0,-100.0,-93.43396226415095
82724,-100.0,-100.0,-93.41509433962264
82726,-100.0,-100.0,-93.39622641509433
82734,-100.0,-100.0,-93.37735849056604
82741,-100.0,-100.0,-93.35849056603773
82744,-100.0,-100.0,-93.33962264150944
82750,-100.0,-100.0,-93.32075471698113
82757,-100.0,-100.0,-93.30188679245283
82759,-100.0,-100.0,-93.28301886792453
82767,-100.0,-100.0,-93.26415094339623
82773,-100.0,-100.0,-93.24528301886792
82777,-100.0,-100.0,-93.22641509433963
82784,-100.0,-100.0,-93.20754716981132
82790,-100.0,-100.0,-93.18867924528301
82792,-100.0,-100.0,-93.16981132075472
82800,-100.0,-100.0,-93.15094339622641
82807,-100.0,-100.0,-93.13207547169812
82809,-100.0,-100.0,-93.11320754716981
82817,-100.0,-100.0,-93.09433962264151
82823,-100.0,-100.0,-93.0754716981132
82826,-100.0,-100.0,-93.05660377358491
82834,-100.0,-100.0,-93.0377358490566
82840,-100.0,-100.0,-93.01886792452831
