,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
42933,-31.0,-93.0,37.0,
42946,-31.0,-93.0,38.0,
42950,-31.0,-93.0,38.0,
42965,-31.0,-93.0,39.0,
42969,-31.0,-93.0,39.0,
42980,-31.0,-93.0,40.0,
42997,-31.0,-93.0,40.0,
43011,-31.0,-93.0,41.0,
43016,-31.0,-93.0,41.0,
43027,-31.0,-93.0,42.0,
43032,-31.0,-93.0,42.0,
43044,-31.0,-93.0,43.0,
43050,-31.0,-93.0,43.0,
43061,-31.0,-93.0,45.0,
43068,-31.0,-93.0,45.0,
43078,-31.0,-93.0,46.0,
43082,-31.0,-93.0,46.0,
43094,-31.0,-93.0,47.0,
43099,-31.0,-93.0,47.0,
43111,-31.0,-93.0,48.0,
43118,-31.0,-93.0,48.0,
43128,-31.0,-93.0,49.0,
43133,-31.0,-93.0,49.0,
43144,-31.0,-93.0,50.0,
43149,-31.0,-93.0,50.0,
43162,-31.0,-93.0,51.0,
43166,-31.0,-93.0,51.0,
43179,-31.0,-93.0,52.0,
43198,-31.0,-93.0,52.0,
43211,-31.0,-93.0,54.0,
43217,-31.0,-93.0,54.0,
43231,-31.0,-93.0,55.0,
43236,-31.0,-93.0,55.0,
43245,-31.0,-93.0,56.0,
43249,-31.0,-93.0,56.0,
43261,-31.0,-93.0,57.0,
43267,-31.0,-93.0,57.0,
43278,-31.0,-93.0,58.0,
43282,-31.0,-93.0,58.0,
43294,-31.0,-93.0,59.0,
43301,-31.0,-93.0,59.0,
43311,-31.0,-93.0,60.0,
43316,-31.0,-93.0,60.0,
43328,-31.0,-93.0,61.0,
43332,-31.0,-93.0,61.0,
43345,-31.0,-93.0,62.0,
43350,-31.0,-93.0,62.0,
43361,-31.0,-93.0,64.0,
43366,-31.0,-93.0,64.0,
43378,-31.0,-93.0,65.0,
43383,-31.0,-93.0,65.0,
43395,-31.0,-93.0,66.0,
43400,-31.0,-93.0,66.0,
43411,-31.0,-93.0,67.0,
43415,-31.0,-93.0,67.0,
43428,-31.0,-93.0,68.0,
43433,-31.0,-93.0,68.0,
43445,-31.0,-93.0,69.0,
43449,-31.0,-93.0,69.0,
43461,-31.0,-93.0,70.0,
43466,-31.0,-93.0,70.0,
43481,-31.0,-93.0,71.0,
43485,-31.0,-93.0,71.0,
43500,-31.0,-93.0,73.0,
43520,-31.0,-93.0,73.0,
43531,-31.0,-93.0,74.0,
43535,-31.0,-93.0,74.0,
43545,-31.0,-93.0,75.0,
43550,-31.0,-93.0,75.0,
43563,-31.0,-93.0,76.0,
43569,-31.0,-93.0,76.0,
43578,-31.0,-93.0,77.0,
43582,-31.0,-93.0,77.0,
43595,-31.0,-93.0,78.0,
43601,-31.0,-93.0,78.0,
43612,-31.0,-93.0,79.0,
43616,-31.0,-93.0,79.0,
43629,-31.0,-93.0,80.0,
43634,-31.0,-93.0,80.0,
43647,-31.0,-93.0,81.0,
43652,-31.0,-93.0,81.0,
43662,-31.0,-93.0,83.0,
43667,-31.0,-93.0,83.0,
43678,-31.0,-93.0,84.0,
43683,-31.0,-93.0,84.0,
43695,-31.0,-93.0,85.0,
43701,-31.0,-93.0,85.0,
43712,-31.0,-93.0,86.0,
43718,-31.0,-93.0,86.0,
43729,-31.0,-93.0,87.0,
43734,-31.0,-93.0,87.0,
43745,-31.0,-93.0,88.0,
43749,-31.0,-93.0,88.0,
43762,-31.0,-93.0,89.0,
43768,-31.0,-93.0,89.0,
43782,-31.0,-93.0,90.0,
43786,-31.0,-93.0,90.0,
43795,-31.0,-93.0,91.0,
43800,-31.0,-93.0,91.0,
43801,-31.0,-93.0,91.0,
43815,-31.0,-93.0,92.0,
43820,-31.0,-93.0,92.0,
43832,-31.0,-93.0,92.5,
43834,-31.0,-93.0,93.0,
43848,-31.0,-93.0,93.0,
43865,-31.0,-93.0,93.0,
43873,-31.0,-93.0,93.0,
43882,-31.0,-93.0,94.0,
43887,-31.0,-93.0,94.0,
43898,-31.0,-93.0,94.5,
43899,-31.0,-93.0,95.0,
43904,-31.0,-93.0,95.0,
43914,-31.0,-93.0,96.0,
43916,-31.0,-93.0,96.0,
43918,-31.0,-93.0,96.0,
43931,-31.0,-93.0,97.0,
43932,-31.0,-93.0,97.0,
43939,-31.0,-93.0,97.0,
43948,-31.0,-93.0,98.0,
43955,-31.0,-93.0,98.0,
43966,-31.0,-93.0,98.5,
43974,-31.0,-93.0,99.0,
43982,-31.0,-93.0,99.0,
43999,-31.0,-93.0,100.0,
44314,-31.0,-93.0,100.0,
44334,-31.0,-93.0,100.0,
44348,-31.0,-93.0,100.0,
44364,-31.0,-93.0,100.0,
44381,-31.0,-93.0,100.0,
44398,-31.0,-93.0,100.0,
44414,-31.0,-93.0,100.0,
44431,-31.0,-93.0,100.0,
44448,-31.0,-93.0,100.0,
49410,-31.0,-93.0,100.0,
49428,-31.0,-93.0,100.0,
49460,-31.0,-93.0,100.0,
49477,-31.0,-93.0,100.0,
49493,-31.0,-93.0,100.0,
49510,-31.0,-93.0,100.0,
49529,-30.0,-93.0,100.0,
49560,-29.0,-93.0,100.0,
49577,-28.0,-93.0,100.0,
49609,-26.0,-93.0,100.0,
49627,-25.0,-93.0,100.0,
49643,-24.0,-93.0,100.0,
49659,-22.0,-93.0,100.0,
49676,-21.0,-93.0,100.0,
49692,-20.0,-93.0,100.0,
49727,-18.0,-93.0,100.0,
49743,-17.0,-93.0,100.0,
49760,-16.0,-93.0,100.0,
49777,-15.0,-93.0,100.0,
49793,-14.0,-93.0,100.0,
49810,-12.0,-93.0,100.0,
49828,-11.0,-93.0,100.0,
49861,-9.0,-93.0,100.0,
49893,-7.0,-93.0,100.0,
49914,-6.0,-93.0,100.0,
49944,-5.0,-93.0,100.0,
49961,-3.0,-93.0,100.0,
49993,-1.0,-93.0,100.0,
50010,0.0,-93.0,100.0,
50027,1.0,-93.0,100.0,
50060,3.0,-93.0,100.0,
50077,4.0,-93.0,100.0,
50094,6.0,-93.0,100.0,
50109,7.0,-93.0,100.0,
50142,9.0,-93.0,100.0,
50160,10.0,-93.0,100.0,
50177,11.0,-93.0,100.0,
50194,12.0,-93.0,100.0,
50227,14.0,-93.0,100.0,
50243,15.0,-93.0,100.0,
50260,17.0,-93.0,100.0,
50277,18.0,-93.0,100.0,
50309,20.0,-93.0,100.0,
50327,21.0,-93.0,100.0,
50344,22.0,-93.0,100.0,
51028,22.0,-93.0,100.0,
51062,24.0,-93.0,100.0,
51078,25.0,-93.0,100.0,
51095,26.0,-93.0,100.0,
51113,26.0,-93.0,100.0,
51178,30.0,-93.0,100.0,
51210,32.0,-93.0,100.0,
51225,32.5,-93.0,100.0,
51229,33.0,-93.0,100.0,
51243,33.666666666666664,-93.0,100.0,
51258,34.333333333333336,-93.0,100.0,
51269,35.0,-93.0,100.0,
51275,35.333333333333336,-93.0,100.0,
51292,35.666666666666664,-93.0,100.0,
51294,36.0,-93.0,100.0,
51308,37.0,-93.0,100.0,
51310,38.0,-93.0,100.0,
51325,38.5,-93.0,100.0,
51327,39.0,-93.0,100.0,
51341,40.0,-93.0,100.0,
51362,41.0,-93.0,100.0,
51400,42.0,-93.0,100.0,
51427,43.0,-93.0,100.0,
51445,44.0,-93.0,100.0,
51478,47.0,-93.0,100.0,
51495,48.0,-93.0,100.0,
51511,49.0,-93.0,100.0,
51528,50.0,-93.0,100.0,
51544,51.0,-93.0,100.0,
51561,52.0,-93.0,100.0,
51578,53.0,-93.0,100.0,
51595,55.0,-93.0,100.0,
51611,56.0,-93.0,100.0,
51628,57.0,-93.0,100.0,
52024,57.0,-93.0,100.0,
52042,57.0,-93.0,100.0,
52057,57.0,-93.0,100.0,
52074,57.0,-93.0,100.0,
52090,57.0,-93.0,100.0,
52108,57.0,-93.0,100.0,
52124,57.0,-93.0,100.0,
52140,57.0,-93.0,100.0,
52157,57.0,-93.0,100.0,
52956,57.0,-93.0,100.0,
52975,57.0,-93.0,100.0,
53006,57.0,-93.0,100.0,
53023,57.0,-93.0,100.0,
53039,57.0,-93.0,100.0,
53056,57.0,-93.0,100.0,
53090,57.0,-93.0,100.0,
53106,57.0,-93.0,100.0,
54797,57.0,-93.0,100.0,
54816,56.0,-93.0,100.0,
54864,55.0,-93.0,100.0,
54881,54.0,-93.0,100.0,
54897,52.0,-93.0,100.0,
54915,51.0,-93.0,100.0,
54931,50.0,-93.0,100.0,
54948,49.0,-93.0,100.0,
54982,47.0,-93.0,100.0,
54997,46.0,-93.0,100.0,
55031,44.0,-93.0,100.0,
55048,42.0,-93.0,100.0,
55064,41.0,-93.0,100.0,
55081,40.0,-93.0,100.0,
55115,38.0,-93.0,100.0,
55148,36.0,-93.0,100.0,
55165,35.0,-93.0,100.0,
55182,33.0,-93.0,100.0,
55198,32.0,-93.0,100.0,
55230,30.0,-93.0,100.0,
55248,29.0,-93.0,100.0,
55282,27.0,-93.0,100.0,
55321,26.0,-93.0,100.0,
55349,24.0,-93.0,100.0,
55770,24.0,-93.0,100.0,
55789,24.0,-93.0,100.0,
55804,24.0,-93.0,100.0,
55821,24.0,-93.0,100.0,
55837,24.0,-93.0,100.0,
55854,24.0,-93.0,100.0,
55870,24.0,-93.0,100.0,
55886,24.0,-93.0,100.0,
55903,24.0,-93.0,100.0,
55920,24.0,-93.0,100.0,
55937,24.0,-93.0,100.0,
55954,24.0,-93.0,100.0,
55970,24.0,-93.0,100.0,
55987,24.0,-93.0,100.0,
56003,24.0,-93.0,100.0,
56020,24.0,-93.0,100.0,
56037,24.0,-93.0,100.0,
56054,24.0,-93.0,100.0,
56070,24.0,-93.0,100.0,
56087,24.0,-93.0,100.0,
56103,24.0,-93.0,100.0,
56120,24.0,-93.0,100.0,
56136,24.0,-93.0,100.0,
56153,24.0,-93.0,100.0,
56171,24.0,-93.0,100.0,
56187,24.0,-93.0,100.0,
56203,24.0,-93.0,100.0,
56220,24.0,-93.0,100.0,
56237,24.0,-93.0,100.0,
56253,24.0,-93.0,100.0,
56270,24.0,-93.0,100.0,
56366,24.0,-93.0,100.0,
56422,23.0,-93.0,100.0,
56449,22.0,-93.0,100.0,
56467,20.0,-93.0,100.0,
56498,18.0,-93.0,100.0,
56517,17.0,-93.0,100.0,
56531,16.0,-93.0,100.0,
56550,15.0,-93.0,100.0,
56582,13.0,-93.0,100.0,
56599,12.0,-93.0,100.0,
56616,10.0,-93.0,100.0,
56633,9.0,-93.0,100.0,
56648,8.0,-93.0,100.0,
56666,7.0,-93.0,100.0,
56700,5.0,-93.0,100.0,
56744,4.0,-93.0,100.0,
56763,3.0,-93.0,100.0,
56776,3.0,-93.0,100.0,
56804,2.0,-93.0,100.0,
56821,2.0,-93.0,100.0,
56834,1.0,-93.0,100.0,
56861,1.0,-93.0,100.0,
56870,0.0,-93.0,100.0,
56871,,-93.0,100.0,
59135,,-93.0,100.0,
59136,-100.0,-93.0,100.0,
59155,-99.0,-93.0,100.0,
59225,-99.0,-93.0,100.0,
59245,-98.0,-93.0,100.0,
59270,-98.0,-93.0,100.0,
59281,-97.0,-93.0,100.0,
59303,-97.0,-93.0,100.0,
59311,-96.0,-93.0,100.0,
59347,-96.0,-93.0,100.0,
59359,-95.0,-93.0,100.0,
59947,-95.0,-93.0,100.0,
59963,-94.0,-93.0,100.0,
59985,-94.0,-93.0,100.0,
59993,-93.0,-93.0,100.0,
59999,-93.0,-93.0,100.0,
60046,-90.0,-93.0,100.0,
60071,-90.0,-93.0,100.0,
60080,-89.0,-93.0,100.0,
60095,-89.0,-93.0,100.0,
60107,-88.0,-93.0,100.0,
60118,-88.0,-93.0,100.0,
60125,-87.0,-93.0,100.0,
60131,-87.0,-93.0,100.0,
60142,-85.0,-93.0,100.0,
60148,-85.0,-93.0,100.0,
60160,-84.0,-93.0,100.0,
60198,-84.0,-93.0,100.0,
60217,-83.0,-93.0,100.0,
60699,-83.0,-93.0,100.0,
60709,-82.0,-93.0,100.0,
60717,-82.0,-93.0,100.0,
60724,-81.0,-93.0,100.0,
60730,-81.0,-93.0,100.0,
60741,-80.0,-93.0,100.0,
60750,-80.0,-93.0,100.0,
60758,-79.0,-93.0,100.0,
60765,-79.0,-93.0,100.0,
60775,-78.0,-93.0,100.0,
60782,-78.0,-93.0,100.0,
60791,-77.0,-93.0,100.0,
60797,-77.0,-93.0,100.0,
60808,-76.0,-93.0,100.0,
60816,-76.0,-93.0,100.0,
60824,-75.0,-93.0,100.0,
60851,-75.0,-93.0,100.0,
60865,-74.0,-93.0,100.0,
61120,-74.0,-93.0,100.0,
61136,-73.0,-93.0,100.0,
61172,-73.0,-93.0,100.0,
61183,-72.0,-93.0,100.0,
61221,-72.0,-93.0,100.0,
61233,-71.0,-93.0,100.0,
61260,-71.0,-93.0,100.0,
61266,-70.0,-93.0,100.0,
61479,-70.0,-93.0,100.0,
61505,-69.0,-93.0,100.0,
61543,-69.0,-93.0,100.0,
61554,-68.0,-93.0,100.0,
61578,-68.0,-93.0,100.0,
61588,-67.0,-93.0,100.0,
61605,-67.0,-93.0,100.0,
61613,-66.0,-93.0,100.0,
61635,-66.0,-93.0,100.0,
61645,-65.0,-93.0,100.0,
61980,-65.0,-93.0,100.0,
61997,-64.0,-93.0,100.0,
62024,-64.0,-93.0,100.0,
62031,-63.0,-93.0,100.0,
63200,-63.0,-93.0,100.0,
63211,-62.0,-93.0,100.0,
63238,-62.0,-93.0,100.0,
63248,-61.0,-93.0,100.0,
63274,-61.0,-93.0,100.0,
63285,-60.0,-93.0,100.0,
63308,-60.0,-93.0,100.0,
63317,-59.0,-93.0,100.0,
63343,-59.0,-93.0,100.0,
63361,-58.0,-93.0,100.0,
63393,-58.0,-93.0,100.0,
63405,-57.0,-93.0,100.0,
63432,-57.0,-93.0,100.0,
63444,-56.0,-93.0,100.0,
63485,-56.0,-93.0,100.0,
63493,-54.0,-93.0,100.0,
63501,-54.0,-93.0,100.0,
63511,-53.0,-93.0,100.0,
63537,-53.0,-93.0,100.0,
63547,-52.0,-93.0,100.0,
63573,-52.0,-93.0,100.0,
63582,-51.0,-93.0,100.0,
63604,-51.0,-93.0,100.0,
63618,-50.0,-93.0,100.0,
63636,-50.0,-93.0,100.0,
63645,-48.0,-93.0,100.0,
63651,-48.0,-93.0,100.0,
63661,-47.0,-93.0,100.0,
63685,-47.0,-93.0,100.0,
63696,-46.0,-93.0,100.0,
63709,-46.0,-93.0,100.0,
63735,-45.0,-93.0,100.0,
63762,-45.0,-93.0,100.0,
63772,-44.0,-93.0,100.0,
63795,-44.0,-93.0,100.0,
63807,-43.0,-93.0,100.0,
63816,-43.0,-93.0,100.0,
63829,-41.0,-93.0,100.0,
63855,-41.0,-93.0,100.0,
63867,-40.0,-93.0,100.0,
63907,-40.0,-93.0,100.0,
63917,-39.0,-93.0,100.0,
63960,-39.0,-93.0,100.0,
63967,-38.0,-93.0,100.0,
63996,-38.0,-93.0,100.0,
64008,-37.0,-93.0,100.0,
64034,-37.0,-93.0,100.0,
64057,-36.0,-93.0,100.0,
64137,-36.0,-93.0,100.0,
64162,-35.0,-93.0,100.0,
64174,-35.0,-93.0,100.0,
64195,-34.0,-93.0,100.0,
64230,-34.0,-93.0,100.0,
64241,-33.0,-93.0,100.0,
64657,0.0,-93.0,100.0,
64674,-1.0,-93.0,100.0,
64723,-3.0,-93.0,100.0,
64740,-4.0,-93.0,100.0,
64774,-7.0,-93.0,100.0,
64790,-8.0,-93.0,100.0,
64806,-9.0,-93.0,100.0,
64841,-11.0,-93.0,100.0,
64874,-13.0,-93.0,100.0,
64890,-14.0,-93.0,100.0,
64906,-16.0,-93.0,100.0,
64924,-17.0,-93.0,100.0,
64957,-19.0,-93.0,100.0,
64990,-21.0,-93.0,100.0,
65007,-22.0,-93.0,100.0,
65024,-23.0,-93.0,100.0,
65042,-24.0,-93.0,100.0,
75247,-24.0,-93.0,100.0,
75265,-24.0,-93.0,100.0,
75292,-24.0,-93.0,100.0,
75360,-24.0,-93.0,100.0,
75377,-24.0,-93.0,100.0,
75395,-24.0,-93.0,100.0,
75429,-24.0,-93.0,100.0,
75482,-24.0,-93.0,100.0,
75505,-24.0,-93.0,100.0,
75540,-24.0,-93.0,100.0,
75575,-24.0,-93.0,100.0,
75592,-24.0,-93.0,100.0,
75610,-24.0,-93.0,100.0,
75627,-24.0,-93.0,100.0,
75645,-24.0,-93.0,100.0,
75662,-24.0,-93.0,100.0,
75680,-24.0,-93.0,100.0,
75697,-24.0,-93.0,100.0,
75704,-24.0,-93.0,100.0,
75721,-24.0,-93.0,100.0,
75740,-24.0,-93.0,100.0,
75756,-24.0,-93.0,100.0,
75774,-24.0,-93.0,100.0,
75792,-24.0,-93.0,100.0,
75809,-24.0,-93.0,100.0,
75827,-24.0,-93.0,100.0,
75845,-24.0,-93.0,100.0,
75861,-24.0,-93.0,100.0,
75879,-24.0,-93.0,100.0,
75907,-24.0,-93.0,100.0,
75924,-24.0,-93.0,100.0,
75939,-24.0,-93.0,100.0,
75955,-24.0,-93.0,100.0,
75973,-24.0,-93.0,100.0,
75991,-24.0,-93.0,100.0,
76008,-24.0,-93.0,100.0,
76026,-24.0,-93.0,100.0,
76043,-24.0,-93.0,100.0,
76060,-24.0,-93.0,100.0,
76078,-24.0,-93.0,100.0,
76096,-24.0,-93.0,100.0,
76113,-24.0,-93.0,100.0,
76121,-24.0,-93.0,100.0,
76137,-24.0,-93.0,100.0,
76155,-24.0,-93.0,100.0,
76172,-24.0,-93.0,100.0,
76190,-24.0,-93.0,100.0,
76208,-24.0,-93.0,100.0,
76224,-24.0,-93.0,100.0,
76242,-24.0,-93.0,100.0,
76260,-24.0,-93.0,100.0,
76277,-24.0,-93.0,100.0,
76295,-24.0,-93.0,100.0,
76312,-24.0,-93.0,100.0,
76329,-24.0,-93.0,100.0,
76354,-24.0,-93.0,100.0,
76372,-24.0,-93.0,100.0,
76389,-24.0,-93.0,100.0,
76406,-24.0,-93.0,100.0,
76423,-24.0,-93.0,100.0,
76441,-24.0,-93.0,100.0,
76459,-24.0,-93.0,100.0,
76479,-24.0,-93.0,100.0,
76495,-24.0,-93.0,100.0,
76530,-24.0,-93.0,100.0,
76550,-24.0,-93.0,100.0,
76571,-24.0,-93.0,100.0,
76587,-24.0,-93.0,100.0,
76605,-24.0,-93.0,100.0,
76623,-24.0,-93.0,100.0,
76643,-24.0,-93.0,100.0,
76677,-24.0,-93.0,100.0,
76692,-24.0,-93.0,100.0,
76710,-24.0,-93.0,100.0,
76728,-24.0,-93.0,100.0,
76745,-24.0,-93.0,100.0,
76764,-24.0,-93.0,100.0,
76771,-24.0,-93.0,100.0,
76788,-24.0,-93.0,100.0,
76805,-24.0,-93.0,100.0,
76823,-24.0,-93.0,100.0,
76859,-24.0,-93.0,100.0,
76874,-24.0,-93.0,100.0,
76892,-24.0,-93.0,100.0,
76909,-24.0,-93.0,100.0,
76927,-24.0,-93.0,100.0,
76944,-24.0,-93.0,100.0,
76963,-24.0,-93.0,100.0,
76979,-24.0,-93.0,100.0,
76986,-24.0,-93.0,100.0,
77004,-24.0,-93.0,100.0,
77021,-24.0,-93.0,100.0,
77039,-24.0,-93.0,100.0,
77056,-24.0,-93.0,100.0,
77074,-24.0,-93.0,100.0,
77091,-24.0,-93.0,100.0,
77109,-24.0,-93.0,100.0,
77126,-24.0,-93.0,100.0,
77143,-24.0,-93.0,100.0,
77161,-24.0,-93.0,100.0,
77178,-24.0,-93.0,100.0,
77196,-24.0,-93.0,100.0,
77203,-24.0,-93.0,100.0,
77220,-24.0,-93.0,100.0,
77238,-24.0,-93.0,100.0,
77255,-24.0,-93.0,100.0,
77274,-24.0,-93.0,100.0,
77290,-24.0,-93.0,100.0,
77308,-24.0,-93.0,100.0,
77328,-24.0,-93.0,100.0,
77343,-24.0,-93.0,100.0,
77361,-24.0,-93.0,100.0,
77378,-24.0,-93.0,100.0,
77395,-24.0,-93.0,100.0,
77403,-24.0,-93.0,100.0,
77419,-24.0,-93.0,100.0,
77437,-24.0,-93.0,100.0,
77455,-24.0,-93.0,100.0,
77472,-24.0,-93.0,100.0,
77491,-24.0,-93.0,100.0,
77507,-24.0,-93.0,100.0,
77524,-24.0,-93.0,100.0,
77542,-24.0,-93.0,100.0,
77559,-24.0,-93.0,100.0,
77595,-24.0,-93.0,100.0,
77612,-24.0,-93.0,100.0,
77629,-24.0,-93.0,100.0,
77636,-24.0,-93.0,100.0,
77654,-24.0,-93.0,100.0,
77674,-24.0,-93.0,100.0,
77706,-24.0,-93.0,100.0,
77723,-24.0,-93.0,100.0,
77741,-24.0,-93.0,100.0,
77759,-24.0,-93.0,100.0,
77777,-24.0,-93.0,100.0,
77793,-24.0,-93.0,100.0,
77810,-24.0,-93.0,100.0,
77828,-24.0,-93.0,100.0,
77835,-24.0,-93.0,100.0,
77853,-24.0,-93.0,100.0,
77894,-24.0,-93.0,100.0,
77917,-24.0,-93.0,100.0,
77940,-24.0,-93.0,100.0,
77958,-24.0,-93.0,100.0,
77974,-24.0,-93.0,100.0,
77992,-24.0,-93.0,100.0,
78010,-24.0,-93.0,100.0,
78027,-24.0,-93.0,100.0,
78045,-24.0,-93.0,100.0,
78052,-24.0,-93.0,100.0,
78069,-24.0,-93.0,100.0,
78086,-24.0,-93.0,100.0,
78104,-24.0,-93.0,100.0,
78121,-24.0,-93.0,100.0,
78140,-24.0,-93.0,100.0,
78157,-24.0,-93.0,100.0,
78174,-24.0,-93.0,100.0,
78192,-24.0,-93.0,100.0,
78212,-24.0,-93.0,100.0,
78226,-24.0,-93.0,100.0,
78244,-24.0,-93.0,100.0,
78261,-24.0,-93.0,100.0,
78268,-24.0,-93.0,100.0,
78286,-24.0,-93.0,100.0,
78303,-24.0,-93.0,100.0,
78323,-24.0,-93.0,100.0,
78337,-24.0,-93.0,100.0,
79191,-24.0,-93.0,100.0,
79192,-24.0,-93.0,100.0,
79211,-24.0,-93.0,100.0,
79263,-24.0,-93.0,100.0,
79279,-24.0,-93.0,100.0,
79286,-24.0,-93.0,100.0,
79303,-24.0,-93.0,100.0,
79395,-24.0,-93.0,100.0,
79417,-24.0,-93.0,100.0,
79433,-24.0,-93.0,100.0,
79445,-24.0,-93.0,100.0,
79461,-24.0,-93.0,100.0,
79477,-24.0,-93.0,100.0,
79511,-24.0,-93.0,100.0,
79560,-24.0,-93.0,100.0,
79590,-24.0,-93.0,100.0,
79612,-24.0,-93.0,100.0,
79688,-24.0,-93.0,100.0,
79697,-24.0,-93.0,100.0,
79763,-24.0,-93.0,100.0,
79773,-24.0,-93.0,100.0,
79836,-24.0,-93.0,100.0,
79844,-24.0,-93.0,100.0,
79932,-24.0,-93.0,100.0,
79954,-24.0,-93.0,100.0,
79981,-24.0,-93.0,100.0,
80042,-24.0,-93.0,100.0,
80066,-24.0,-93.0,100.0,
80082,-24.0,-93.0,100.0,
80158,-24.0,-93.0,100.0,
80171,-24.0,-93.0,100.0,
80187,-24.0,-93.0,100.0,
80208,-24.0,-93.0,100.0,
80291,-24.0,-93.0,100.0,
80347,-24.0,-93.0,100.0,
80531,-24.0,-93.0,100.0,
80554,-24.0,-93.0,100.0,
80604,-24.0,-93.0,100.0,
80619,-24.0,-93.0,100.0,
80718,-24.0,-93.0,100.0,
80731,-24.0,-93.0,100.0,
80827,-24.0,-93.0,100.0,
80843,-24.0,-93.0,100.0,
80945,-24.0,-93.0,100.0,
80953,-24.0,-93.0,100.0,
81021,-24.0,-93.0,100.0,
81030,-24.0,-93.0,100.0,
81091,-24.0,-93.0,100.0,
81158,-24.0,-93.0,100.0,
81185,-24.0,-93.0,100.0,
81219,-24.0,-93.0,100.0,
81242,-24.0,-93.0,100.0,
81295,-24.0,-93.0,100.0,
81363,-24.0,-93.0,100.0,
81407,-24.0,-93.0,100.0,
81467,-24.0,-93.0,100.0,
81484,-24.0,-93.0,100.0,
81573,-24.0,-93.0,100.0,
81616,-24.0,-93.0,100.0,
81680,-24.0,-93.0,100.0,
81692,-24.0,-93.0,100.0,
82017,-24.0,-93.0,100.0,
82048,-24.0,-93.0,100.0,
82245,-24.0,-93.0,100.0,
82266,-24.0,-93.0,100.0,
82267,-24.0,-93.0,100.0,
84297,-24.0,-93.0,100.0,
84298,-24.0,-93.0,100.0,
84431,-24.0,-93.0,100.0,
84715,-24.0,-93.0,100.0,
84728,-24.0,-93.0,100.0,
84828,-24.0,-93.0,100.0,
84851,-24.0,-93.0,100.0,
84906,-24.0,-93.0,100.0,
84956,-24.0,-93.0,100.0,
85010,-24.0,-93.0,100.0,
85076,-24.0,-93.0,100.0,
85579,-24.0,-93.0,100.0,
85761,-24.0,-93.0,100.0,
86549,-24.0,-93.0,100.0,
86551,-24.0,-93.0,100.0,
115087,-24.0,-93.0,100.0,
115120,-22.0,-93.0,100.0,
115169,-20.0,-93.0,100.0,
115202,-18.0,-93.0,100.0,
115219,-17.0,-93.0,100.0,
115236,-15.0,-93.0,100.0,
115254,-14.0,-93.0,100.0,
115286,-12.0,-93.0,100.0,
117072,-12.0,-93.0,100.0,
117092,-13.0,-93.0,100.0,
117137,-15.0,-93.0,100.0,
117154,-16.0,-93.0,100.0,
117170,-17.0,-93.0,100.0,
117187,-18.0,-93.0,100.0,
117204,-19.0,-93.0,100.0,
117222,-21.0,-93.0,100.0,
117255,-22.0,-93.0,100.0,
121158,-22.0,-93.0,100.0,
121177,-23.0,-93.0,100.0,
121224,-24.0,-93.0,100.0,
121242,-25.0,-93.0,100.0,
121258,-26.0,-93.0,100.0,
121275,-27.0,-93.0,100.0,
121291,-28.0,-93.0,100.0,
121308,-30.0,-93.0,100.0,
121342,-32.0,-93.0,100.0,
121358,-33.0,-93.0,100.0,
121858,-33.0,-93.0,100.0,
121881,-34.0,-93.0,100.0,
121926,-34.0,-93.0,100.0,
121976,-37.0,-93.0,100.0,
122026,-40.0,-93.0,100.0,
122042,-41.0,-93.0,100.0,
122059,-43.0,-93.0,100.0,
122076,-44.0,-93.0,100.0,
122092,-45.0,-93.0,100.0,
122124,-47.0,-93.0,100.0,
122142,-48.0,-93.0,100.0,
122158,-49.0,-93.0,100.0,
122176,-50.0,-93.0,100.0,
122210,-52.0,-93.0,100.0,
122224,-53.0,-93.0,100.0,
122258,-55.0,-93.0,100.0,
122292,-57.0,-93.0,100.0,
122309,-58.0,-93.0,100.0,
122326,-59.0,-93.0,100.0,
122343,-60.0,-93.0,100.0,
122375,-63.0,-93.0,100.0,
129070,-63.0,-93.0,100.0,
129090,-63.0,-92.0,100.0,
129131,-63.0,-89.0,100.0,
129183,-63.0,-86.0,100.0,
129235,-63.0,-83.0,100.0,
129254,-63.0,-82.0,100.0,
129271,-63.0,-81.0,100.0,
129306,-63.0,-78.0,100.0,
129339,-63.0,-76.0,100.0,
129364,-63.0,-74.0,100.0,
129384,-63.0,-73.0,100.0,
129403,-63.0,-72.0,100.0,
129436,-63.0,-69.0,100.0,
129452,-63.0,-68.0,100.0,
129476,-63.0,-67.0,100.0,
129490,-63.0,-66.0,100.0,
129504,-63.0,-65.0,100.0,
129522,-63.0,-64.0,100.0,
129540,-63.0,-63.0,100.0,
129557,-63.0,-62.0,100.0,
129565,-63.0,-61.0,100.0,
129582,-63.0,-59.0,100.0,
129598,-63.0,-58.0,100.0,
129620,-63.0,-57.0,100.0,
129635,-63.0,-56.0,100.0,
129655,-63.0,-55.0,100.0,
129671,-63.0,-54.0,100.0,
129692,-63.0,-53.0,100.0,
129730,-63.0,-52.0,100.0,
129760,-63.0,-51.0,100.0,
129810,-63.0,-50.0,100.0,
129842,-63.0,-49.0,100.0,
129895,-63.0,-48.0,100.0,
129929,-63.0,-48.0,100.0,
129943,-63.0,-47.0,100.0,
129978,-63.0,-46.0,100.0,
130007,-63.0,-46.0,100.0,
130035,-63.0,-45.0,100.0,
