,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
22661,-100.0,-100.0,41.0,
22678,-100.0,-100.0,42.0,
22694,-100.0,-100.0,44.0,
22711,-100.0,-100.0,45.0,
22728,-100.0,-100.0,46.0,
22744,-100.0,-100.0,47.0,
22761,-100.0,-100.0,48.0,
22778,-100.0,-100.0,49.0,
22794,-100.0,-100.0,50.0,
22812,-100.0,-100.0,51.0,
22828,-100.0,-100.0,52.0,
22845,-100.0,-100.0,54.0,
22861,-100.0,-100.0,55.0,
22878,-100.0,-100.0,56.0,
22895,-100.0,-100.0,57.0,
22912,-100.0,-100.0,58.0,
22928,-100.0,-100.0,59.0,
22945,-100.0,-100.0,60.0,
22961,-100.0,-100.0,61.0,
22978,-100.0,-100.0,62.0,
22995,-100.0,-100.0,64.0,
23011,-100.0,-100.0,65.0,
23028,-100.0,-100.0,66.0,
23045,-100.0,-100.0,67.0,
23062,-100.0,-100.0,68.0,
23078,-100.0,-100.0,69.0,
23095,-100.0,-100.0,70.0,
23112,-100.0,-100.0,71.0,
23128,-100.0,-100.0,72.0,
23145,-100.0,-100.0,74.0,
23162,-100.0,-100.0,75.0,
23178,-100.0,-100.0,76.0,
23195,-100.0,-100.0,77.0,
23212,-100.0,-100.0,78.0,
23228,-100.0,-100.0,79.0,
23245,-100.0,-100.0,80.0,
23262,-100.0,-100.0,81.0,
23279,-100.0,-100.0,83.0,
23295,-100.0,-100.0,84.0,
23312,-100.0,-100.0,85.0,
23329,-100.0,-100.0,86.0,
23345,-100.0,-100.0,87.0,
23362,-100.0,-100.0,88.0,
23379,-100.0,-100.0,89.0,
23395,-100.0,-100.0,90.0,
23412,-100.0,-100.0,91.0,
23429,-100.0,-100.0,93.0,
23445,-100.0,-100.0,94.0,
23462,-100.0,-100.0,95.0,
23468,-100.0,-100.0,95.5,
23479,-99.5,-100.0,96.0,
23487,-99.0,-100.0,96.5,
23496,-98.83333333333333,-100.0,97.0,
23512,-98.66666666666667,-100.0,98.0,
23529,-98.5,-100.0,99.0,
23562,-98.33333333333333,-100.0,100.0,
23563,-98.16666666666667,-100.0,,
23603,-98.0,-100.0,,
23628,-96.0,-100.0,,
23669,-93.0,-100.0,,
23702,-91.0,-100.0,,
23737,-90.0,-100.0,,
23752,-89.0,-100.0,,
23785,-86.0,-100.0,,
23803,-85.0,-100.0,,
23819,-84.0,-100.0,,
23836,-83.0,-100.0,,
23853,-82.0,-100.0,,
23870,-81.0,-100.0,,
23885,-80.0,-100.0,,
23902,-79.0,-100.0,,
23919,-77.0,-100.0,,
23936,-76.0,-100.0,,
23952,-75.0,-100.0,,
23988,-73.0,-100.0,,
24020,-71.0,-100.0,,
24036,-70.0,-100.0,,
24069,-67.0,-100.0,,
24086,-66.0,-100.0,,
24102,-65.0,-100.0,,
24121,-64.0,-100.0,,
24137,-63.0,-100.0,,
24154,-62.0,-100.0,,
24226,-62.0,-100.0,,
24246,-62.0,-100.0,,
24294,-62.0,-100.0,,
24302,-62.0,-100.0,,
24320,-62.0,-100.0,,
24333,-62.0,-100.0,,
24339,-62.0,-100.0,,
24353,-62.0,-100.0,,
24382,-62.0,-100.0,,
24390,-62.0,-100.0,,
24400,-62.0,-100.0,,
24417,-62.0,-100.0,,
24425,-62.0,-100.0,,
