0,2,1
3,5,4
6,8,7
9,0,5
6,11,10
0,8,12
13,12,14
11,2,15
16,17,2
10,11,16
16,6,14
18,6,12
16,8,5
12,16,0
15,12,19
6,1,20
19,15,18
3,8,5
2,0,10
0,9,8
18,1,10
13,20,0
5,18,7
16,15,20
10,12,3
4,8,15
7,1,18
5,11,12
14,10,18
5,6,14
7,14,15
19,20,5
18,16,7
17,8,18
13,1,3
9,14,5
19,4,16
0,20,15
2,4,1
7,2,8
3,8,6
10,7,5
13,16,14
9,6,2
12,7,5
11,5,19
19,0,13
8,13,12
15,11,12
12,7,2
20,11,0
16,1,5
3,20,17
12,5,17
16,8,5
17,2,19
19,11,15
10,2,14
16,1,14
13,0,8
0,17,15
10,0,5
3,2,5
2,17,1
10,3,18
2,18,5
2,9,8
15,14,17
7,14,5
7,0,15
14,16,9
10,8,16
10,20,14
16,11,5
17,16,4
9,20,11
5,17,9
14,11,1
6,8,14
3,17,18
3,17,14
19,13,10
11,8,0
2,1,18
9,0,5
14,6,18
14,10,11
6,15,7
12,5,15
15,3,0
15,20,0
10,16,20
7,14,5
2,3,19
0,8,6
16,7,8
6,0,8
18,5,9
9,13,5
10,5,14
9,13,18
9,14,15
3,1,16
7,13,14
20,12,1
8,13,18
15,1,0
6,2,15
9,6,10
10,8,5
3,0,18
7,17,1
14,8,16
7,19,20
10,1,14
18,11,16
2,17,5
8,20,18
19,15,5
3,15,14
19,6,16
6,16,11
15,11,8
17,0,5
8,0,6
8,11,12
16,2,18
9,8,15
