Time(sec),Data
0.0,-14.46799999999999
1.0,-14.46799999999999
2.0,-14.46799999999999
3.0,-14.46799999999999
4.0,-14.46799999999999
5.0,-14.46799999999999
6.0,-14.46799999999999
7.0,-14.46799999999999
8.0,-14.46799999999999
9.0,-14.46799999999999
10.0,-14.46799999999999
11.0,-14.46799999999999
12.0,-14.46799999999999
13.0,-14.46799999999999
14.0,-14.46799999999999
15.0,-14.46799999999999
16.0,-14.46799999999999
17.0,-14.46799999999999
18.0,-14.46799999999999
19.0,-14.46799999999999
20.0,-14.46799999999999
21.0,-14.46799999999999
22.0,-14.46799999999999
23.0,-14.46799999999999
24.0,-14.46799999999999
25.0,-14.46799999999999
26.0,-14.46799999999999
27.0,-14.46799999999999
28.0,-14.46799999999999
29.0,-14.46799999999999
30.0,-14.46799999999999
31.0,-14.46799999999999
32.0,-14.46799999999999
33.0,-14.46799999999999
34.0,-14.46799999999999
35.0,-14.46799999999999
36.0,-14.46799999999999
37.0,-14.46799999999999
38.0,-14.46799999999999
39.0,-14.46799999999999
40.0,-14.46799999999999
41.0,-14.46799999999999
42.0,-14.46799999999999
43.0,-14.46799999999999
44.0,-14.46799999999999
45.0,-14.46799999999999
46.0,-14.46799999999999
47.0,-14.46799999999999
48.0,-14.46799999999999
49.0,-14.46799999999999
50.0,-14.46799999999999
51.0,-14.46799999999999
52.0,-14.46799999999999
53.0,-14.46799999999999
54.0,-14.46799999999999
55.0,-14.46799999999999
56.0,-14.46799999999999
57.0,-14.46799999999999
58.0,-14.46799999999999
59.0,-14.46799999999999
60.0,-14.46799999999999
61.0,-14.46799999999999
62.0,-14.46799999999999
63.0,-14.46799999999999
64.0,-14.46799999999999
65.0,-14.46799999999999
66.0,-14.46799999999999
67.0,-14.46799999999999
68.0,-14.46799999999999
69.0,-14.46799999999999
70.0,-14.46799999999999
71.0,-14.46799999999999
72.0,-14.46799999999999
73.0,-14.46799999999999
74.0,-14.46799999999999
75.0,-14.46799999999999
76.0,-14.46799999999999
77.0,-14.46799999999999
78.0,-14.46799999999999
79.0,-14.46799999999999
80.0,-14.46799999999999
81.0,-14.46799999999999
82.0,-14.46799999999999
83.0,-14.46799999999999
84.0,-14.46799999999999
85.0,-14.46799999999999
86.0,-14.46799999999999
87.0,-14.46799999999999
88.0,-14.46799999999999
89.0,-14.46799999999999
90.0,-14.46799999999999
91.0,-14.46799999999999
92.0,-14.46799999999999
93.0,-14.46799999999999
94.0,-14.46799999999999
95.0,-14.46799999999999
96.0,-14.46799999999999
97.0,-14.46799999999999
98.0,-14.46799999999999
99.0,-14.46799999999999
100.0,-14.46799999999999
101.0,-14.46799999999999
102.0,-14.46799999999999
103.0,-14.46799999999999
104.0,-14.46799999999999
105.0,-14.46799999999999
106.0,1.9070000000000036
107.0,18.281999999999996
108.0,23.080666666666662
109.0,27.879333333333328
110.0,32.678
111.0,32.678
112.0,32.678
113.0,32.678
114.0,32.678
115.0,32.678
116.0,32.678
117.0,32.678
118.0,32.678
119.0,32.678
120.0,32.678
121.0,32.678
122.0,32.678
123.0,32.678
124.0,32.678
125.0,32.678
126.0,32.678
127.0,32.678
128.0,32.678
129.0,32.678
130.0,32.678
131.0,32.678
132.0,32.678
133.0,32.678
134.0,32.678
135.0,32.678
136.0,32.678
137.0,32.678
138.0,32.678
139.0,32.678
140.0,32.678
141.0,32.678
142.0,32.678
143.0,32.678
144.0,32.678
145.0,32.678
146.0,32.678
147.0,32.678
148.0,32.678
149.0,32.678
150.0,32.678
151.0,32.678
152.0,32.678
153.0,32.678
154.0,32.678
155.0,32.678
156.0,32.678
157.0,32.678
158.0,32.678
159.0,32.678
160.0,32.678
161.0,32.678
162.0,32.678
163.0,32.678
164.0,32.678
165.0,32.678
166.0,32.678
167.0,32.678
168.0,32.678
169.0,32.678
170.0,32.678
171.0,32.678
172.0,32.678
173.0,32.678
174.0,32.678
175.0,32.678
176.0,32.678
177.0,32.678
178.0,32.678
179.0,32.678
180.0,32.678
181.0,32.678
182.0,32.678
183.0,32.678
184.0,32.678
185.0,32.678
186.0,32.678
187.0,32.678
188.0,32.678
189.0,32.678
190.0,32.678
191.0,32.678
192.0,32.678
193.0,13.525000000000006
194.0,-5.627999999999986
195.0,-5.627999999999986
196.0,-5.627999999999986
197.0,-7.225999999999988
198.0,-8.823999999999991
199.0,-10.421999999999993
200.0,-12.019999999999996
201.0,-12.019999999999996
202.0,-12.019999999999996
203.0,-12.019999999999996
204.0,-12.019999999999996
205.0,-12.019999999999996
206.0,-12.019999999999996
207.0,-12.019999999999996
208.0,-12.019999999999996
209.0,-12.019999999999996
210.0,-12.019999999999996
211.0,-12.019999999999996
212.0,-12.019999999999996
213.0,-12.019999999999996
214.0,-12.019999999999996
215.0,-12.019999999999996
216.0,-12.019999999999996
217.0,-12.019999999999996
218.0,-12.019999999999996
219.0,-12.019999999999996
220.0,-12.019999999999996
221.0,-12.019999999999996
222.0,-12.019999999999996
223.0,-12.019999999999996
224.0,-12.019999999999996
225.0,-12.019999999999996
226.0,-12.019999999999996
227.0,-12.019999999999996
228.0,-12.019999999999996
229.0,-12.019999999999996
230.0,-12.019999999999996
231.0,-12.019999999999996
232.0,-12.019999999999996
233.0,-12.019999999999996
234.0,-12.019999999999996
235.0,-12.019999999999996
236.0,-12.019999999999996
237.0,-12.019999999999996
238.0,-12.019999999999996
239.0,-12.019999999999996
240.0,-12.019999999999996
