OriginalName,DatabaseName,Participant,ExternalPID,SessionID,Timestamp,VideoTime,Value
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342096051,0,-100.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342096059,2,-100.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122681,26563,-100.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122683,26579,-99.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122698,26593,-97.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122714,26618,-96.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122730,26635,-95.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122747,26649,-94.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122764,26664,-93.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122780,26681,-92.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122798,26696,-91.0
Rambo__Last_Blood_cut4,C06DA168-E0A0-4571-95B3-FFCF461F17C5-1,2B5FA82C-64CA-F59D-422D-9EEABFE4EDEC,AZSSG2REHDX18,ACD6553D-1A65-9329-572B-32149CBA6D64,1592342122814,26710,-90.0
