Time(sec),AF50K5H2FJWW0
288.0,78.08714953271028
289.0,77.53511377488825
290.0,77.09443315725315
291.0,77.07953406474334
292.0,77.0646349722335
293.0,77.0497358797237
294.0,77.03483678721388
295.0,77.01993769470405
296.0,76.95864282811866
297.0,76.7236692401463
298.0,76.68344169036976
299.0,76.24017878911012
300.0,75.16087706685838
301.0,74.77987059669303
302.0,73.82719626168223
303.0,73.60191715079564
304.0,73.25171760545592
305.0,73.23782520838596
306.0,73.22393281131599
307.0,73.10965395301844
308.0,72.75332182039821
309.0,72.74661722876877
310.0,72.73991263713935
311.0,72.73320804550994
312.0,72.72650345388053
313.0,72.71979886225111
314.0,72.71309427062168
315.0,72.70638967899228
316.0,72.69968508736285
317.0,72.14436611133686
318.0,70.53184948352188
319.0,70.07193802262667
320.0,70.05570585341859
321.0,70.03947368421053
322.0,69.87785538612887
323.0,68.89560338358687
324.0,68.71922368510812
325.0,68.71171976260318
326.0,68.70421584009823
327.0,68.69671191759329
328.0,68.68920799508834
329.0,68.6817040725834
330.0,68.67420015007845
331.0,68.66669622757351
332.0,68.65919230506856
333.0,68.6516883825636
334.0,68.64418446005867
335.0,68.63668053755372
336.0,68.62917661504878
337.0,68.35143017941195
338.0,67.98169662113587
339.0,67.94421279654924
340.0,67.8969527318476
341.0,67.81407710280375
342.0,67.80122663551401
343.0,67.7883761682243
344.0,67.77552570093458
345.0,67.71498164218958
346.0,67.36355807743658
347.0,67.13364485981309
348.0,67.13364485981309
349.0,67.13364485981309
350.0,67.13364485981309
351.0,67.13364485981309
352.0,67.13364485981309
353.0,67.13364485981309
354.0,67.13364485981309
355.0,67.13364485981309
356.0,67.13807076101469
357.0,67.24429238985314
358.0,70.53322874944371
359.0,76.73333333333332
360.0,88.08478057889823
361.0,93.88888888888889
362.0,96.42797385620915
363.0,99.97333333333333
364.0,100.0
365.0,100.0
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,100.0
371.0,100.0
372.0,79.16773088023088
373.0,64.35416666666667
374.0,62.6859375
375.0,48.08928571428571
376.0,42.90979853479853
377.0,39.91758241758241
378.0,39.80769230769231
379.0,39.697802197802204
380.0,39.58791208791209
381.0,39.47802197802198
382.0,39.36813186813187
383.0,39.258241758241766
384.0,39.14835164835165
385.0,39.03956043956044
386.0,39.0
387.0,39.0
388.0,39.0
389.0,39.0
390.0,39.0
391.0,39.0
392.0,39.0
393.0,39.0
394.0,39.0
395.0,39.0
396.0,39.0
397.0,39.0
398.0,39.0
399.0,39.0
400.0,39.00243902439024
401.0,39.15853658536586
402.0,39.40243902439023
403.0,39.64634146341463
404.0,39.890243902439025
405.0,45.693461538461534
406.0,48.9325
407.0,55.48977272727272
408.0,64.14921328671328
409.0,91.3192513368984
410.0,85.44078947368422
411.0,85.30921052631578
412.0,85.17763157894737
413.0,85.04736842105264
414.0,85.0
415.0,85.0
416.0,85.0
417.0,85.0
418.0,85.0
419.0,85.0
420.0,85.0
421.0,85.0
422.0,85.0
423.0,88.79692307692308
424.0,99.81538461538462
425.0,100.0
426.0,100.0
427.0,100.0
428.0,99.53191489361701
429.0,98.68085106382979
430.0,81.61032168186424
431.0,45.0
432.0,16.98
433.0,-9.190000000000001
434.0,-34.128095238095234
435.0,-57.55
436.0,-80.35
437.0,-97.69795321637429
438.0,-98.49707602339183
439.0,-98.49707602339183
440.0,-98.49707602339183
441.0,-98.49707602339183
442.0,-98.49707602339183
443.0,-98.49707602339183
444.0,-98.49707602339183
445.0,-98.49707602339183
446.0,-98.49707602339183
447.0,-98.27857221670529
448.0,-97.30050755820369
449.0,-96.26001324064879
450.0,-95.2195189230939
451.0,-94.179024605539
452.0,-83.2009599470374
453.0,74.22249512670565
454.0,91.41304093567251
455.0,75.16666666666667
456.0,61.883333333333326
457.0,45.43272727272727
458.0,30.375886524822693
459.0,30.127659574468083
460.0,29.87943262411348
461.0,29.63120567375887
462.0,27.980815602836877
463.0,13.041176470588237
