,AYYSG3O9FNU15,AOEGJLWFISOZQ,A4FNENGCDFSOG,AJE5OG666CBAC
55217,-100.0,-100.0,-100.0,
55225,-100.0,-100.0,-100.0,
55250,-100.0,-100.0,-100.0,
55261,-100.0,-100.0,-100.0,
55283,-100.0,-100.0,-100.0,
55293,-100.0,-100.0,-100.0,
55315,-100.0,-100.0,-100.0,
55326,-100.0,-100.0,-100.0,
55357,-100.0,-100.0,-100.0,
56190,-100.0,-100.0,-100.0,
56208,-100.0,-100.0,-100.0,
56269,-100.0,-100.0,-100.0,
56302,-100.0,-100.0,-100.0,
56345,-100.0,-100.0,-100.0,
56366,-100.0,-100.0,-100.0,
56651,-100.0,-100.0,-100.0,
56669,-100.0,-99.0,-100.0,
56685,-100.0,-97.0,-100.0,
56701,-100.0,-96.0,-100.0,
56718,-100.0,-95.0,-100.0,
56735,-100.0,-94.0,-100.0,
56752,-100.0,-93.0,-100.0,
56768,-100.0,-92.0,-100.0,
56814,-100.0,-92.0,-100.0,
56836,-100.0,-92.0,-100.0,
56844,-100.0,-92.0,-100.0,
56870,-100.0,-92.0,-100.0,
56876,-100.0,-92.0,-100.0,
56898,-100.0,-92.0,-100.0,
56912,-100.0,-92.0,-100.0,
56936,-100.0,-92.0,-100.0,
56949,-100.0,-92.0,-100.0,
56972,-100.0,-92.0,-100.0,
56980,-100.0,-92.0,-100.0,
57017,-100.0,-92.0,-100.0,
57324,-100.0,-92.0,-100.0,
57341,-100.0,-92.0,-100.0,
57348,-100.0,-92.0,-100.0,
57390,-100.0,-92.0,-100.0,
57393,-100.0,-92.0,-100.0,
57421,-100.0,-92.0,-100.0,
57434,-100.0,-92.0,-100.0,
57467,-100.0,-92.0,-100.0,
57477,-100.0,-92.0,-100.0,
57500,-100.0,-92.0,-100.0,
66549,-100.0,-92.0,-100.0,
66566,-100.0,-92.0,-100.0,
66570,-100.0,-92.0,-100.0,
66614,-100.0,-92.0,-100.0,
66620,-100.0,-92.0,-100.0,
66664,-100.0,-92.0,-100.0,
66670,-100.0,-92.0,-100.0,
66714,-100.0,-92.0,-100.0,
66718,-100.0,-92.0,-100.0,
66748,-100.0,-92.0,-100.0,
66754,-100.0,-92.0,-100.0,
66781,-100.0,-92.0,-100.0,
66803,-100.0,-92.0,-100.0,
66831,-100.0,-92.0,-100.0,
66838,-100.0,-92.0,-100.0,
66849,-100.0,-92.0,-100.0,
66856,-100.0,-92.0,-100.0,
66868,-100.0,-92.0,-100.0,
66874,-100.0,-92.0,-100.0,
66886,-100.0,-92.0,-100.0,
66895,-100.0,-92.0,-100.0,
66909,-100.0,-92.0,-100.0,
66915,-100.0,-92.0,-100.0,
66925,-100.0,-92.0,-100.0,
66932,-100.0,-92.0,-100.0,
66953,-100.0,-92.0,-100.0,
66961,-100.0,-92.0,-100.0,
66972,-100.0,-92.0,-100.0,
66979,-100.0,-92.0,-100.0,
66992,-100.0,-92.0,-100.0,
70817,-100.0,-92.0,-100.0,
70834,-100.0,-91.0,-100.0,
70850,-100.0,-90.0,-100.0,
70867,-100.0,-89.0,-100.0,
70884,-100.0,-88.0,-100.0,
70900,-100.0,-87.0,-100.0,
83164,-100.0,-87.0,-100.0,
83182,-100.0,-88.0,-100.0,
83198,-100.0,-90.0,-100.0,
83215,-100.0,-91.0,-100.0,
83231,-100.0,-92.0,-100.0,
83247,-100.0,-93.0,-100.0,
83264,-100.0,-94.0,-100.0,
84515,-100.0,-94.0,-100.0,
84532,-100.0,-93.0,-100.0,
84549,-100.0,-92.0,-100.0,
84566,-100.0,-91.0,-100.0,
84582,-100.0,-90.0,-100.0,
104871,-100.0,-90.0,-100.0,
104889,-100.0,-91.0,-100.0,
104906,-100.0,-92.0,-100.0,
104921,-100.0,-93.0,-100.0,
150933,-100.0,-93.0,-100.0,
150934,-100.0,-93.0,-100.0,-100.0
150980,-100.0,-93.0,-100.0,-99.0
151015,-100.0,-93.0,-100.0,-96.0
151061,-100.0,-93.0,-100.0,-94.0
151108,-100.0,-93.0,-100.0,-92.0
152815,-100.0,-93.0,-100.0,-92.0
152849,-100.0,-93.0,-100.0,-91.0
152896,-100.0,-93.0,-100.0,-89.0
152942,-100.0,-93.0,-100.0,-86.0
152977,-100.0,-93.0,-100.0,-84.0
152978,-100.0,-93.0,-100.0,
154660,-100.0,-93.0,-100.0,
154677,-100.0,-92.0,-100.0,
154693,-100.0,-91.0,-100.0,
154710,-100.0,-90.0,-100.0,
154726,-100.0,-89.0,-100.0,
154743,-100.0,-88.0,-100.0,
155354,-100.0,-88.0,-100.0,
155372,-100.0,-88.0,-99.0,
155421,-100.0,-88.0,-96.0,
155454,-100.0,-88.0,-94.0,
155470,-100.0,-88.0,-93.0,
155489,-100.0,-88.0,-91.0,
155521,-100.0,-88.0,-89.0,
156520,-100.0,-88.0,-89.0,
156540,-100.0,-88.0,-88.0,
156571,-100.0,-88.0,-86.0,
156587,-100.0,-88.0,-85.0,
156605,-100.0,-88.0,-83.0,
156627,-100.0,-88.0,-82.0,
156673,-100.0,-88.0,-79.0,
156728,-100.0,-88.0,-79.0,
156746,-100.0,-89.0,-79.0,
156762,-100.0,-90.0,-79.0,
156778,-100.0,-92.0,-79.0,
156795,-100.0,-93.0,-79.0,
156812,-100.0,-94.0,-79.0,
156829,-100.0,-95.0,-79.0,
156845,-100.0,-96.0,-79.0,
156862,-100.0,-97.0,-79.0,
156879,-100.0,-98.0,-79.0,
156895,-100.0,-99.0,-79.0,
156912,-100.0,-100.0,-79.0,
162566,-100.0,-100.0,-79.0,
162567,-100.0,-100.0,-79.0,-82.0
162613,-100.0,-100.0,-79.0,-81.0
162648,-100.0,-100.0,-79.0,-79.0
162695,-100.0,-100.0,-79.0,-76.0
162729,-100.0,-100.0,-79.0,-74.0
162730,-100.0,-100.0,-79.0,
177685,-100.0,-100.0,-79.0,
177702,-100.0,-99.0,-79.0,
177718,-100.0,-98.0,-79.0,
177735,-100.0,-97.0,-79.0,
177752,-100.0,-96.0,-79.0,
177768,-100.0,-95.0,-79.0,
197957,-100.0,-95.0,-79.0,
197975,-100.0,-94.0,-79.0,
197991,-100.0,-93.0,-79.0,
198007,-100.0,-92.0,-79.0,
198024,-100.0,-91.0,-79.0,
201720,-100.0,-91.0,-79.0,
201739,-100.0,-91.0,-79.0,
201754,-100.0,-91.0,-79.0,
201787,-100.0,-91.0,-79.0,
201804,-100.0,-91.0,-79.0,
201821,-100.0,-91.0,-79.0,
201837,-100.0,-91.0,-79.0,
201856,-100.0,-91.0,-79.0,
207701,-100.0,-91.0,-79.0,
207719,-100.0,-92.0,-79.0,
208669,-100.0,-92.0,-79.0,
208686,-100.0,-93.0,-79.0,
208703,-100.0,-95.0,-79.0,
209157,-100.0,-95.0,-79.0,
209158,-100.0,-95.0,-79.0,-76.0
209193,-100.0,-95.0,-79.0,-77.0
209239,-100.0,-95.0,-79.0,-79.0
209285,-100.0,-95.0,-79.0,-82.0
209994,-100.0,-95.0,-79.0,-84.0
210040,-100.0,-95.0,-79.0,-85.0
210075,-100.0,-95.0,-79.0,-87.0
210121,-100.0,-95.0,-79.0,-90.0
210156,-100.0,-95.0,-79.0,-92.0
210446,-100.0,-95.0,-79.0,-94.0
210481,-100.0,-95.0,-79.0,-95.0
210501,-100.0,-95.0,-79.0,-95.66666666666667
210521,-100.0,-95.0,-80.0,-96.33333333333333
210528,-100.0,-95.0,-81.0,-97.0
210567,-100.0,-95.0,-82.0,-98.5
210574,-100.0,-95.0,-82.33333333333333,-100.0
210575,-100.0,-95.0,-82.66666666666667,
210583,-100.0,-95.0,-83.0,
210601,-100.0,-95.0,-84.0,
210636,-100.0,-95.0,-87.0,
210686,-100.0,-95.0,-90.0,
210719,-100.0,-95.0,-92.0,
210751,-100.0,-95.0,-94.0,
210768,-100.0,-95.0,-96.0,
210801,-100.0,-95.0,-98.0,
210834,-100.0,-95.0,-100.0,
225421,-100.0,-95.0,-100.0,
225438,-100.0,-97.0,-100.0,
225454,-100.0,-98.0,-100.0,
225471,-100.0,-99.0,-100.0,
225488,-100.0,-100.0,-100.0,
233624,-100.0,-100.0,-100.0,
233655,-100.0,-100.0,-100.0,
233668,-100.0,-100.0,-100.0,
233707,-100.0,-100.0,-100.0,
233716,-100.0,-100.0,-100.0,
233753,-100.0,-100.0,-100.0,
233759,-100.0,-100.0,-100.0,
233786,-100.0,-100.0,-100.0,
233793,-100.0,-100.0,-100.0,
233837,-100.0,-100.0,-100.0,
234157,-100.0,-100.0,-100.0,
234187,-100.0,-100.0,-100.0,
234198,-100.0,-100.0,-100.0,
234222,-100.0,-100.0,-100.0,
234227,-100.0,-100.0,-100.0,
234254,-100.0,-100.0,-100.0,
234260,-100.0,-100.0,-100.0,
234278,-100.0,-100.0,-100.0,
234285,-100.0,-100.0,-100.0,
234298,-100.0,-100.0,-100.0,
234307,-100.0,-100.0,-100.0,
234326,-100.0,-100.0,-100.0,
234336,-100.0,-100.0,-100.0,
234361,-100.0,-100.0,-100.0,
235008,-100.0,-100.0,-100.0,
235024,-100.0,-100.0,-100.0,
235052,-100.0,-100.0,-100.0,
235061,-100.0,-100.0,-100.0,
235071,-100.0,-100.0,-100.0,
235095,-100.0,-100.0,-100.0,
235100,-100.0,-100.0,-100.0,
235121,-100.0,-100.0,-100.0,
235129,-100.0,-100.0,-100.0,
235155,-100.0,-100.0,-100.0,
235166,-100.0,-100.0,-100.0,
235195,-100.0,-100.0,-100.0,
235363,-100.0,-100.0,-100.0,
235379,-100.0,-100.0,-100.0,
235388,-100.0,-100.0,-100.0,
235432,-100.0,-100.0,-100.0,
235436,-100.0,-100.0,-100.0,
235459,-100.0,-100.0,-100.0,
235469,-100.0,-100.0,-100.0,
235497,-100.0,-100.0,-100.0,
235508,-100.0,-100.0,-100.0,
235533,-100.0,-100.0,-100.0,
235540,-100.0,-100.0,-100.0,
235566,-100.0,-100.0,-100.0,
235577,-100.0,-100.0,-100.0,
235607,-100.0,-100.0,-100.0,
235620,-100.0,-100.0,-100.0,
235643,-100.0,-100.0,-100.0,
235651,-100.0,-100.0,-100.0,
235674,-100.0,-100.0,-100.0,
235681,-100.0,-100.0,-100.0,
235709,-100.0,-100.0,-100.0,
235719,-100.0,-100.0,-100.0,
235742,-100.0,-100.0,-100.0,
235753,-100.0,-100.0,-100.0,
235764,-100.0,-100.0,-100.0,
