,ACBG07QLGIDP0,AOEGJLWFISOZQ,ACM1CEGHXTKZP
36442,-100.0,-100.0,-100.0
36459,-100.0,-100.0,-100.0
36475,-100.0,-100.0,-100.0
36492,-100.0,-100.0,-100.0
36509,-100.0,-100.0,-100.0
36525,-100.0,-100.0,-100.0
36542,-100.0,-100.0,-100.0
36559,-100.0,-100.0,-100.0
36575,-100.0,-100.0,-100.0
36591,-100.0,-100.0,-100.0
36608,-100.0,-100.0,-100.0
36625,-100.0,-100.0,-100.0
36643,-100.0,-100.0,-100.0
36659,-100.0,-100.0,-100.0
36675,-100.0,-100.0,-100.0
36692,-100.0,-100.0,-100.0
36708,-100.0,-100.0,-100.0
36725,-100.0,-100.0,-100.0
36741,-100.0,-100.0,-100.0
36758,-100.0,-100.0,-100.0
36777,-100.0,-100.0,-100.0
36792,-100.0,-100.0,-100.0
36927,-100.0,-100.0,-100.0
36947,-100.0,-100.0,-100.0
36977,-100.0,-100.0,-100.0
36995,-100.0,-100.0,-100.0
37010,-100.0,-100.0,-100.0
39877,-100.0,-100.0,-100.0
39895,-100.0,-100.0,-100.0
39927,-100.0,-100.0,-100.0
39945,-100.0,-100.0,-100.0
39960,-100.0,-100.0,-100.0
39977,-100.0,-100.0,-100.0
39997,-100.0,-100.0,-100.0
43641,-100.0,-100.0,-100.0
43658,-100.0,-100.0,-100.0
43675,-100.0,-100.0,-100.0
43692,-100.0,-100.0,-100.0
43708,-100.0,-100.0,-100.0
43725,-100.0,-100.0,-100.0
43742,-100.0,-100.0,-100.0
43759,-100.0,-100.0,-100.0
43775,-100.0,-100.0,-100.0
43791,-100.0,-100.0,-100.0
43809,-100.0,-100.0,-100.0
43825,-100.0,-100.0,-100.0
43841,-100.0,-100.0,-100.0
43858,-100.0,-100.0,-100.0
45992,-100.0,-100.0,-100.0
46009,-100.0,-100.0,-100.0
46023,-100.0,-100.0,-100.0
46026,-100.0,-100.0,-100.0
46040,-100.0,-100.0,-100.0
46042,-100.0,-100.0,-100.0
