,A4FNENGCDFSOG,A7ERZELTAMWL5,A1WAAWQH57B1T
21702,-100.0,-84.0,-74.0
21746,-100.0,-84.0,-74.0
21747,-100.0,-84.0,-74.0
24174,-100.0,-84.0,-74.0
24175,-100.0,-84.0,-74.0
24208,-100.0,-84.0,-74.0
24215,-100.0,-84.0,-73.5
24225,-100.0,-84.0,-73.0
24239,-100.0,-84.0,-72.0
24255,-100.0,-84.0,-71.5
24265,-100.0,-84.0,-71.0
24281,-100.0,-84.0,-70.0
24295,-100.0,-84.0,-69.0
24313,-100.0,-84.0,-68.0
24326,-100.0,-84.0,-67.0
24335,-100.0,-84.0,-67.0
24375,-100.0,-84.0,-67.0
24416,-100.0,-84.0,-67.0
24456,-100.0,-84.0,-67.0
24496,-100.0,-84.0,-67.0
24536,-100.0,-84.0,-67.0
24576,-100.0,-84.0,-67.0
24617,-100.0,-84.0,-67.0
24657,-100.0,-84.0,-67.0
24697,-100.0,-84.0,-67.0
24738,-100.0,-84.0,-67.0
24778,-100.0,-84.0,-67.0
24818,-100.0,-84.0,-67.0
24858,-100.0,-84.0,-67.0
24898,-100.0,-84.0,-67.0
24938,-100.0,-84.0,-67.0
24978,-100.0,-84.0,-67.0
25018,-100.0,-84.0,-67.0
25243,-100.0,-84.0,-67.0
25258,-100.0,-83.5,-67.0
25260,-100.0,-83.0,-67.0
25276,-100.0,-82.0,-67.0
25298,-100.0,-81.5,-67.0
25302,-100.0,-81.0,-67.0
25316,-100.0,-80.0,-67.0
25330,-100.0,-79.0,-67.0
25338,-100.0,-78.5,-67.0
25347,-100.0,-78.0,-67.0
25362,-100.0,-77.0,-67.0
25377,-100.0,-76.0,-67.0
25378,-100.0,-75.5,-67.0
25394,-100.0,-75.0,-67.0
25418,-100.0,-74.0,-67.0
25419,-100.0,-73.0,-67.0
25433,-100.0,-72.0,-67.0
25448,-100.0,-71.0,-67.0
25458,-100.0,-70.5,-67.0
25465,-100.0,-70.0,-67.0
25498,-100.0,-70.0,-67.0
25539,-100.0,-70.0,-67.0
25580,-100.0,-70.0,-67.0
25620,-100.0,-70.0,-67.0
25660,-100.0,-70.0,-67.0
25700,-100.0,-70.0,-67.0
25741,-100.0,-70.0,-67.0
25781,-100.0,-70.0,-67.0
25821,-100.0,-70.0,-67.0
25861,-100.0,-70.0,-67.0
25901,-100.0,-70.0,-67.0
25941,-100.0,-70.0,-67.0
25983,-100.0,-70.0,-67.0
26269,-100.0,-70.0,-67.0
26309,-100.0,-70.0,-67.0
26349,-100.0,-70.0,-67.0
26389,-100.0,-70.0,-67.0
26429,-100.0,-70.0,-67.0
26630,-100.0,-70.0,-67.0
26676,-100.0,-70.0,-67.0
26717,-100.0,-70.0,-67.0
26761,-100.0,-70.0,-67.0
26801,-100.0,-70.0,-67.0
27290,-100.0,-70.0,-67.0
27300,-100.0,-70.0,-66.5
27307,-100.0,-70.0,-66.0
27322,-100.0,-70.0,-65.0
27336,-100.0,-70.0,-64.0
27340,-100.0,-70.0,-63.5
27353,-100.0,-70.0,-63.0
27368,-100.0,-70.0,-62.0
27381,-100.0,-70.0,-61.5
27383,-100.0,-70.0,-61.0
27408,-100.0,-70.0,-59.0
27422,-100.0,-70.0,-59.0
27462,-100.0,-70.0,-59.0
27463,-100.0,-70.0,-59.0
28510,-100.0,-70.0,-59.0
28511,-100.0,-70.0,-59.0
28552,-100.0,-70.0,-59.0
28592,-100.0,-70.0,-59.0
28633,-100.0,-70.0,-59.0
28634,-100.0,-70.0,-59.0
33972,-100.0,-70.0,-59.0
33973,-100.0,-70.0,-59.0
34014,-100.0,-70.0,-59.0
34060,-100.0,-70.0,-59.0
34100,-100.0,-70.0,-59.0
34140,-100.0,-70.0,-59.0
34180,-100.0,-70.0,-59.0
34220,-100.0,-70.0,-59.0
34260,-100.0,-70.0,-59.0
34300,-100.0,-70.0,-59.0
34340,-100.0,-70.0,-59.0
34381,-100.0,-70.0,-59.0
34421,-100.0,-70.0,-59.0
34429,-100.0,-70.0,-59.0
34446,-100.0,-70.0,-59.0
34461,-100.0,-70.0,-59.0
34462,-100.0,-70.0,-59.0
34479,-100.0,-70.0,-59.0
34496,-100.0,-70.0,-59.0
34501,-100.0,-70.0,-59.0
34512,-100.0,-70.0,-59.0
34529,-100.0,-70.0,-59.0
34541,-100.0,-70.0,-59.0
34546,-100.0,-70.0,-59.0
34562,-100.0,-70.0,-59.0
34579,-100.0,-70.0,-59.0
34582,-100.0,-70.0,-59.0
34623,-100.0,-70.0,-59.0
34663,-100.0,-70.0,-59.0
34696,-100.0,-70.0,-59.0
34704,-100.0,-70.0,-59.0
34713,-100.0,-70.0,-59.0
34729,-100.0,-70.0,-59.0
34744,-100.0,-70.0,-59.0
34746,-100.0,-70.0,-59.0
34763,-100.0,-70.0,-59.0
34779,-100.0,-70.0,-59.0
34796,-100.0,-70.0,-59.0
34813,-100.0,-70.0,-59.0
34830,-100.0,-70.0,-59.0
34846,-100.0,-70.0,-59.0
35030,-100.0,-70.0,-59.0
35047,-100.0,-70.0,-59.0
35063,-100.0,-70.0,-59.0
35080,-100.0,-70.0,-59.0
35096,-100.0,-70.0,-59.0
35113,-100.0,-70.0,-59.0
35130,-100.0,-70.0,-59.0
35146,-100.0,-70.0,-59.0
35157,-100.0,-70.0,-59.0
35163,-100.0,-70.0,-59.0
35180,-100.0,-70.0,-59.0
35197,-100.0,-70.0,-59.0
35199,-100.0,-70.0,-59.0
35213,-100.0,-70.0,-59.0
35230,-100.0,-70.0,-59.0
35239,-100.0,-70.0,-59.0
35246,-100.0,-70.0,-59.0
35263,-100.0,-70.0,-59.0
35280,-100.0,-70.0,-59.0
35282,-100.0,-70.0,-59.0
35297,-100.0,-70.0,-59.0
35313,-100.0,-70.0,-59.0
35327,-100.0,-70.0,-59.0
35330,-100.0,-70.0,-59.0
35362,-100.0,-70.0,-59.0
35374,-100.0,-70.0,-58.5
35378,-100.0,-70.0,-58.0
35391,-100.0,-70.0,-57.0
35417,-100.0,-70.0,-55.0
35433,-100.0,-70.0,-54.0
35449,-100.0,-70.0,-53.0
36062,-100.0,-70.0,-53.0
36102,-100.0,-70.0,-53.0
36146,-100.0,-70.0,-53.0
36187,-100.0,-70.0,-53.0
36227,-100.0,-70.0,-53.0
36267,-100.0,-70.0,-53.0
36308,-100.0,-70.0,-53.0
36348,-100.0,-70.0,-53.0
36388,-100.0,-70.0,-53.0
36428,-100.0,-70.0,-53.0
36468,-100.0,-70.0,-53.0
36508,-100.0,-70.0,-53.0
36548,-100.0,-70.0,-53.0
36588,-100.0,-70.0,-53.0
36629,-100.0,-70.0,-53.0
36669,-100.0,-70.0,-53.0
36711,-100.0,-70.0,-53.0
36752,-100.0,-70.0,-53.0
36792,-100.0,-70.0,-53.0
36832,-100.0,-70.0,-53.0
37218,-100.0,-70.0,-53.0
37258,-100.0,-70.0,-53.0
37298,-100.0,-70.0,-53.0
37338,-100.0,-70.0,-53.0
37378,-100.0,-70.0,-53.0
37379,-100.0,-70.0,-53.0
37829,-100.0,-70.0,-53.0
37844,-100.0,-71.0,-53.0
37886,-100.0,-73.0,-53.0
37901,-100.0,-74.0,-53.0
37915,-100.0,-75.0,-53.0
37933,-100.0,-76.0,-53.0
37953,-100.0,-77.0,-53.0
38311,-100.0,-77.0,-53.0
38326,-100.0,-77.0,-52.0
38340,-100.0,-77.0,-51.0
38357,-100.0,-77.0,-49.0
38372,-100.0,-77.0,-48.0
38386,-100.0,-77.0,-47.0
38403,-100.0,-77.0,-46.0
38756,-100.0,-77.0,-46.0
38774,-100.0,-77.0,-45.0
38788,-100.0,-77.0,-44.0
38802,-100.0,-77.0,-43.0
38819,-100.0,-77.0,-42.0
38845,-100.0,-77.0,-40.0
38860,-100.0,-77.0,-39.0
40441,-100.0,-77.0,-39.0
40442,-100.0,-77.0,-39.0
40482,-100.0,-77.0,-39.0
68066,-100.0,-77.0,-39.0
68081,-100.0,-77.0,-40.0
68097,-100.0,-77.0,-41.0
68122,-100.0,-77.0,-42.0
68137,-100.0,-77.0,-44.0
68153,-100.0,-77.0,-45.0
68170,-100.0,-77.0,-46.0
68184,-100.0,-77.0,-47.0
68199,-100.0,-77.0,-48.0
68216,-100.0,-77.0,-49.0
68405,-100.0,-77.0,-49.0
68422,-100.0,-77.0,-50.0
68436,-100.0,-77.0,-51.0
68452,-100.0,-77.0,-52.0
68467,-100.0,-77.0,-54.0
68482,-100.0,-77.0,-55.0
68508,-100.0,-77.0,-56.0
68524,-100.0,-77.0,-57.0
68539,-100.0,-77.0,-58.0
68687,-100.0,-77.0,-58.0
68704,-100.0,-77.0,-59.0
68718,-100.0,-77.0,-60.0
68733,-100.0,-77.0,-61.0
68750,-100.0,-77.0,-62.0
68775,-100.0,-77.0,-63.0
68791,-100.0,-77.0,-64.0
68805,-100.0,-77.0,-65.0
68923,-100.0,-77.0,-65.0
68940,-100.0,-77.0,-66.0
68954,-100.0,-77.0,-67.0
68969,-100.0,-77.0,-68.0
68985,-100.0,-77.0,-70.0
69001,-100.0,-77.0,-71.0
69027,-100.0,-77.0,-72.0
69135,-100.0,-77.0,-72.0
69161,-100.0,-77.0,-73.0
69177,-100.0,-77.0,-74.0
69192,-100.0,-77.0,-75.0
69207,-100.0,-77.0,-76.0
69221,-100.0,-77.0,-77.0
69238,-100.0,-77.0,-78.0
69622,-100.0,-77.0,-78.0
69638,-100.0,-77.0,-79.0
69654,-100.0,-77.0,-80.0
69669,-100.0,-77.0,-81.0
69694,-100.0,-77.0,-82.0
69711,-100.0,-77.0,-84.0
69726,-100.0,-77.0,-85.0
73420,-100.0,-77.0,-85.0
73436,-100.0,-77.0,-84.0
73450,-100.0,-77.0,-83.0
73466,-100.0,-77.0,-82.0
73492,-100.0,-77.0,-80.0
73507,-100.0,-77.0,-79.0
73521,-100.0,-77.0,-78.0
73538,-100.0,-77.0,-77.0
73700,-100.0,-77.0,-77.0
73718,-100.0,-77.0,-76.0
73732,-100.0,-77.0,-75.0
73758,-100.0,-77.0,-74.0
73774,-100.0,-77.0,-73.0
73791,-100.0,-77.0,-71.0
74000,-100.0,-77.0,-71.0
74018,-100.0,-76.0,-71.0
74032,-100.0,-75.0,-71.0
74062,-100.0,-73.0,-71.0
74079,-100.0,-72.0,-71.0
74118,-100.0,-70.0,-71.0
74141,-100.0,-69.0,-71.0
74167,-100.0,-67.0,-71.0
74243,-100.0,-67.0,-71.0
74273,-99.0,-67.0,-71.0
74290,-99.0,-67.0,-71.0
74324,-97.0,-67.0,-71.0
74335,-97.0,-67.0,-71.0
74375,-94.0,-67.0,-71.0
74383,-94.0,-67.0,-71.0
74423,-91.0,-67.0,-71.0
74430,-91.0,-67.0,-71.0
74456,-90.0,-67.0,-71.0
74661,-90.0,-67.0,-71.0
74690,-88.0,-67.0,-71.0
74697,-88.0,-67.0,-71.0
74710,-87.0,-67.0,-71.0
74717,-87.0,-67.0,-71.0
74733,-86.0,-67.0,-71.0
74742,-86.0,-67.0,-71.0
74752,-85.0,-67.0,-71.0
74763,-85.0,-67.0,-71.0
74781,-84.0,-67.0,-71.0
74787,-84.0,-67.0,-71.0
74799,-83.0,-67.0,-71.0
74812,-83.0,-67.0,-71.0
74831,-82.0,-67.0,-71.0
75711,-82.0,-67.0,-71.0
75724,-83.0,-67.0,-71.0
75731,-83.0,-67.0,-71.0
75745,-84.0,-67.0,-71.0
75750,-84.0,-67.0,-71.0
75765,-85.0,-67.0,-71.0
75775,-85.0,-67.0,-71.0
75786,-86.0,-67.0,-71.0
75796,-86.0,-67.0,-71.0
75812,-87.0,-67.0,-71.0
75818,-87.0,-67.0,-71.0
75833,-88.0,-67.0,-71.0
75843,-88.0,-67.0,-71.0
75863,-89.0,-67.0,-71.0
75870,-89.0,-67.0,-71.0
75891,-90.0,-67.0,-71.0
75899,-90.0,-67.0,-71.0
75911,-91.0,-67.0,-71.0
75918,-91.0,-67.0,-71.0
75933,-92.0,-67.0,-71.0
75943,-92.0,-67.0,-71.0
75964,-93.0,-67.0,-71.0
75970,-93.0,-67.0,-71.0
75986,-94.0,-67.0,-71.0
75996,-94.0,-67.0,-71.0
76010,-95.0,-67.0,-71.0
76035,-95.0,-67.0,-71.0
76046,-96.0,-67.0,-71.0
76057,-96.0,-67.0,-71.0
76073,-97.0,-67.0,-71.0
76082,-97.0,-67.0,-71.0
76099,-98.0,-67.0,-71.0
76109,-98.0,-67.0,-71.0
76125,-99.0,-67.0,-71.0
76409,-99.0,-67.0,-71.0
76424,-100.0,-67.0,-71.0
80109,-100.0,-67.0,-71.0
80124,-100.0,-67.0,-72.0
80138,-100.0,-67.0,-73.0
80153,-100.0,-67.0,-74.0
80170,-100.0,-67.0,-75.0
80195,-100.0,-67.0,-76.0
80210,-100.0,-67.0,-77.0
80227,-100.0,-67.0,-78.0
80242,-100.0,-67.0,-80.0
80493,-100.0,-67.0,-80.0
80509,-100.0,-67.0,-81.0
80525,-100.0,-67.0,-82.0
80540,-100.0,-67.0,-83.0
80556,-100.0,-67.0,-84.0
80581,-100.0,-67.0,-85.0
80597,-100.0,-67.0,-86.0
80612,-100.0,-67.0,-87.0
84930,-100.0,-67.0,-87.0
84948,-100.0,-68.0,-87.0
84963,-100.0,-69.0,-87.0
84977,-100.0,-70.0,-87.0
85003,-100.0,-71.0,-87.0
85019,-100.0,-72.0,-87.0
85033,-100.0,-73.0,-87.0
85049,-100.0,-74.0,-87.0
85065,-100.0,-75.0,-87.0
85080,-100.0,-77.0,-87.0
86084,-100.0,-77.0,-87.0
86102,-100.0,-78.0,-87.0
86130,-100.0,-80.0,-87.0
86145,-100.0,-81.0,-87.0
86161,-100.0,-82.0,-87.0
86180,-100.0,-83.0,-87.0
86218,-100.0,-85.0,-87.0
86236,-100.0,-87.0,-87.0
86250,-100.0,-88.0,-87.0
86267,-100.0,-89.0,-87.0
86522,-100.0,-89.0,-87.0
86540,-100.0,-89.0,-87.0
86557,-100.0,-89.0,-87.0
86588,-100.0,-89.0,-87.0
86605,-100.0,-89.0,-87.0
86622,-100.0,-89.0,-87.0
86638,-100.0,-89.0,-87.0
86656,-100.0,-89.0,-87.0
87372,-100.0,-89.0,-87.0
87389,-100.0,-89.0,-87.0
87407,-100.0,-89.0,-87.0
87421,-100.0,-89.0,-87.0
87438,-100.0,-89.0,-87.0
87456,-100.0,-89.0,-87.0
87471,-100.0,-89.0,-87.0
87488,-100.0,-89.0,-87.0
91034,-100.0,-89.0,-87.0
