,A10I249SZXANR,A11W9XU1ESKSA,AA3OOA62I1EEB
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
8693,-100.0,-100.0,-100.0
8716,-100.0,-100.0,-100.0
8728,-100.0,-100.0,-100.0
8763,-100.0,-100.0,-100.0
8770,-100.0,-100.0,-100.0
8804,-100.0,-100.0,-100.0
8845,-100.0,-100.0,-100.0
8873,-100.0,-100.0,-100.0
8881,-100.0,-100.0,-100.0
8909,-100.0,-100.0,-100.0
8930,-100.0,-100.0,-100.0
8944,-100.0,-100.0,-100.0
8966,-100.0,-100.0,-100.0
8978,-100.0,-100.0,-100.0
9001,-100.0,-100.0,-100.0
9004,-100.0,-100.0,-100.0
9010,-100.0,-100.0,-100.0
9021,-100.0,-100.0,-100.0
9042,-100.0,-100.0,-100.0
9055,-100.0,-100.0,-100.0
9063,-100.0,-100.0,-100.0
9072,-100.0,-100.0,-100.0
9096,-100.0,-100.0,-100.0
9108,-100.0,-100.0,-100.0
9129,-100.0,-100.0,-100.0
9142,-100.0,-100.0,-100.0
9163,-100.0,-100.0,-100.0
9178,-100.0,-100.0,-100.0
9200,-100.0,-100.0,-100.0
9203,-100.0,-100.0,-100.0
9209,-100.0,-100.0,-100.0
9220,-100.0,-100.0,-100.0
9242,-100.0,-100.0,-100.0
9255,-100.0,-100.0,-100.0
9263,-100.0,-100.0,-100.0
9274,-100.0,-100.0,-100.0
9298,-100.0,-100.0,-100.0
9309,-100.0,-100.0,-100.0
9337,-100.0,-100.0,-100.0
9345,-100.0,-100.0,-100.0
9365,-100.0,-100.0,-100.0
9378,-100.0,-100.0,-100.0
9408,-100.0,-100.0,-100.0
9422,-100.0,-100.0,-100.0
9429,-100.0,-100.0,-100.0
9437,-100.0,-100.0,-100.0
9459,-100.0,-100.0,-100.0
9472,-100.0,-100.0,-100.0
9494,-100.0,-100.0,-100.0
9507,-100.0,-100.0,-100.0
9513,-100.0,-100.0,-100.0
9523,-100.0,-100.0,-100.0
9531,-100.0,-100.0,-100.0
9542,-100.0,-100.0,-100.0
9548,-100.0,-100.0,-100.0
9559,-100.0,-100.0,-100.0
9566,-100.0,-100.0,-100.0
9577,-100.0,-100.0,-100.0
9582,-100.0,-100.0,-100.0
9594,-100.0,-100.0,-100.0
9600,-100.0,-100.0,-100.0
9611,-100.0,-100.0,-100.0
9634,-100.0,-100.0,-100.0
9636,-100.0,-100.0,-100.0
9642,-100.0,-100.0,-100.0
9654,-100.0,-100.0,-100.0
9659,-100.0,-100.0,-100.0
9671,-100.0,-100.0,-100.0
9677,-100.0,-100.0,-100.0
9689,-100.0,-100.0,-100.0
9695,-100.0,-100.0,-100.0
9706,-100.0,-100.0,-100.0
9713,-100.0,-100.0,-100.0
9723,-100.0,-100.0,-100.0
9744,-100.0,-100.0,-100.0
9759,-100.0,-100.0,-100.0
9765,-100.0,-100.0,-100.0
9779,-100.0,-100.0,-100.0
9800,-100.0,-100.0,-100.0
9810,-100.0,-100.0,-100.0
9817,-100.0,-100.0,-100.0
9828,-100.0,-100.0,-100.0
9834,-100.0,-100.0,-100.0
9846,-100.0,-100.0,-100.0
9863,-100.0,-100.0,-100.0
9873,-100.0,-100.0,-100.0
9879,-100.0,-100.0,-100.0
9889,-100.0,-100.0,-100.0
9913,-100.0,-100.0,-100.0
9923,-100.0,-100.0,-100.0
9928,-100.0,-100.0,-100.0
9940,-100.0,-100.0,-100.0
9948,-100.0,-100.0,-100.0
9959,-100.0,-100.0,-100.0
9965,-100.0,-100.0,-100.0
9974,-100.0,-100.0,-100.0
9982,-100.0,-100.0,-100.0
9993,-100.0,-100.0,-100.0
10000,-100.0,-100.0,-100.0
10011,-100.0,-100.0,-100.0
10017,-100.0,-100.0,-100.0
10028,-100.0,-100.0,-100.0
10034,-100.0,-100.0,-100.0
10046,-100.0,-100.0,-100.0
10054,-100.0,-100.0,-100.0
10069,-100.0,-100.0,-100.0
10075,-100.0,-100.0,-100.0
10087,-100.0,-100.0,-100.0
10092,-100.0,-100.0,-100.0
10105,-100.0,-100.0,-100.0
10111,-100.0,-100.0,-100.0
10122,-100.0,-100.0,-100.0
10127,-100.0,-100.0,-100.0
10140,-100.0,-100.0,-100.0
10145,-100.0,-100.0,-100.0
10156,-100.0,-100.0,-100.0
10163,-100.0,-100.0,-100.0
10174,-100.0,-100.0,-100.0
10180,-100.0,-100.0,-100.0
10192,-100.0,-100.0,-100.0
10197,-100.0,-100.0,-100.0
10209,-100.0,-100.0,-100.0
10215,-100.0,-100.0,-100.0
10227,-100.0,-100.0,-100.0
10233,-100.0,-100.0,-100.0
10245,-100.0,-100.0,-100.0
10253,-100.0,-100.0,-100.0
10262,-100.0,-100.0,-100.0
10268,-100.0,-100.0,-100.0
10279,-100.0,-100.0,-100.0
10286,-100.0,-100.0,-100.0
10290,-100.0,-100.0,-100.0
10303,-100.0,-100.0,-100.0
10309,-100.0,-100.0,-100.0
10321,-100.0,-100.0,-100.0
10327,-100.0,-100.0,-100.0
10340,-100.0,-100.0,-100.0
10345,-100.0,-100.0,-100.0
10355,-100.0,-100.0,-100.0
10362,-100.0,-100.0,-100.0
10375,-100.0,-100.0,-100.0
10381,-100.0,-100.0,-100.0
10391,-100.0,-100.0,-100.0
10397,-100.0,-100.0,-100.0
10409,-100.0,-100.0,-100.0
10414,-100.0,-100.0,-100.0
10426,-100.0,-100.0,-100.0
10432,-100.0,-100.0,-100.0
10443,-100.0,-100.0,-100.0
10450,-100.0,-100.0,-100.0
10461,-100.0,-100.0,-100.0
10468,-100.0,-100.0,-100.0
10478,-100.0,-100.0,-100.0
10484,-100.0,-100.0,-100.0
10486,-100.0,-100.0,-100.0
10491,-100.0,-100.0,-100.0
10504,-100.0,-100.0,-100.0
10509,-100.0,-100.0,-100.0
10521,-100.0,-100.0,-100.0
10527,-100.0,-100.0,-100.0
10539,-100.0,-100.0,-100.0
10545,-100.0,-100.0,-100.0
10555,-100.0,-100.0,-100.0
10562,-100.0,-100.0,-100.0
10573,-100.0,-100.0,-100.0
10581,-100.0,-100.0,-100.0
10591,-100.0,-100.0,-100.0
10596,-100.0,-100.0,-100.0
10608,-100.0,-100.0,-100.0
10614,-100.0,-100.0,-100.0
10625,-100.0,-100.0,-100.0
10631,-100.0,-100.0,-100.0
10643,-100.0,-100.0,-100.0
10649,-100.0,-100.0,-100.0
10660,-100.0,-100.0,-100.0
10666,-100.0,-100.0,-100.0
10678,-100.0,-100.0,-100.0
10684,-100.0,-100.0,-100.0
10696,-100.0,-100.0,-100.0
10704,-100.0,-100.0,-100.0
10719,-100.0,-100.0,-100.0
10727,-100.0,-100.0,-100.0
10737,-100.0,-100.0,-100.0
10744,-100.0,-100.0,-100.0
10754,-100.0,-100.0,-100.0
10760,-100.0,-100.0,-100.0
10772,-100.0,-100.0,-100.0
10778,-100.0,-100.0,-100.0
10791,-100.0,-100.0,-100.0
10797,-100.0,-100.0,-100.0
10808,-100.0,-100.0,-100.0
10814,-100.0,-100.0,-100.0
10824,-100.0,-100.0,-100.0
10831,-100.0,-100.0,-100.0
10843,-100.0,-100.0,-100.0
10848,-100.0,-100.0,-100.0
10860,-100.0,-100.0,-100.0
10866,-100.0,-100.0,-100.0
10877,-100.0,-100.0,-100.0
10883,-100.0,-100.0,-100.0
10896,-100.0,-100.0,-100.0
10901,-100.0,-100.0,-100.0
10911,-100.0,-100.0,-100.0
10920,-100.0,-100.0,-100.0
10923,-100.0,-100.0,-100.0
10939,-100.0,-100.0,-100.0
10959,-100.0,-100.0,-100.0
10972,-100.0,-100.0,-100.0
10977,-100.0,-100.0,-100.0
10990,-100.0,-100.0,-100.0
10995,-100.0,-100.0,-100.0
11006,-100.0,-100.0,-100.0
11013,-100.0,-100.0,-100.0
11024,-100.0,-100.0,-100.0
11030,-100.0,-100.0,-100.0
11042,-100.0,-100.0,-100.0
11048,-100.0,-100.0,-100.0
11060,-100.0,-100.0,-100.0
11066,-100.0,-100.0,-100.0
11077,-100.0,-100.0,-100.0
11083,-100.0,-100.0,-100.0
11094,-100.0,-100.0,-100.0
11101,-100.0,-100.0,-100.0
11112,-100.0,-100.0,-100.0
11119,-100.0,-100.0,-100.0
11130,-100.0,-100.0,-100.0
11135,-100.0,-100.0,-100.0
11137,-100.0,-100.0,-100.0
11142,-100.0,-100.0,-100.0
11154,-100.0,-100.0,-100.0
27007,-100.0,-100.0,-100.0
27027,-100.0,-100.0,-100.0
27048,-100.0,-100.0,-100.0
27058,-100.0,-100.0,-100.0
27080,-100.0,-100.0,-100.0
27100,-100.0,-100.0,-100.0
27121,-100.0,-100.0,-100.0
27163,-100.0,-100.0,-100.0
27184,-100.0,-100.0,-100.0
27206,-100.0,-100.0,-100.0
27226,-100.0,-100.0,-100.0
27247,-100.0,-100.0,-100.0
27269,-100.0,-100.0,-100.0
27278,-100.0,-100.0,-100.0
27300,-100.0,-100.0,-100.0
27321,-100.0,-100.0,-100.0
27404,-100.0,-100.0,-100.0
27425,-100.0,-100.0,-100.0
27446,-100.0,-100.0,-100.0
27467,-100.0,-100.0,-100.0
27488,-100.0,-100.0,-100.0
27498,-100.0,-100.0,-100.0
27519,-100.0,-100.0,-100.0
27541,-100.0,-100.0,-100.0
27561,-100.0,-100.0,-100.0
27582,-100.0,-100.0,-100.0
27604,-100.0,-100.0,-100.0
27625,-100.0,-100.0,-100.0
27645,-100.0,-100.0,-100.0
27667,-100.0,-100.0,-100.0
28360,-100.0,-100.0,-100.0
28387,-100.0,-100.0,-100.0
28424,-100.0,-100.0,-100.0
28443,-100.0,-100.0,-100.0
28464,-100.0,-100.0,-100.0
28486,-100.0,-100.0,-100.0
28507,-100.0,-100.0,-100.0
28527,-100.0,-100.0,-100.0
28550,-100.0,-100.0,-100.0
28559,-100.0,-100.0,-100.0
28580,-100.0,-100.0,-100.0
28601,-100.0,-100.0,-100.0
28622,-100.0,-100.0,-100.0
28643,-100.0,-100.0,-100.0
28664,-100.0,-100.0,-100.0
28684,-100.0,-100.0,-100.0
28705,-100.0,-100.0,-100.0
28726,-100.0,-100.0,-100.0
28747,-100.0,-100.0,-100.0
28768,-100.0,-100.0,-100.0
28778,-100.0,-100.0,-100.0
28799,-100.0,-100.0,-100.0
28821,-100.0,-100.0,-100.0
28841,-100.0,-100.0,-100.0
28862,-100.0,-100.0,-100.0
28884,-100.0,-100.0,-100.0
28905,-100.0,-100.0,-100.0
28925,-100.0,-100.0,-100.0
28947,-100.0,-100.0,-100.0
28967,-100.0,-100.0,-100.0
28988,-100.0,-100.0,-100.0
28999,-100.0,-100.0,-100.0
29020,-100.0,-100.0,-100.0
29042,-100.0,-100.0,-100.0
29062,-100.0,-100.0,-100.0
29084,-100.0,-100.0,-100.0
29104,-100.0,-100.0,-100.0
29125,-100.0,-100.0,-100.0
29146,-100.0,-100.0,-100.0
29167,-100.0,-100.0,-100.0
29188,-100.0,-100.0,-100.0
29199,-100.0,-100.0,-100.0
29220,-100.0,-100.0,-100.0
29240,-100.0,-100.0,-100.0
33281,-100.0,-100.0,-100.0
33282,-100.0,-100.0,-100.0
33332,-100.0,-100.0,-100.0
33334,-100.0,-100.0,-100.0
33346,-100.0,-100.0,-100.0
33350,-100.0,-100.0,-100.0
33383,-100.0,-100.0,-100.0
33388,-100.0,-100.0,-100.0
33418,-100.0,-100.0,-100.0
33423,-100.0,-100.0,-100.0
33470,-100.0,-100.0,-100.0
33495,-100.0,-100.0,-100.0
33506,-100.0,-100.0,-100.0
33511,-100.0,-100.0,-100.0
33586,-100.0,-100.0,-100.0
33595,-100.0,-100.0,-100.0
33644,-100.0,-100.0,-100.0
33690,-100.0,-100.0,-100.0
33717,-100.0,-100.0,-100.0
33754,-100.0,-100.0,-100.0
33771,-100.0,-100.0,-100.0
33824,-100.0,-100.0,-100.0
33839,-100.0,-100.0,-100.0
33884,-100.0,-100.0,-100.0
33900,-100.0,-100.0,-100.0
33943,-100.0,-100.0,-100.0
33957,-100.0,-100.0,-100.0
33985,-100.0,-100.0,-100.0
34004,-100.0,-100.0,-100.0
34041,-100.0,-100.0,-100.0
34079,-100.0,-100.0,-100.0
34095,-100.0,-100.0,-100.0
34116,-100.0,-100.0,-100.0
34118,-100.0,-100.0,-100.0
34146,-100.0,-100.0,-100.0
34152,-100.0,-100.0,-100.0
34158,-100.0,-100.0,-100.0
34163,-100.0,-100.0,-100.0
34172,-100.0,-100.0,-100.0
34178,-100.0,-100.0,-100.0
34192,-100.0,-100.0,-100.0
34211,-100.0,-100.0,-100.0
34216,-100.0,-100.0,-100.0
34224,-100.0,-100.0,-100.0
34226,-100.0,-100.0,-100.0
34233,-100.0,-100.0,-100.0
34252,-100.0,-100.0,-100.0
34257,-100.0,-100.0,-100.0
34270,-100.0,-100.0,-100.0
34287,-100.0,-100.0,-100.0
34295,-100.0,-100.0,-100.0
34304,-100.0,-100.0,-100.0
34322,-100.0,-100.0,-100.0
34352,-100.0,-100.0,-100.0
34367,-100.0,-100.0,-100.0
34369,-100.0,-100.0,-100.0
34386,-100.0,-100.0,-100.0
34387,-100.0,-100.0,-100.0
34393,-100.0,-100.0,-100.0
34404,-100.0,-100.0,-100.0
