,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A2XZXWD30F6AN
64956,-100.0,-100.0,-81.0
64987,-100.0,-100.0,-81.0
65003,-100.0,-100.0,-81.0
65023,-100.0,-100.0,-81.0
65031,-100.0,-100.0,-81.0
65044,-100.0,-100.0,-81.0
65061,-100.0,-100.0,-81.0
65063,-100.0,-100.0,-81.0
65082,-100.0,-100.0,-81.0
65099,-100.0,-100.0,-81.0
65119,-100.0,-100.0,-81.0
65134,-100.0,-100.0,-81.0
65149,-100.0,-100.0,-81.0
65167,-100.0,-100.0,-81.0
65182,-100.0,-100.0,-81.0
65185,-100.0,-100.0,-81.0
65202,-100.0,-100.0,-81.0
65220,-100.0,-100.0,-81.0
65238,-100.0,-100.0,-81.0
65254,-100.0,-100.0,-81.0
65262,-100.0,-100.0,-81.0
65270,-100.0,-100.0,-81.0
65281,-100.0,-100.0,-81.0
65297,-100.0,-100.0,-81.0
65316,-100.0,-100.0,-81.0
65349,-100.0,-100.0,-81.0
65367,-100.0,-100.0,-81.0
65385,-100.0,-100.0,-81.0
65388,-100.0,-100.0,-81.0
65403,-100.0,-100.0,-81.0
65419,-100.0,-100.0,-81.0
65437,-100.0,-100.0,-81.0
65454,-100.0,-100.0,-81.0
65461,-100.0,-100.0,-81.0
65479,-100.0,-100.0,-81.0
65492,-100.0,-100.0,-81.0
65497,-100.0,-100.0,-81.0
65513,-100.0,-100.0,-81.0
65522,-100.0,-100.0,-81.0
65532,-100.0,-100.0,-81.0
65548,-100.0,-100.0,-81.0
65566,-100.0,-100.0,-81.0
65600,-100.0,-100.0,-81.0
65635,-100.0,-100.0,-81.0
65653,-100.0,-100.0,-81.0
65657,-100.0,-100.0,-81.0
65672,-100.0,-100.0,-81.0
65679,-100.0,-100.0,-81.0
65696,-100.0,-100.0,-81.0
65705,-100.0,-100.0,-81.0
65731,-100.0,-100.0,-81.0
65752,-100.0,-100.0,-81.0
65770,-100.0,-100.0,-81.0
65786,-100.0,-100.0,-81.0
65800,-100.0,-100.0,-81.0
65818,-100.0,-100.0,-81.0
65837,-100.0,-100.0,-81.0
65853,-100.0,-100.0,-81.0
65873,-100.0,-100.0,-81.0
65888,-100.0,-100.0,-81.0
65894,-100.0,-100.0,-81.0
65913,-100.0,-100.0,-81.0
65928,-100.0,-100.0,-81.0
65930,-100.0,-100.0,-81.0
65948,-100.0,-100.0,-81.0
65967,-100.0,-100.0,-81.0
66055,-100.0,-100.0,-81.0
66056,-100.0,-100.0,-81.0
66103,-100.0,-100.0,-81.0
66109,-100.0,-100.0,-81.0
66116,-100.0,-100.0,-81.0
66117,-100.0,-100.0,-81.0
66132,-100.0,-100.0,-81.0
66147,-100.0,-100.0,-81.0
66168,-100.0,-100.0,-81.0
66182,-100.0,-100.0,-81.0
66190,-100.0,-100.0,-81.0
66200,-100.0,-100.0,-81.0
66218,-100.0,-100.0,-81.0
66236,-100.0,-100.0,-81.0
66251,-100.0,-100.0,-81.0
66256,-100.0,-100.0,-81.0
66269,-100.0,-100.0,-81.0
66288,-100.0,-100.0,-81.0
66294,-100.0,-100.0,-81.0
66304,-100.0,-100.0,-81.0
66330,-100.0,-100.0,-81.0
66345,-100.0,-100.0,-81.0
66350,-100.0,-100.0,-81.0
66364,-100.0,-100.0,-81.0
66375,-100.0,-100.0,-81.0
66382,-100.0,-100.0,-81.0
66398,-100.0,-100.0,-81.0
66417,-100.0,-100.0,-81.0
66434,-100.0,-100.0,-81.0
66451,-100.0,-100.0,-81.0
66468,-100.0,-100.0,-81.0
66476,-100.0,-100.0,-81.0
66486,-100.0,-100.0,-81.0
66505,-100.0,-100.0,-81.0
66522,-100.0,-100.0,-81.0
66581,-100.0,-100.0,-81.0
66616,-100.0,-100.0,-81.0
66651,-100.0,-100.0,-81.0
66733,-100.0,-100.0,-81.0
66766,-100.0,-100.0,-81.0
67835,-100.0,-100.0,-81.0
67857,-100.0,-100.0,-81.0
67884,-100.0,-100.0,-81.0
67898,-100.0,-100.0,-81.0
67928,-100.0,-100.0,-81.0
67944,-100.0,-100.0,-81.0
67969,-100.0,-100.0,-81.0
68060,-100.0,-100.0,-81.0
68082,-100.0,-100.0,-81.0
68114,-100.0,-100.0,-81.0
68125,-100.0,-100.0,-81.0
68151,-100.0,-100.0,-81.0
68167,-100.0,-100.0,-81.0
68194,-100.0,-100.0,-81.0
68212,-100.0,-100.0,-81.0
68310,-100.0,-100.0,-81.0
68328,-100.0,-100.0,-81.0
68353,-100.0,-100.0,-81.0
68368,-100.0,-100.0,-81.0
68402,-100.0,-100.0,-81.0
68446,-100.0,-100.0,-81.0
68474,-100.0,-100.0,-81.0
68492,-100.0,-100.0,-81.0
68507,-100.0,-100.0,-81.0
68516,-100.0,-100.0,-81.0
68533,-100.0,-100.0,-81.0
68539,-100.0,-100.0,-81.0
68588,-100.0,-100.0,-81.0
68618,-100.0,-100.0,-81.0
68626,-100.0,-100.0,-81.0
68643,-100.0,-100.0,-81.0
68646,-100.0,-100.0,-81.0
68661,-100.0,-100.0,-81.0
68668,-100.0,-100.0,-81.0
68679,-100.0,-100.0,-81.0
68685,-100.0,-100.0,-81.0
68691,-100.0,-100.0,-81.0
68697,-100.0,-100.0,-81.0
68700,-100.0,-100.0,-81.0
68713,-100.0,-100.0,-81.0
68731,-100.0,-100.0,-81.0
68749,-100.0,-100.0,-81.0
68753,-100.0,-100.0,-81.0
68767,-100.0,-100.0,-81.0
68784,-100.0,-100.0,-81.0
68796,-100.0,-100.0,-81.0
68800,-100.0,-100.0,-81.0
68809,-100.0,-100.0,-81.0
68817,-100.0,-100.0,-81.0
68843,-100.0,-100.0,-81.0
68855,-100.0,-100.0,-81.0
68897,-100.0,-100.0,-81.0
68907,-100.0,-100.0,-81.0
68914,-100.0,-100.0,-81.0
68939,-100.0,-100.0,-81.0
68949,-100.0,-100.0,-81.0
68967,-100.0,-100.0,-81.0
68984,-100.0,-100.0,-81.0
68990,-100.0,-100.0,-81.0
68992,-100.0,-100.0,-81.0
69020,-100.0,-100.0,-81.0
69029,-100.0,-100.0,-81.0
69041,-100.0,-100.0,-81.0
69056,-100.0,-100.0,-81.0
69060,-100.0,-99.8,-81.0
69069,-100.0,-99.6,-81.0
69081,-100.0,-99.4,-81.0
69086,-100.0,-99.2,-81.0
69107,-100.0,-99.0,-81.0
69112,-100.0,-99.0,-81.0
69118,-100.0,-99.0,-81.0
69149,-100.0,-99.0,-81.0
69210,-100.0,-99.0,-81.0
69219,-100.0,-99.0,-81.0
69225,-100.0,-99.0,-81.0
69244,-100.0,-99.0,-81.0
69247,-100.0,-99.0,-81.0
69277,-100.0,-98.8,-81.0
69280,-100.0,-98.6,-81.0
69291,-100.0,-98.4,-81.0
69313,-100.0,-98.2,-81.0
69317,-100.0,-98.0,-81.0
69321,-100.0,-97.83333333333333,-81.0
69354,-100.0,-97.66666666666667,-81.0
69400,-100.0,-97.5,-81.0
69419,-100.0,-97.33333333333333,-81.0
69442,-100.0,-97.16666666666667,-81.0
69445,-100.0,-97.0,-81.0
69449,-100.0,-97.0,-81.0
69458,-100.0,-97.0,-81.0
69467,-100.0,-97.0,-81.0
69476,-100.0,-97.0,-81.0
69480,-100.0,-97.0,-81.0
69487,-100.0,-97.0,-81.0
69497,-100.0,-96.75,-81.0
69505,-100.0,-96.5,-81.0
69525,-100.0,-96.25,-81.0
69531,-100.0,-96.0,-81.0
69582,-100.0,-96.0,-81.0
69585,-100.0,-96.0,-81.0
69601,-100.0,-95.5,-81.0
69606,-100.0,-95.0,-81.0
69617,-100.0,-94.88888888888889,-81.0
69624,-100.0,-94.77777777777777,-81.0
69635,-100.0,-94.66666666666667,-81.0
69646,-100.0,-94.55555555555556,-81.0
69652,-100.0,-94.44444444444444,-81.0
69658,-100.0,-94.33333333333333,-81.0
69675,-100.0,-94.22222222222223,-81.0
69676,-100.0,-94.11111111111111,-81.0
69678,-100.0,-94.0,-81.0
69690,-100.0,-93.5,-81.0
69741,-100.0,-93.0,-81.0
69763,-100.0,-92.83333333333333,-81.0
69781,-100.0,-92.66666666666667,-81.0
69782,-100.0,-92.5,-81.0
69799,-100.0,-92.33333333333333,-81.0
69801,-100.0,-92.16666666666667,-81.0
69810,-100.0,-92.0,-81.0
69816,-100.0,-92.0,-81.0
69825,-100.0,-92.0,-81.0
69829,-100.0,-92.0,-81.0
69833,-100.0,-92.0,-81.0
69851,-100.0,-92.0,-81.0
69859,-100.0,-92.0,-81.0
69860,-100.0,-92.0,-81.0
69862,-100.0,-91.66666666666667,-81.0
