,A2YN6Z2DAW88X,A3KE7OXK8J5QA,A3TUMZ954ORSU
21315,-100.0,-100.0,-100.0
21332,-100.0,-100.0,-100.0
21349,-100.0,-100.0,-100.0
21365,-100.0,-100.0,-100.0
21383,-100.0,-100.0,-100.0
21403,-100.0,-100.0,-100.0
21416,-100.0,-100.0,-100.0
21433,-100.0,-100.0,-100.0
21450,-100.0,-100.0,-100.0
21466,-100.0,-100.0,-100.0
21483,-100.0,-100.0,-100.0
21499,-100.0,-100.0,-100.0
21515,-100.0,-100.0,-100.0
21533,-100.0,-100.0,-100.0
21551,-100.0,-100.0,-100.0
21568,-100.0,-100.0,-100.0
21582,-100.0,-100.0,-100.0
21599,-100.0,-100.0,-100.0
21617,-100.0,-100.0,-100.0
21633,-100.0,-100.0,-100.0
21650,-100.0,-100.0,-100.0
21668,-100.0,-100.0,-100.0
21684,-100.0,-100.0,-100.0
21700,-100.0,-100.0,-100.0
21717,-100.0,-100.0,-100.0
21733,-100.0,-100.0,-100.0
21749,-100.0,-100.0,-100.0
21765,-100.0,-100.0,-100.0
21783,-100.0,-100.0,-100.0
21800,-100.0,-100.0,-100.0
21819,-100.0,-100.0,-100.0
21832,-100.0,-100.0,-100.0
21850,-100.0,-100.0,-100.0
21866,-100.0,-100.0,-100.0
21883,-100.0,-100.0,-100.0
21900,-100.0,-100.0,-100.0
21915,-100.0,-100.0,-100.0
21932,-100.0,-100.0,-100.0
21950,-100.0,-100.0,-100.0
21969,-100.0,-100.0,-100.0
21986,-100.0,-100.0,-100.0
21999,-100.0,-100.0,-100.0
22017,-100.0,-100.0,-100.0
22033,-100.0,-100.0,-100.0
22050,-100.0,-100.0,-100.0
22066,-100.0,-100.0,-100.0
22084,-100.0,-100.0,-100.0
22099,-100.0,-100.0,-100.0
22117,-100.0,-100.0,-100.0
22132,-100.0,-100.0,-100.0
22150,-100.0,-100.0,-100.0
22165,-100.0,-100.0,-100.0
22182,-100.0,-100.0,-100.0
22189,-100.0,-100.0,-100.0
22201,-100.0,-100.0,-100.0
22206,-100.0,-100.0,-100.0
22214,-100.0,-100.0,-100.0
22217,-100.0,-100.0,-100.0
22232,-100.0,-100.0,-100.0
22252,-100.0,-100.0,-100.0
22255,-100.0,-100.0,-100.0
22259,-100.0,-100.0,-100.0
22265,-100.0,-100.0,-100.0
22283,-100.0,-100.0,-100.0
22288,-100.0,-100.0,-100.0
22293,-100.0,-100.0,-100.0
22300,-100.0,-100.0,-100.0
22305,-100.0,-100.0,-100.0
22309,-100.0,-100.0,-100.0
22316,-100.0,-100.0,-100.0
22321,-100.0,-100.0,-100.0
22325,-100.0,-100.0,-100.0
22332,-100.0,-100.0,-100.0
22338,-100.0,-100.0,-100.0
22342,-100.0,-100.0,-100.0
22349,-100.0,-100.0,-100.0
22355,-100.0,-100.0,-100.0
22359,-100.0,-100.0,-100.0
22365,-100.0,-100.0,-100.0
22371,-100.0,-100.0,-100.0
22377,-100.0,-100.0,-100.0
22383,-100.0,-100.0,-100.0
22388,-100.0,-100.0,-100.0
22392,-100.0,-100.0,-100.0
22400,-100.0,-100.0,-100.0
22405,-100.0,-100.0,-100.0
22410,-100.0,-100.0,-100.0
22415,-100.0,-100.0,-100.0
22421,-100.0,-100.0,-100.0
22425,-100.0,-100.0,-100.0
22433,-100.0,-100.0,-100.0
22438,-100.0,-100.0,-100.0
22441,-100.0,-100.0,-100.0
22450,-100.0,-100.0,-100.0
22455,-100.0,-100.0,-100.0
22460,-100.0,-100.0,-100.0
22466,-100.0,-100.0,-100.0
22473,-100.0,-100.0,-100.0
22478,-100.0,-100.0,-100.0
22483,-100.0,-100.0,-100.0
22499,-100.0,-100.0,-100.0
22505,-100.0,-100.0,-100.0
22509,-100.0,-100.0,-100.0
22515,-100.0,-100.0,-100.0
22521,-100.0,-100.0,-100.0
22525,-100.0,-100.0,-100.0
22536,-100.0,-100.0,-100.0
22538,-100.0,-100.0,-100.0
22544,-100.0,-100.0,-100.0
22550,-100.0,-100.0,-100.0
22555,-100.0,-100.0,-100.0
22559,-100.0,-100.0,-100.0
22566,-100.0,-100.0,-100.0
22571,-100.0,-100.0,-100.0
22576,-100.0,-100.0,-100.0
22583,-100.0,-100.0,-100.0
22588,-100.0,-100.0,-100.0
22592,-100.0,-100.0,-100.0
22599,-100.0,-100.0,-100.0
22605,-100.0,-100.0,-100.0
22609,-100.0,-100.0,-100.0
22618,-100.0,-100.0,-100.0
22621,-100.0,-100.0,-100.0
22626,-100.0,-100.0,-100.0
22633,-100.0,-100.0,-100.0
22638,-100.0,-100.0,-100.0
22642,-100.0,-100.0,-100.0
22653,-100.0,-100.0,-100.0
22665,-100.0,-100.0,-100.0
22671,-100.0,-100.0,-100.0
22675,-100.0,-100.0,-100.0
22682,-100.0,-100.0,-100.0
22688,-100.0,-100.0,-100.0
22691,-100.0,-100.0,-100.0
22705,-100.0,-100.0,-100.0
22707,-100.0,-100.0,-100.0
22710,-100.0,-100.0,-100.0
22721,-100.0,-100.0,-100.0
22722,-100.0,-100.0,-100.0
22725,-100.0,-100.0,-100.0
22738,-100.0,-100.0,-100.0
22739,-100.0,-100.0,-100.0
