,A3BPENSX5EVJ2,A1EUJEHDI66UT,A23KB5AO13NF7
0,-100.0,-100.0,-100.0
1,-100.0,,-100.0
15,-100.0,,-100.0
4163,-100.0,,-100.0
4194,-100.0,,-100.0
4226,-100.0,,-100.0
4256,-100.0,,-100.0
4279,-100.0,,-100.0
4310,-100.0,,-100.0
4343,-100.0,,-100.0
4382,-100.0,,-100.0
4829,-100.0,,-100.0
4859,-100.0,,-100.0
4892,-100.0,,-100.0
4918,-100.0,,-100.0
4958,-100.0,,-100.0
4978,-100.0,,-100.0
5012,-100.0,,-100.0
5398,-100.0,,-100.0
5431,-100.0,,-100.0
5462,-100.0,,-100.0
5498,-100.0,,-100.0
5530,-100.0,,-100.0
5559,-100.0,,-100.0
5589,-100.0,,-100.0
5763,-100.0,,-100.0
5797,-100.0,,-100.0
5833,-100.0,,-100.0
5862,-100.0,,-100.0
5885,-100.0,,-100.0
6217,-100.0,,-100.0
6251,-100.0,,-100.0
6293,-100.0,,-100.0
6345,-100.0,,-100.0
6368,-100.0,,-100.0
6557,-100.0,,-100.0
6591,-100.0,,-100.0
6649,-100.0,,-100.0
8691,-100.0,,-100.0
8692,-100.0,,-100.0
8701,-100.0,,-100.0
8709,-100.0,,-100.0
8726,-100.0,,-100.0
8730,-100.0,,-100.0
8734,-100.0,,-100.0
8739,-100.0,,-100.0
8756,-100.0,,-100.0
8760,-100.0,,-100.0
8776,-100.0,,-100.0
8783,-100.0,,-100.0
8808,-100.0,,-100.0
8812,-100.0,,-100.0
8817,-100.0,,-100.0
8822,-100.0,,-100.0
8834,-100.0,,-100.0
8838,-100.0,,-100.0
8858,-100.0,,-100.0
8864,-100.0,,-100.0
8893,-100.0,,-100.0
8898,-100.0,,-100.0
8910,-100.0,,-100.0
8914,-100.0,,-100.0
8926,-100.0,,-100.0
8931,-100.0,,-100.0
8943,-100.0,,-100.0
8957,-100.0,,-100.0
8960,-100.0,,-100.0
8975,-100.0,,-100.0
8979,-100.0,,-100.0
8991,-100.0,,-100.0
8996,-100.0,,-100.0
9008,-100.0,,-100.0
9012,-100.0,,-100.0
9015,-100.0,,-100.0
9019,-100.0,,-100.0
9036,-100.0,,-100.0
9041,-100.0,,-100.0
9075,-100.0,,-100.0
9080,-100.0,,-100.0
9093,-100.0,,-100.0
9097,-100.0,,-100.0
9124,-100.0,,-100.0
9130,-100.0,,-100.0
9158,-100.0,,-100.0
9163,-100.0,,-100.0
9174,-100.0,,-100.0
9178,-100.0,,-100.0
9191,-100.0,,-100.0
9197,-100.0,,-100.0
9224,-100.0,,-100.0
9228,-100.0,,-100.0
9238,-100.0,,-100.0
9242,-100.0,,-100.0
9255,-100.0,,-100.0
9259,-100.0,,-100.0
9276,-100.0,,-100.0
9283,-100.0,,-100.0
9308,-100.0,,-100.0
9312,-100.0,,-100.0
9319,-100.0,,-100.0
9323,-100.0,,-100.0
9334,-100.0,,-100.0
9343,-100.0,,-100.0
9375,-100.0,,-100.0
9379,-100.0,,-100.0
9397,-100.0,,-100.0
9412,-100.0,,-100.0
9423,-100.0,,-100.0
9426,-100.0,,-100.0
9437,-100.0,,-100.0
9443,-100.0,,-100.0
9476,-100.0,,-100.0
9483,-100.0,,-100.0
9493,-100.0,,-100.0
9497,-100.0,,-100.0
9510,-100.0,,-100.0
9513,-100.0,,-100.0
9518,-100.0,,-100.0
9522,-100.0,,-100.0
9537,-100.0,,-100.0
9541,-100.0,,-100.0
9556,-100.0,,-100.0
9562,-100.0,,-100.0
9576,-100.0,,-100.0
9581,-100.0,,-100.0
9611,-100.0,,-100.0
9615,-100.0,,-100.0
9628,-100.0,,-100.0
9632,-100.0,,-100.0
9636,-100.0,,-100.0
9639,-100.0,,-100.0
9658,-100.0,,-100.0
9664,-100.0,,-100.0
9691,-100.0,,-100.0
9699,-100.0,,-100.0
9724,-100.0,,-100.0
9727,-100.0,,-100.0
9738,-100.0,,-100.0
9742,-100.0,,-100.0
9754,-100.0,,-100.0
9758,-100.0,,-100.0
9775,-100.0,,-100.0
9779,-100.0,,-100.0
9791,-100.0,,-100.0
9794,-100.0,,-100.0
9805,-100.0,,-100.0
9808,-100.0,,-100.0
9864,-100.0,,-100.0
9870,-100.0,,-100.0
9883,-100.0,,-100.0
9896,-100.0,,-100.0
9910,-100.0,,-100.0
9916,-100.0,,-100.0
9959,-100.0,,-100.0
9963,-100.0,,-100.0
9976,-100.0,,-100.0
9983,-100.0,,-100.0
9992,-100.0,,-100.0
9996,-100.0,,-100.0
10009,-100.0,,-100.0
10013,-100.0,,-100.0
10027,-100.0,,-100.0
10030,-100.0,,-100.0
10040,-100.0,,-100.0
10045,-100.0,,-100.0
