,A3BPENSX5EVJ2,A1EUJEHDI66UT,A23KB5AO13NF7
10056,-100.0,,-100.0
10060,-100.0,,-100.0
10072,-100.0,,-100.0
10076,-100.0,,-100.0
10088,-100.0,,-100.0
10092,-100.0,,-100.0
10098,-100.0,,-100.0
10102,-100.0,,-100.0
10115,-100.0,,-100.0
10119,-100.0,,-100.0
10136,-100.0,,-100.0
10139,-100.0,,-100.0
10157,-100.0,,-100.0
10161,-100.0,,-100.0
10176,-100.0,,-100.0
10181,-100.0,,-100.0
10191,-100.0,,-100.0
10195,-100.0,,-100.0
10220,-100.0,,-100.0
10224,-100.0,,-100.0
10236,-100.0,,-100.0
10242,-100.0,,-100.0
10254,-100.0,,-100.0
10258,-100.0,,-100.0
10272,-100.0,,-100.0
10275,-100.0,,-100.0
10288,-100.0,,-100.0
10292,-100.0,,-100.0
10299,-100.0,,-100.0
10318,-100.0,,-100.0
10321,-100.0,,-100.0
10336,-100.0,,-100.0
10341,-100.0,,-100.0
10352,-100.0,,-100.0
10354,-100.0,,-100.0
10367,-100.0,,-100.0
10371,-100.0,,-100.0
10379,-100.0,,-100.0
10395,-100.0,,-100.0
10397,-100.0,,-100.0
10418,-100.0,,-100.0
10424,-100.0,,-100.0
10452,-100.0,,-100.0
10456,-100.0,,-100.0
10465,-100.0,,-100.0
10468,-100.0,,-100.0
10472,-100.0,,-100.0
10477,-100.0,,-100.0
10480,-100.0,,-100.0
10492,-100.0,,-100.0
10493,-100.0,,-100.0
10498,-100.0,,-100.0
10517,-100.0,,-100.0
10553,-100.0,,-100.0
10580,-100.0,,-100.0
10668,-100.0,,-100.0
10705,-100.0,,-100.0
10733,-100.0,,-100.0
10767,-100.0,,-100.0
10797,-100.0,,-100.0
10829,-100.0,,-100.0
10886,-100.0,,-100.0
10917,-100.0,,-100.0
10950,-100.0,,-100.0
10982,-100.0,,-100.0
11006,-100.0,,-100.0
11037,-100.0,,-100.0
11436,-100.0,,-100.0
11468,-100.0,,-100.0
11492,-100.0,,-100.0
11520,-100.0,,-100.0
11555,-100.0,,-100.0
15519,-100.0,,-100.0
15584,-100.0,,-100.0
15615,-100.0,,-100.0
15635,-100.0,,-100.0
15733,-100.0,,-100.0
15768,-100.0,,-100.0
15789,-100.0,,-100.0
15821,-100.0,,-100.0
15852,-100.0,,-100.0
15885,-100.0,,-100.0
16424,-100.0,,-100.0
16457,-100.0,,-100.0
16488,-100.0,,-100.0
16519,-100.0,,-100.0
16555,-100.0,,-100.0
16639,-100.0,,-100.0
16670,-100.0,,-100.0
16701,-100.0,,-100.0
16737,-100.0,,-100.0
16758,-100.0,,-100.0
17943,-100.0,,-100.0
17975,-100.0,,-100.0
18014,-100.0,,-100.0
18031,-100.0,,-100.0
18156,-100.0,,-100.0
18189,-100.0,,-100.0
18212,-100.0,,-100.0
18254,-100.0,,-100.0
21891,-100.0,,-100.0
21901,-100.0,,-100.0
21938,-100.0,,-100.0
21945,-100.0,,-100.0
22090,-100.0,,-100.0
22103,-100.0,,-100.0
22146,-100.0,,-100.0
22154,-100.0,,-100.0
22311,-100.0,,-100.0
22325,-100.0,,-100.0
22361,-100.0,,-100.0
22370,-100.0,,-100.0
22495,-100.0,,-100.0
22509,-100.0,,-100.0
22543,-100.0,,-100.0
22551,-100.0,,-100.0
22700,-100.0,,-100.0
22714,-100.0,,-100.0
22907,-100.0,,-100.0
22920,-100.0,,-100.0
22957,-100.0,,-100.0
22970,-100.0,,-100.0
23110,-100.0,,-100.0
23125,-100.0,,-100.0
23162,-100.0,,-100.0
23171,-100.0,,-100.0
23185,-100.0,,-100.0
23195,-100.0,,-100.0
23343,-100.0,,-100.0
23357,-100.0,,-100.0
23397,-100.0,,-100.0
23403,-100.0,,-100.0
23550,-100.0,,-100.0
23577,-100.0,,-100.0
23580,-100.0,,-100.0
23592,-100.0,,-100.0
23599,-100.0,,-100.0
23607,-100.0,,-100.0
23614,-100.0,,-100.0
23625,-100.0,,-100.0
23633,-100.0,,-100.0
23635,-100.0,,-100.0
23643,-100.0,,-100.0
23650,-100.0,,-100.0
23663,-100.0,,-100.0
23762,-100.0,,-100.0
23786,-100.0,,-100.0
23793,-100.0,,-100.0
23809,-100.0,,-100.0
23814,-100.0,,-100.0
23816,-100.0,,-100.0
23828,-100.0,,-100.0
23834,-100.0,,-100.0
23841,-100.0,,-100.0
23849,-100.0,,-100.0
23850,-100.0,,-100.0
23859,-100.0,,-100.0
23867,-100.0,,-100.0
23877,-100.0,,-100.0
23914,-100.0,,-100.0
23993,-100.0,,-100.0
24008,-100.0,,-100.0
24015,-100.0,,-100.0
24031,-100.0,,-100.0
24040,-100.0,,-100.0
24048,-100.0,,-100.0
24058,-100.0,,-100.0
24067,-100.0,,-100.0
24077,-100.0,,-100.0
24104,-100.0,,-100.0
24125,-100.0,,-100.0
24209,-100.0,,-100.0
24225,-100.0,,-100.0
24249,-100.0,,-100.0
24253,-100.0,,-100.0
24257,-100.0,,-100.0
24263,-100.0,,-100.0
24275,-100.0,,-100.0
24276,-100.0,,-100.0
24282,-100.0,,-100.0
24294,-100.0,,-100.0
24306,-100.0,,-100.0
24337,-100.0,,-100.0
24371,-100.0,,-100.0
24427,-100.0,,-100.0
24442,-100.0,,-100.0
24480,-100.0,,-100.0
24487,-100.0,,-100.0
24613,-100.0,,-100.0
24628,-100.0,,-100.0
24636,-100.0,,-100.0
24654,-100.0,,-100.0
24678,-100.0,,-100.0
24687,-100.0,,-100.0
24700,-100.0,,-100.0
24720,-100.0,,-100.0
24828,-100.0,,-100.0
24846,-100.0,,-100.0
24852,-100.0,,-100.0
24867,-100.0,,-100.0
24875,-100.0,,-100.0
24885,-100.0,,-100.0
24894,-100.0,,-100.0
24911,-100.0,,-100.0
25044,-100.0,,-100.0
25057,-100.0,,-100.0
25064,-100.0,,-100.0
25075,-100.0,,-100.0
25084,-100.0,,-100.0
25099,-100.0,,-100.0
25110,-100.0,,-100.0
25119,-100.0,,-100.0
25260,-100.0,,-100.0
25277,-100.0,,-100.0
25309,-100.0,,-100.0
25315,-100.0,,-100.0
25322,-100.0,,-100.0
25338,-100.0,,-100.0
25350,-100.0,,-100.0
25365,-100.0,,-100.0
25477,-100.0,,-100.0
25493,-100.0,,-100.0
25499,-100.0,,-100.0
25516,-100.0,,-100.0
25545,-100.0,,-100.0
25561,-100.0,,-100.0
25568,-100.0,,-100.0
25580,-100.0,,-100.0
25678,-100.0,,-100.0
25693,-100.0,,-100.0
25716,-100.0,,-100.0
25724,-100.0,,-100.0
25734,-100.0,,-100.0
25743,-100.0,,-100.0
25766,-100.0,,-100.0
25781,-100.0,,-100.0
25860,-100.0,,-100.0
25875,-100.0,,-100.0
25901,-100.0,,-100.0
25909,-100.0,,-100.0
26053,-100.0,,-100.0
26058,-100.0,,-100.0
26089,-100.0,,-100.0
26098,-100.0,,-100.0
26120,-100.0,,-100.0
26129,-100.0,,-100.0
26398,-100.0,,-100.0
26431,-100.0,,-100.0
26459,-100.0,,-100.0
26494,-100.0,,-100.0
26516,-100.0,,-100.0
26548,-100.0,,-100.0
26648,-100.0,,-100.0
26701,-100.0,,-100.0
26702,-100.0,,-100.0
26720,-100.0,,-100.0
26753,-100.0,,-100.0
26764,-100.0,,-100.0
26771,-100.0,,-100.0
26790,-100.0,,-100.0
26797,-100.0,,-100.0
26806,-100.0,,-100.0
26918,-100.0,,-100.0
26938,-100.0,,-100.0
26970,-100.0,,-100.0
26987,-100.0,,-100.0
27005,-100.0,,-100.0
27023,-100.0,,-100.0
27040,-100.0,,-100.0
27058,-100.0,,-100.0
27404,-100.0,,-100.0
27422,-100.0,,-100.0
27439,-100.0,,-100.0
27456,-100.0,,-100.0
27475,-100.0,,-100.0
27482,-100.0,,-100.0
27498,-100.0,,-100.0
27516,-100.0,,-100.0
27535,-100.0,,-100.0
27552,-100.0,,-100.0
27569,-100.0,,-100.0
27588,-100.0,,-100.0
27675,-100.0,,-100.0
27692,-100.0,,-100.0
27716,-100.0,,-100.0
28154,-100.0,,-100.0
28188,-100.0,,-100.0
28220,-100.0,,-100.0
28253,-100.0,,-100.0
28274,-100.0,,-100.0
43569,-100.0,,-100.0
43570,-100.0,,-100.0
43637,-100.0,,-100.0
43640,-100.0,,-100.0
43645,-100.0,,-100.0
43649,-100.0,,-100.0
43660,-100.0,,-100.0
43664,-100.0,,-100.0
43677,-100.0,,-100.0
43681,-100.0,,-100.0
43693,-100.0,,-100.0
43697,-100.0,,-100.0
43698,-100.0,,-100.0
43702,-100.0,,-100.0
43718,-100.0,,-100.0
43722,-100.0,,-100.0
43742,-100.0,,-100.0
43745,-100.0,,-100.0
43759,-100.0,,-100.0
43764,-100.0,,-100.0
43776,-100.0,,-100.0
43780,-100.0,,-100.0
43793,-100.0,,-100.0
43796,-100.0,,-100.0
43800,-100.0,,-100.0
43805,-100.0,,-100.0
43819,-100.0,,-100.0
43822,-100.0,,-100.0
43839,-100.0,,-100.0
43844,-100.0,,-100.0
43859,-100.0,,-100.0
43863,-100.0,,-100.0
43893,-100.0,,-100.0
43899,-100.0,,-100.0
43928,-100.0,,-100.0
43932,-100.0,,-100.0
43939,-100.0,,-100.0
43943,-100.0,,-100.0
43978,-100.0,,-100.0
43983,-100.0,,-100.0
44008,-100.0,,-100.0
44012,-100.0,,-100.0
44019,-100.0,,-100.0
44023,-100.0,,-100.0
44036,-100.0,,-100.0
44039,-100.0,,-100.0
44079,-100.0,,-100.0
44083,-100.0,,-100.0
44095,-100.0,,-100.0
44102,-100.0,,-100.0
44127,-100.0,,-100.0
44131,-100.0,,-100.0
44141,-100.0,,-100.0
44147,-100.0,,-100.0
44177,-100.0,,-100.0
44181,-100.0,,-100.0
44194,-100.0,,-100.0
44197,-100.0,,-100.0
44210,-100.0,,-100.0
44211,-100.0,,-100.0
45268,-100.0,,-100.0
45300,-100.0,,-100.0
45367,-100.0,,-100.0
45387,-100.0,,-100.0
45452,-100.0,,-100.0
45517,-100.0,,-100.0
45550,-100.0,,-100.0
45571,-100.0,,-100.0
45601,-100.0,,-100.0
58567,-100.0,,-100.0
58601,-100.0,,-100.0
58665,-100.0,,-100.0
58685,-100.0,,-100.0
58717,-100.0,,-100.0
59081,-100.0,,-100.0
59116,-100.0,,-100.0
59146,-100.0,,-100.0
59169,-100.0,,-100.0
59199,-100.0,,-100.0
59234,-100.0,,-100.0
59266,-100.0,,-100.0
59297,-100.0,,-100.0
59325,-100.0,,-100.0
62538,-100.0,,-100.0
62577,-100.0,,-100.0
62636,-100.0,,-100.0
62668,-100.0,,-100.0
62689,-100.0,,-100.0
62720,-100.0,,-100.0
62756,-100.0,,-100.0
62788,-100.0,,-100.0
63178,-100.0,,-100.0
63217,-100.0,,-100.0
63277,-100.0,,-100.0
63306,-100.0,,-100.0
63392,-100.0,,-100.0
63423,-100.0,,-100.0
63657,-100.0,,-100.0
63701,-100.0,,-100.0
63725,-100.0,,-100.0
63769,-100.0,,-100.0
63778,-100.0,,-100.0
63817,-100.0,,-100.0
63842,-100.0,,-100.0
63880,-100.0,,-100.0
63901,-100.0,,-100.0
63939,-100.0,,-100.0
63942,-100.0,,-100.0
63963,-100.0,,-100.0
63965,-100.0,,-100.0
63993,-100.0,,-100.0
64000,-100.0,,-100.0
64029,-100.0,,-100.0
64062,-100.0,,-100.0
64078,-100.0,,-100.0
64093,-100.0,,-100.0
64133,-100.0,,-100.0
64209,-100.0,,-100.0
64212,-100.0,,-100.0
64244,-100.0,,-100.0
64247,-100.0,,-100.0
64262,-100.0,,-100.0
64270,-100.0,,-100.0
64297,-100.0,,-100.0
64310,-100.0,,-100.0
64329,-100.0,,-100.0
64330,-100.0,,-100.0
64363,-100.0,,-100.0
64369,-100.0,,-100.0
64389,-100.0,,-100.0
64400,-100.0,,-100.0
64429,-100.0,,-100.0
64448,-100.0,,-100.0
64449,-100.0,,-100.0
64500,-100.0,,-100.0
64583,-100.0,,-100.0
64631,-100.0,,-100.0
64650,-100.0,,-100.0
64692,-100.0,,-100.0
64713,-100.0,,-100.0
64754,-100.0,,-100.0
64776,-100.0,,-100.0
64811,-100.0,,-100.0
64812,-100.0,-10.0,-100.0
64825,-100.0,-9.666666666666666,-100.0
64848,-100.0,-9.333333333333334,-100.0
64866,-100.0,-9.0,-100.0
64876,-100.0,-8.0,-100.0
64902,-100.0,-8.0,-100.0
64926,-100.0,-8.0,-100.0
64955,-100.0,-8.0,-100.0
64968,-100.0,-7.5,-100.0
64990,-100.0,-7.0,-100.0
65032,-100.0,-7.0,-100.0
65056,-100.0,-7.0,-100.0
65103,-100.0,-7.0,-100.0
65120,-100.0,-7.0,-100.0
65124,-100.0,-6.666666666666667,-100.0
65166,-100.0,-6.333333333333333,-100.0
65173,-100.0,-6.0,-100.0
65189,-100.0,-6.0,-100.0
65234,-100.0,-6.0,-100.0
65256,-100.0,-6.0,-100.0
65282,-100.0,-6.0,-100.0
65296,-100.0,-5.5,-100.0
65311,-100.0,-5.0,-100.0
65316,-100.0,-5.0,-100.0
65364,-100.0,-5.0,-100.0
65366,-100.0,-4.5,-100.0
65393,-100.0,-4.0,-100.0
65394,-100.0,-4.0,-100.0
65445,-100.0,-4.0,-100.0
65465,-100.0,-4.0,-100.0
65489,-100.0,-4.0,-100.0
65513,-100.0,-3.5,-100.0
65518,-100.0,-3.0,-100.0
65534,-100.0,-3.0,-100.0
65575,-100.0,-3.0,-100.0
65653,-100.0,-3.0,-100.0
65686,-100.0,-3.0,-100.0
65696,-100.0,-2.5,-100.0
65698,-100.0,-2.0,-100.0
65718,-100.0,-2.0,-100.0
65747,-100.0,-2.0,-100.0
65761,-100.0,-1.0,-100.0
65777,-100.0,-1.0,-100.0
65801,-100.0,-1.0,-100.0
65852,-100.0,-1.0,-100.0
65871,-100.0,-1.0,-100.0
65894,-100.0,0.0,-100.0
65932,-100.0,0.0,-100.0
65955,-100.0,0.0,-100.0
65968,-100.0,0.5,-100.0
65979,-100.0,1.0,-100.0
66062,-100.0,1.0,-100.0
66080,-100.0,1.5,-100.0
66090,-100.0,2.0,-100.0
66104,-100.0,2.3333333333333335,-100.0
66117,-100.0,2.6666666666666665,-100.0
66126,-100.0,3.0,-100.0
66143,-100.0,3.5,-100.0
66155,-100.0,4.0,-100.0
66156,-100.0,4.0,-100.0
66181,-100.0,4.0,-100.0
66193,-100.0,4.0,-100.0
66216,-100.0,4.0,-100.0
66228,-100.0,4.0,-100.0
66244,-100.0,4.0,-100.0
66254,-100.0,4.333333333333333,-100.0
66266,-100.0,4.666666666666667,-100.0
66275,-100.0,5.0,-100.0
66289,-100.0,5.0,-100.0
66302,-100.0,5.0,-100.0
66304,-100.0,5.0,-100.0
66321,-100.0,6.0,-100.0
66327,-100.0,6.0,-100.0
66339,-100.0,6.0,-100.0
66363,-100.0,6.0,-100.0
66376,-100.0,6.0,-100.0
66398,-100.0,6.0,-100.0
66411,-100.0,6.0,-100.0
66416,-100.0,6.333333333333333,-100.0
66439,-100.0,6.666666666666667,-100.0
66440,-100.0,7.0,-100.0
66453,-100.0,7.0,-100.0
66473,-100.0,7.0,-100.0
66481,-100.0,7.5,-100.0
66491,-100.0,8.0,-100.0
66493,-100.0,8.0,-100.0
66517,-100.0,8.0,-100.0
66529,-100.0,8.0,-100.0
66554,-100.0,8.0,-100.0
66567,-100.0,8.0,-100.0
66591,-100.0,8.0,-100.0
66595,-100.0,8.0,-100.0
66604,-100.0,8.5,-100.0
66619,-100.0,9.0,-100.0
66631,-100.0,9.0,-100.0
66644,-100.0,9.0,-100.0
66657,-100.0,9.0,-100.0
66666,-100.0,9.333333333333334,-100.0
66679,-100.0,9.666666666666666,-100.0
66686,-100.0,10.0,-100.0
66691,-100.0,10.0,-100.0
66701,-100.0,10.0,-100.0
66713,-100.0,10.0,-100.0
66722,-100.0,10.0,-100.0
66740,-100.0,10.0,-100.0
66753,-100.0,10.0,-100.0
66769,-100.0,10.0,-100.0
66776,-100.0,10.25,-100.0
66785,-100.0,10.5,-100.0
66789,-100.0,10.75,-100.0
66792,-100.0,11.0,-100.0
66811,-100.0,11.0,-100.0
66820,-100.0,11.0,-100.0
66825,-100.0,11.0,-100.0
66837,-100.0,11.0,-100.0
66849,-100.0,11.0,-100.0
66861,-100.0,11.0,-100.0
66872,-100.0,11.0,-100.0
66886,-100.0,11.0,-100.0
66901,-100.0,11.0,-100.0
66916,-100.0,11.0,-100.0
66928,-100.0,11.5,-100.0
66933,-100.0,12.0,-100.0
66938,-100.0,12.0,-100.0
66940,-100.0,12.0,-100.0
66960,-100.0,12.0,-100.0
66962,-100.0,12.5,-100.0
66967,-100.0,13.0,-100.0
66973,-100.0,13.0,-100.0
66975,-100.0,13.0,-100.0
66990,-100.0,13.0,-100.0
67000,-100.0,13.0,-100.0
67012,-100.0,13.0,-100.0
67025,-100.0,13.0,-100.0
67042,-100.0,13.0,-100.0
67054,-100.0,13.0,-100.0
67056,-100.0,13.0,-100.0
67077,-100.0,13.0,-100.0
67079,-100.0,13.0,-100.0
67089,-100.0,13.333333333333334,-100.0
67090,-100.0,13.666666666666666,-100.0
67100,-100.0,14.0,-100.0
67118,-100.0,14.0,-100.0
67126,-100.0,14.0,-100.0
67130,-100.0,14.333333333333334,-100.0
67142,-100.0,14.666666666666666,-100.0
67144,-100.0,15.0,-100.0
67155,-100.0,15.0,-100.0
67170,-100.0,15.0,-100.0
67197,-100.0,15.0,-100.0
67210,-100.0,15.0,-100.0
67227,-100.0,15.0,-100.0
67233,-100.0,15.333333333333334,-100.0
67245,-100.0,15.666666666666666,-100.0
67247,-100.0,16.0,-100.0
67270,-100.0,16.0,-100.0
67283,-100.0,16.0,-100.0
67284,-100.0,16.0,-100.0
67302,-100.0,17.0,-100.0
67307,-100.0,17.0,-100.0
67319,-100.0,17.0,-100.0
67343,-100.0,17.0,-100.0
67355,-100.0,17.0,-100.0
67378,-100.0,17.0,-100.0
67392,-100.0,17.0,-100.0
67394,-100.0,17.0,-100.0
67410,-100.0,18.0,-100.0
67416,-100.0,18.0,-100.0
67428,-100.0,18.0,-100.0
67436,-100.0,18.0,-100.0
67450,-100.0,19.0,-100.0
67463,-100.0,19.0,-100.0
67494,-100.0,19.0,-100.0
67506,-100.0,19.0,-100.0
67528,-100.0,19.0,-100.0
67542,-100.0,19.0,-100.0
67562,-100.0,19.0,-100.0
67567,-100.0,19.333333333333332,-100.0
67579,-100.0,19.666666666666668,-100.0
67590,-100.0,20.0,-100.0
67602,-100.0,20.0,-100.0
67611,-100.0,20.0,-100.0
67615,-100.0,20.5,-100.0
67627,-100.0,21.0,-100.0
67638,-100.0,21.0,-100.0
67652,-100.0,21.0,-100.0
67679,-100.0,21.0,-100.0
67691,-100.0,21.0,-100.0
67714,-100.0,21.0,-100.0
67715,-100.0,21.333333333333332,-100.0
67730,-100.0,21.666666666666668,-100.0
67733,-100.0,22.0,-100.0
67759,-100.0,22.0,-100.0
67764,-100.0,22.0,-100.0
67773,-100.0,22.5,-100.0
67783,-100.0,23.0,-100.0
67800,-100.0,23.0,-100.0
67818,-100.0,23.0,-100.0
67845,-100.0,23.0,-100.0
67856,-100.0,23.0,-100.0
67860,-100.0,23.0,-100.0
67877,-100.0,24.0,-100.0
67878,-100.0,24.0,-100.0
67891,-100.0,24.0,-100.0
67901,-100.0,24.0,-100.0
67914,-100.0,24.5,-100.0
67916,-100.0,25.0,-100.0
67926,-100.0,25.0,-100.0
67951,-100.0,25.0,-100.0
67963,-100.0,25.0,-100.0
67987,-100.0,25.0,-100.0
68001,-100.0,25.0,-100.0
68024,-100.0,25.0,-100.0
68025,-100.0,25.0,-100.0
68037,-100.0,26.0,-100.0
68060,-100.0,27.0,-100.0
68067,-100.0,27.0,-100.0
68079,-100.0,27.0,-100.0
68087,-100.0,27.0,-100.0
68101,-100.0,28.0,-100.0
68106,-100.0,28.0,-100.0
68120,-100.0,28.0,-100.0
68143,-100.0,28.0,-100.0
68157,-100.0,28.0,-100.0
68179,-100.0,28.0,-100.0
68192,-100.0,28.0,-100.0
68203,-100.0,28.0,-100.0
68215,-100.0,28.5,-100.0
68220,-100.0,29.0,-100.0
68229,-100.0,29.0,-100.0
68254,-100.0,29.0,-100.0
68255,-100.0,29.5,-100.0
68264,-100.0,30.0,-100.0
68269,-100.0,30.0,-100.0
68295,-100.0,30.0,-100.0
68308,-100.0,30.0,-100.0
68333,-100.0,30.0,-100.0
68346,-100.0,30.0,-100.0
68372,-100.0,30.0,-100.0
68376,-100.0,30.0,-100.0
68385,-100.0,30.5,-100.0
68400,-100.0,31.0,-100.0
68411,-100.0,31.0,-100.0
68424,-100.0,31.0,-100.0
68426,-100.0,31.0,-100.0
68444,-100.0,32.0,-100.0
68446,-100.0,32.333333333333336,-100.0
68460,-100.0,32.666666666666664,-100.0
68463,-100.0,33.0,-100.0
68483,-100.0,33.0,-100.0
68495,-100.0,33.0,-100.0
68525,-100.0,33.0,-100.0
68537,-100.0,33.0,-100.0
68549,-100.0,33.0,-100.0
68562,-100.0,33.5,-100.0
68566,-100.0,34.0,-100.0
68575,-100.0,34.0,-100.0
68596,-100.0,34.0,-100.0
68600,-100.0,34.333333333333336,-100.0
68613,-100.0,34.666666666666664,-100.0
68614,-100.0,35.0,-100.0
68637,-100.0,35.5,-100.0
68649,-100.0,36.0,-100.0
68650,-100.0,36.0,-100.0
68679,-100.0,36.0,-100.0
68691,-100.0,36.0,-100.0
68715,-100.0,36.0,-100.0
68726,-100.0,36.0,-100.0
68728,-100.0,36.5,-100.0
68745,-100.0,37.0,-100.0
68751,-100.0,37.0,-100.0
68763,-100.0,37.0,-100.0
68773,-100.0,37.0,-100.0
68788,-100.0,37.5,-100.0
68791,-100.0,38.0,-100.0
68802,-100.0,38.0,-100.0
68826,-100.0,38.0,-100.0
68838,-100.0,38.0,-100.0
68864,-100.0,38.0,-100.0
68876,-100.0,38.0,-100.0
68899,-100.0,38.0,-100.0
68907,-100.0,38.0,-100.0
68912,-100.0,38.5,-100.0
68925,-100.0,39.0,-100.0
68936,-100.0,39.0,-100.0
68948,-100.0,39.0,-100.0
68958,-100.0,39.0,-100.0
68976,-100.0,39.5,-100.0
68981,-100.0,40.0,-100.0
68987,-100.0,40.0,-100.0
69012,-100.0,40.0,-100.0
69025,-100.0,40.0,-100.0
69048,-100.0,40.0,-100.0
69062,-100.0,40.0,-100.0
69091,-100.0,40.5,-100.0
69093,-100.0,41.0,-100.0
69103,-100.0,41.0,-100.0
69129,-100.0,41.0,-100.0
69130,-100.0,41.0,-100.0
69144,-100.0,41.5,-100.0
69147,-100.0,42.0,-100.0
69172,-100.0,42.0,-100.0
69184,-100.0,42.0,-100.0
69207,-100.0,42.0,-100.0
69220,-100.0,42.0,-100.0
69225,-100.0,42.0,-100.0
69244,-100.0,43.0,-100.0
69245,-100.0,43.0,-100.0
69258,-100.0,43.0,-100.0
69272,-100.0,43.0,-100.0
69288,-100.0,44.0,-100.0
69301,-100.0,44.0,-100.0
69325,-100.0,44.0,-100.0
69338,-100.0,44.0,-100.0
69362,-100.0,44.0,-100.0
69365,-100.0,44.0,-100.0
69375,-100.0,44.5,-100.0
