,AJSW1J6VE37BL,A1NRY8F9U4AYE,A11PJ3TQ4LWGW,A1EUJEHDI66UT,A73CNVUAKO1AY
52383,-35.0,-100.0,,,-94.0
52390,-35.0,-100.0,,,-94.0
52424,-35.0,-100.0,,,-94.0
52434,-35.0,-100.0,,,-94.0
52441,-35.0,-100.0,,,-94.0
52454,-34.0,-100.0,,,-94.0
52458,-34.0,-100.0,,,-94.0
52461,-34.0,-100.0,,,-94.0
52469,-33.5,-100.0,,,-94.0
52471,-33.0,-100.0,,,-94.0
52478,-33.0,-100.0,,,-94.0
52488,-32.0,-100.0,,,-94.0
52493,-32.0,-100.0,,,-94.0
52497,-32.0,-100.0,,,-94.0
52503,-32.0,-100.0,,,-94.0
52517,-32.0,-100.0,,,-94.0
52533,-31.0,-100.0,,,-94.0
52544,-31.0,-100.0,,,-94.0
52553,-31.0,-100.0,,,-94.0
52577,-31.0,-100.0,,,-94.0
52588,-31.0,-100.0,,,-94.0
52602,-31.0,-100.0,,,-94.0
52612,-31.0,-100.0,,,-94.0
52640,-31.0,-100.0,,,-94.0
52648,-31.0,-100.0,,,-94.0
52655,-31.0,-100.0,,,-94.0
52658,-31.0,-100.0,,,-94.0
52666,-30.5,-100.0,,,-94.0
52676,-30.0,-100.0,,,-94.0
52693,-30.0,-100.0,,,-94.0
52694,-29.666666666666668,-100.0,,,-94.0
52695,-29.333333333333332,-100.0,,,-94.0
52705,-29.0,-100.0,,,-94.0
52712,-29.0,-100.0,,,-94.0
52721,-28.5,-100.0,,,-94.0
52722,-28.0,-100.0,,,-94.0
52729,-28.0,-100.0,,,-94.0
52736,-27.5,-100.0,,,-94.0
52738,-27.0,-100.0,,,-94.0
52745,-27.0,-100.0,,,-94.0
52768,-27.0,-100.0,,,-94.0
52816,-27.0,-100.0,,,-94.0
52826,-27.0,-100.0,,,-94.0
52834,-27.0,-100.0,,,-94.0
52851,-27.0,-100.0,,,-94.0
52860,-27.0,-100.0,,,-94.0
52873,-26.0,-100.0,,,-94.0
52879,-26.0,-100.0,,,-94.0
52890,-26.0,-100.0,,,-94.0
52903,-26.0,-100.0,,,-94.0
52909,-25.0,-100.0,,,-94.0
52915,-25.0,-100.0,,,-94.0
52924,-25.0,-100.0,,,-94.0
52931,-25.0,-100.0,,,-94.0
52936,-25.0,-100.0,,,-94.0
52943,-24.0,-100.0,,,-94.0
52952,-24.0,-100.0,,,-94.0
52961,-24.0,-100.0,,,-94.0
52968,-24.0,-100.0,,,-94.0
52982,-24.0,-100.0,,,-94.0
53005,-24.0,-100.0,,,-94.0
53014,-24.0,-100.0,,,-94.0
53029,-24.0,-100.0,,,-94.0
53037,-23.5,-100.0,,,-94.0
53043,-23.0,-100.0,,,-94.0
53048,-23.0,-100.0,,,-94.0
53063,-23.0,-100.0,,,-94.0
53073,-21.0,-100.0,,,-94.0
53075,-21.0,-100.0,,,-94.0
53088,-21.0,-100.0,,,-94.0
53093,-21.0,-100.0,,,-94.0
53097,-21.0,-100.0,,,-94.0
53107,-20.0,-100.0,,,-94.0
53108,-20.0,-100.0,,,-94.0
53126,-20.0,-100.0,,,-94.0
53132,-20.0,-100.0,,,-94.0
53161,-20.0,-100.0,,,-94.0
53168,-20.0,-100.0,,,-94.0
53195,-20.0,-100.0,,,-94.0
53208,-20.0,-100.0,,,-94.0
53210,-20.0,-100.0,,,-94.0
53224,-19.0,-100.0,,,-94.0
53230,-19.0,-100.0,,,-94.0
53238,-18.5,-100.0,,,-94.0
53241,-18.0,-100.0,,,-94.0
53246,-18.0,-100.0,,,-94.0
53253,-18.0,-100.0,,,-94.0
53266,-18.0,-100.0,,,-94.0
53273,-17.5,-100.0,,,-94.0
53274,-17.0,-100.0,,,-94.0
53286,-17.0,-100.0,,,-94.0
53297,-17.0,-100.0,,,-94.0
53308,-16.0,-100.0,,,-94.0
53314,-16.0,-100.0,,,-94.0
53325,-16.0,-100.0,,,-94.0
53347,-16.0,-100.0,,,-94.0
53349,-16.0,-100.0,,,-94.0
53375,-16.0,-100.0,,,-94.0
53385,-16.0,-100.0,,,-94.0
53394,-16.0,-100.0,,,-94.0
53408,-15.0,-100.0,,,-94.0
53428,-15.0,-100.0,,,-94.0
53434,-15.0,-100.0,,,-94.0
53442,-14.0,-100.0,,,-94.0
53471,-14.0,-100.0,,,-94.0
53479,-14.0,-100.0,,,-94.0
53486,-14.0,-100.0,,,-94.0
53497,-14.0,-100.0,,,-94.0
53525,-14.0,-100.0,,,-94.0
53537,-14.0,-100.0,,,-94.0
53552,-14.0,-100.0,,,-94.0
53563,-14.0,-100.0,,,-94.0
53589,-14.0,-100.0,,,-94.0
53601,-14.0,-100.0,,,-94.0
53627,-14.0,-100.0,,,-94.0
53637,-14.0,-100.0,,,-94.0
53664,-14.0,-100.0,,,-94.0
53674,-14.0,-100.0,,,-94.0
53703,-14.0,-100.0,,,-94.0
53713,-14.0,-100.0,,,-94.0
53722,-14.0,-100.0,,,-94.0
53734,-14.0,-100.0,,,-94.0
53759,-14.0,-100.0,,,-94.0
53771,-14.0,-100.0,,,-94.0
53785,-14.0,-100.0,,,-94.0
53796,-14.0,-100.0,,,-94.0
53818,-14.0,-100.0,,,-94.0
53831,-14.0,-100.0,,,-94.0
53860,-14.0,-100.0,,,-94.0
53867,-14.0,-100.0,,,-94.0
53895,-14.0,-100.0,,,-94.0
53906,-14.0,-100.0,,,-94.0
53932,-14.0,-100.0,,,-94.0
53945,-14.0,-100.0,,,-94.0
53974,-14.0,-100.0,,,-94.0
53975,-14.0,-100.0,,,-94.0
53981,-14.0,-100.0,,,-94.0
53994,-14.0,-100.0,,,-94.0
54023,-14.0,-100.0,,,-94.0
54032,-14.0,-100.0,,,-94.0
54061,-14.0,-100.0,,,-94.0
54070,-14.0,-100.0,,,-94.0
54095,-14.0,-100.0,,,-94.0
54106,-14.0,-100.0,,,-94.0
54131,-14.0,-100.0,,,-94.0
54140,-14.0,-100.0,,,-94.0
54165,-14.0,-100.0,,,-94.0
54173,-14.0,-100.0,,,-94.0
54200,-14.0,-100.0,,,-94.0
54208,-14.0,-100.0,,,-94.0
54232,-14.0,-100.0,,,-94.0
54242,-14.0,-100.0,,,-94.0
54270,-14.0,-100.0,,,-94.0
54282,-14.0,-100.0,,,-94.0
54308,-14.0,-100.0,,,-94.0
54322,-14.0,-100.0,,,-94.0
54346,-14.0,-100.0,,,-94.0
54353,-14.0,-100.0,,,-94.0
54383,-14.0,-100.0,,,-94.0
54391,-14.0,-100.0,,,-94.0
54417,-14.0,-100.0,,,-94.0
54433,-14.0,-100.0,,,-94.0
54464,-14.0,-100.0,,,-94.0
54470,-14.0,-100.0,,,-94.0
54481,-14.0,-100.0,,,-94.0
54493,-14.0,-100.0,,,-94.0
54500,-14.0,-100.0,,,-94.0
54513,-14.0,-100.0,,,-94.0
54539,-14.0,-100.0,,,-94.0
54553,-14.0,-100.0,,,-94.0
54581,-14.0,-100.0,,,-94.0
54590,-14.0,-100.0,,,-94.0
54617,-14.0,-100.0,,,-94.0
54633,-13.0,-100.0,,,-94.0
54646,-13.0,-100.0,,,-94.0
54651,-13.0,-100.0,,,-94.0
54656,-12.5,-100.0,,,-94.0
54665,-12.0,-100.0,,,-94.0
54686,-12.0,-100.0,,,-94.0
54688,-12.0,-100.0,,,-94.0
54697,-11.0,-100.0,,,-94.0
54698,-11.0,-100.0,,,-94.0
54706,-11.0,-100.0,,,-94.0
54720,-11.0,-100.0,,,-94.0
54729,-11.0,-100.0,,,-94.0
54738,-11.0,-100.0,,,-94.0
54766,-11.0,-100.0,,,-94.0
54779,-11.0,-100.0,,,-94.0
54808,-11.0,-100.0,,,-94.0
54819,-11.0,-100.0,,,-94.0
54834,-11.0,-100.0,,,-94.0
54849,-10.5,-100.0,,,-94.0
54854,-10.0,-100.0,,,-94.0
54878,-10.0,-100.0,,,-94.0
54891,-10.0,-100.0,,,-94.0
54919,-10.0,-100.0,,,-94.0
54929,-10.0,-100.0,,,-94.0
54945,-10.0,-100.0,,,-94.0
54953,-10.0,-100.0,,,-94.0
54956,-9.5,-100.0,,,-94.0
54965,-9.0,-100.0,,,-94.0
54972,-9.0,-100.0,,,-94.0
54984,-9.0,-100.0,,,-94.0
54990,-8.333333333333334,-100.0,,,-94.0
54997,-7.666666666666667,-100.0,,,-94.0
54998,-7.0,-100.0,,,-94.0
55014,-7.0,-100.0,,,-94.0
55024,-7.0,-100.0,,,-94.0
55027,-6.5,-100.0,,,-94.0
55031,-6.0,-100.0,,,-94.0
55034,-6.0,-100.0,,,-94.0
55040,-6.0,-100.0,,,-94.0
55047,-6.0,-100.0,,,-94.0
55058,-6.0,-100.0,,,-94.0
55068,-6.0,-100.0,,,-94.0
55080,-6.0,-100.0,,,-94.0
55108,-6.0,-100.0,,,-94.0
55118,-6.0,-100.0,,,-94.0
55145,-6.0,-100.0,,,-94.0
55147,-6.0,-100.0,,,-94.0
55151,-6.0,-100.0,,,-94.0
55160,-5.5,-100.0,,,-94.0
55165,-5.0,-100.0,,,-94.0
55171,-5.0,-100.0,,,-94.0
55189,-5.0,-100.0,,,-94.0
55191,-5.0,-100.0,,,-94.0
55197,-4.5,-100.0,,,-94.0
55199,-4.0,-100.0,,,-94.0
55200,-4.0,-100.0,,,-94.0
55213,-4.0,-100.0,,,-94.0
55226,-4.0,-100.0,,,-94.0
55233,-3.5,-100.0,,,-94.0
55239,-3.0,-100.0,,,-94.0
55245,-3.0,-100.0,,,-94.0
55256,-2.0,-100.0,,,-94.0
55258,-2.0,-100.0,,,-94.0
55262,-2.0,-100.0,,,-94.0
55265,-2.0,-100.0,,,-94.0
55287,-2.0,-100.0,,,-94.0
55292,-2.0,-100.0,,,-94.0
55300,-2.0,-100.0,,,-94.0
55317,-2.0,-100.0,,,-94.0
55324,-2.0,-100.0,,,-94.0
55331,-2.0,-100.0,,,-94.0
55344,-2.0,-100.0,,,-94.0
55355,-2.0,-100.0,,,-94.0
55369,-2.0,-100.0,,,-94.0
55370,-1.6666666666666667,-100.0,,,-94.0
55382,-1.3333333333333335,-100.0,,,-94.0
55386,-1.0,-100.0,,,-94.0
55393,-1.0,-100.0,,,-94.0
55403,-1.0,-100.0,,,-94.0
55406,-1.0,-100.0,,,-94.0
55420,0.0,-100.0,,,-94.0
55422,0.0,-100.0,,,-94.0
55434,0.0,-100.0,,,-94.0
55439,0.0,-100.0,,,-94.0
55441,0.0,-100.0,,,-94.0
55449,1.0,-100.0,,,-94.0
55465,1.0,-100.0,,,-94.0
55481,1.0,-100.0,,,-94.0
55485,1.0,-100.0,,,-94.0
55491,1.0,-100.0,,,-94.0
55517,1.0,-100.0,,,-94.0
55544,1.0,-100.0,,,-94.0
55553,1.0,-100.0,,,-94.0
55572,1.0,-100.0,,,-94.0
55580,1.0,-100.0,,,-94.0
55589,1.0,-100.0,,,-94.0
55596,1.25,-100.0,,,-94.0
55601,1.5,-100.0,,,-94.0
55610,1.75,-100.0,,,-94.0
55612,2.0,-100.0,,,-94.0
55622,2.0,-100.0,,,-94.0
55632,2.0,-100.0,,,-94.0
55640,2.0,-100.0,,,-94.0
55646,2.3333333333333335,-100.0,,,-94.0
55647,2.6666666666666665,-100.0,,,-94.0
55650,3.0,-100.0,,,-94.0
55651,3.0,-100.0,,,-94.0
55662,3.0,-100.0,,,-94.0
55664,3.0,-100.0,,,-94.0
55674,3.0,-100.0,,,-94.0
55684,5.0,-100.0,,,-94.0
55686,5.0,-100.0,,,-94.0
55687,5.0,-100.0,,,-94.0
55709,5.0,-100.0,,,-94.0
55716,5.0,-100.0,,,-94.0
55723,5.0,-100.0,,,-94.0
55729,5.0,-100.0,,,-94.0
55739,5.0,-100.0,,,-94.0
55742,5.0,-100.0,,,-94.0
55748,5.0,-100.0,,,-94.0
55759,5.0,-100.0,,,-94.0
55769,5.0,-100.0,,,-94.0
55778,5.0,-100.0,,,-94.0
55792,5.0,-100.0,,,-94.0
55795,5.0,-100.0,,,-94.0
55799,5.0,-100.0,,,-94.0
55809,5.0,-100.0,,,-94.0
55816,5.0,-100.0,,,-94.0
55821,5.0,-100.0,,,-94.0
55826,5.0,-100.0,,,-94.0
55833,5.0,-100.0,,,-94.0
55848,5.0,-100.0,,,-94.0
55853,5.0,-100.0,,,-94.0
55868,5.0,-100.0,,,-94.0
55871,5.0,-100.0,,,-94.0
55873,5.333333333333333,-100.0,,,-94.0
55889,5.666666666666667,-100.0,,,-94.0
55890,6.0,-100.0,,,-94.0
55900,6.0,-100.0,,,-94.0
55910,6.0,-100.0,,,-94.0
55911,6.333333333333333,-100.0,,,-94.0
55916,6.666666666666667,-100.0,,,-94.0
55924,7.0,-100.0,,,-94.0
55925,7.0,-100.0,,,-94.0
55942,7.0,-100.0,,,-94.0
55944,7.0,-100.0,,,-94.0
55945,7.5,-100.0,,,-94.0
55951,8.0,-100.0,,,-94.0
55956,8.0,-100.0,,,-94.0
55961,8.0,-100.0,,,-94.0
55974,8.0,-100.0,,,-94.0
55979,8.0,-100.0,,,-94.0
55995,8.0,-100.0,,,-94.0
56001,8.0,-100.0,,,-94.0
56014,8.0,-100.0,,,-94.0
56021,8.0,-100.0,,,-94.0
56033,8.0,-100.0,,,-94.0
56044,8.0,-100.0,,,-94.0
56050,8.0,-100.0,,,-94.0
56061,8.0,-100.0,,,-94.0
56067,8.0,-100.0,,,-94.0
56073,8.0,-100.0,,,-94.0
56074,8.0,-100.0,,,-94.0
56081,8.5,-100.0,,,-94.0
56085,9.0,-100.0,,,-94.0
56089,9.0,-100.0,,,-94.0
56102,9.0,-100.0,,,-94.0
56108,9.0,-100.0,,,-94.0
56112,9.333333333333334,-100.0,,,-94.0
56115,9.666666666666666,-100.0,,,-94.0
56119,10.0,-100.0,,,-94.0
56120,10.0,-100.0,,,-94.0
56127,10.0,-100.0,,,-94.0
56138,10.0,-100.0,,,-94.0
56142,10.0,-100.0,,,-94.0
56143,10.5,-100.0,,,-94.0
56152,11.0,-100.0,,,-94.0
56155,11.0,-100.0,,,-94.0
56170,11.0,-100.0,,,-94.0
56181,11.0,-100.0,,,-94.0
56191,11.0,-100.0,,,-94.0
56198,11.0,-100.0,,,-94.0
56212,11.0,-100.0,,,-94.0
56221,11.0,-100.0,,,-94.0
56229,11.0,-100.0,,,-94.0
56242,11.0,-100.0,,,-94.0
56246,11.0,-100.0,,,-94.0
56265,11.0,-100.0,,,-94.0
56278,11.0,-100.0,,,-94.0
56299,11.0,-100.0,,,-94.0
56301,11.0,-100.0,,,-94.0
56312,11.0,-100.0,,,-94.0
56319,11.0,-100.0,,,-94.0
56330,11.0,-100.0,,,-94.0
56340,11.0,-100.0,,,-94.0
56344,11.0,-100.0,,,-94.0
56359,11.0,-100.0,,,-94.0
56366,11.0,-100.0,,,-94.0
56367,11.0,-100.0,,,-94.0
56379,11.0,-100.0,,,-94.0
56393,11.0,-100.0,,,-94.0
56398,11.0,-100.0,,,-94.0
56412,11.0,-100.0,,,-94.0
56420,11.0,-100.0,,,-94.0
56431,11.0,-100.0,,,-94.0
56446,11.0,-100.0,,,-94.0
56454,11.0,-100.0,,,-94.0
56463,11.0,-100.0,,,-94.0
56483,11.0,-100.0,,,-94.0
56493,11.0,-100.0,,,-94.0
56498,11.0,-100.0,,,-94.0
56515,11.0,-100.0,,,-94.0
56518,11.0,-100.0,,,-94.0
56529,11.0,-100.0,,,-94.0
56537,11.0,-100.0,,,-94.0
56540,11.0,-100.0,,,-94.0
56541,11.0,-100.0,,,-94.0
56558,11.0,-100.0,,,-94.0
56567,11.0,-100.0,,,-94.0
56570,11.0,-100.0,,,-94.0
56578,11.0,-100.0,,,-94.0
56589,11.0,-100.0,,,-94.0
56593,11.0,-100.0,,,-94.0
56597,11.0,-100.0,,,-94.0
56609,11.0,-100.0,,,-94.0
56636,11.0,-100.0,,,-94.0
56645,11.0,-100.0,,,-94.0
56667,11.0,-100.0,,,-94.0
56673,11.0,-100.0,,,-94.0
56676,11.0,-100.0,,,-94.0
56684,11.0,-100.0,,,-94.0
56693,11.0,-100.0,,,-94.0
56718,11.0,-100.0,,,-94.0
56725,11.0,-100.0,,,-94.0
56728,11.0,-100.0,,,-94.0
56735,11.0,-100.0,,,-94.0
56741,11.0,-100.0,,,-94.0
56745,11.0,-100.0,,,-94.0
56759,11.0,-100.0,,,-94.0
56770,11.0,-100.0,,,-94.0
56778,11.0,-100.0,,,-94.0
56790,11.0,-100.0,,,-94.0
56791,11.0,-100.0,,,-94.0
56795,11.0,-100.0,,,-94.0
56808,11.0,-100.0,,,-94.0
56812,11.0,-100.0,,,-94.0
56825,11.0,-100.0,,,-94.0
56846,11.0,-100.0,,,-94.0
56847,11.0,-100.0,,,-94.0
56857,11.0,-100.0,,,-94.0
56872,11.0,-100.0,,,-94.0
56882,11.0,-100.0,,,-94.0
56892,11.0,-100.0,,,-94.0
56898,11.0,-100.0,,,-94.0
56910,11.0,-100.0,,,-94.0
56935,11.0,-100.0,,,-94.0
56944,11.0,-100.0,,,-94.0
56966,11.0,-100.0,,,-94.0
56992,11.0,-100.0,,,-94.0
57019,11.0,-100.0,,,-94.0
57097,11.0,-100.0,,,-94.0
57124,11.0,-100.0,,,-94.0
57149,11.0,-100.0,,,-94.0
57166,11.0,-100.0,,,-94.0
57191,11.0,-100.0,,,-94.0
57243,11.0,-100.0,,,-94.0
57270,11.0,-100.0,,,-94.0
57296,11.0,-100.0,,,-94.0
57322,11.0,-100.0,,,-94.0
57349,11.0,-100.0,,,-94.0
57391,11.0,-100.0,,,-94.0
57417,11.0,-100.0,,,-94.0
57443,11.0,-100.0,,,-94.0
57508,11.0,-100.0,,,-94.0
57574,11.0,-100.0,,,-94.0
57590,11.0,-100.0,,,-94.0
57617,11.0,-100.0,,,-94.0
57643,11.0,-100.0,,,-94.0
57722,11.0,-100.0,,,-94.0
57748,11.0,-100.0,,,-94.0
57773,11.0,-100.0,,,-94.0
57789,11.0,-100.0,,,-94.0
57816,11.0,-100.0,,,-94.0
57868,11.0,-100.0,,,-94.0
57894,11.0,-100.0,,,-94.0
57920,11.0,-100.0,,,-94.0
57947,11.0,-100.0,,,-94.0
57973,11.0,-100.0,,,-94.0
58399,11.0,-100.0,,,-94.0
58412,10.0,-100.0,,,-94.0
58434,10.0,-100.0,,,-94.0
58451,9.0,-100.0,,,-94.0
58457,9.0,-100.0,,,-94.0
58480,8.0,-100.0,,,-94.0
59120,8.0,-100.0,,,-94.0
59133,7.0,-100.0,,,-94.0
59157,7.0,-100.0,,,-94.0
59166,6.0,-100.0,,,-94.0
59190,6.0,-100.0,,,-94.0
59199,5.0,-100.0,,,-94.0
59372,5.0,-100.0,,,-94.0
59382,4.0,-100.0,,,-94.0
59405,4.0,-100.0,,,-94.0
59417,3.0,-100.0,,,-94.0
59440,3.0,-100.0,,,-94.0
59452,2.0,-100.0,,,-94.0
65028,2.0,-100.0,,,-94.0
65046,2.0,-100.0,,,-94.0
65052,2.0,-100.0,,,-94.0
65073,2.0,-100.0,,,-94.0
65140,2.0,-100.0,,,-94.0
65176,2.0,-100.0,,,-94.0
65192,2.0,-100.0,,,-94.0
65210,2.0,-100.0,,,-94.0
65228,2.0,-100.0,,,-94.0
65245,2.0,-100.0,,,-94.0
65263,2.0,-100.0,,,-94.0
65280,2.0,-100.0,,,-94.0
65286,2.0,-100.0,,,-94.0
65304,2.0,-100.0,,,-94.0
65323,2.0,-100.0,,,-94.0
65340,2.0,-100.0,,,-94.0
65357,2.0,-100.0,,,-94.0
65374,2.0,-100.0,,,-94.0
65392,2.0,-100.0,,,-94.0
65409,2.0,-100.0,,,-94.0
65428,2.0,-100.0,,,-94.0
65445,2.0,-100.0,,,-94.0
65461,2.0,-100.0,,,-94.0
65480,2.0,-100.0,,,-94.0
65487,2.0,-100.0,,,-94.0
65505,2.0,-100.0,,,-94.0
65522,2.0,-100.0,,,-94.0
65549,2.0,-100.0,,,-94.0
65593,2.0,-100.0,,,-94.0
65612,2.0,-100.0,,,-94.0
65627,2.0,-100.0,,,-94.0
65647,2.0,-100.0,,,-94.0
65663,2.0,-100.0,,,-94.0
65679,2.0,-100.0,,,-94.0
65698,2.0,-100.0,,,-94.0
65704,2.0,-100.0,,,-94.0
65722,2.0,-100.0,,,-94.0
65738,2.0,-100.0,,,-94.0
65757,2.0,-100.0,,,-94.0
65774,2.0,-100.0,,,-94.0
65792,2.0,-100.0,,,-94.0
65810,2.0,-100.0,,,-94.0
66496,2.0,-100.0,,,-94.0
66514,2.0,-100.0,,,-94.0
66532,2.0,-100.0,,,-94.0
66549,2.0,-100.0,,,-94.0
66556,2.0,-100.0,,,-94.0
66574,2.0,-100.0,,,-94.0
66591,2.0,-100.0,,,-94.0
66608,2.0,-100.0,,,-94.0
66643,2.0,-100.0,,,-94.0
66661,2.0,-100.0,,,-94.0
66680,2.0,-100.0,,,-94.0
66697,2.0,-100.0,,,-94.0
66713,2.0,-100.0,,,-94.0
66731,2.0,-100.0,,,-94.0
66748,2.0,-100.0,,,-94.0
66756,2.0,-100.0,,,-94.0
66772,2.0,-100.0,,,-94.0
66790,2.0,-100.0,,,-94.0
66808,2.0,-100.0,,,-94.0
66825,2.0,-100.0,,,-94.0
66843,2.0,-100.0,,,-94.0
66862,2.0,-100.0,,,-94.0
67997,2.0,-100.0,,,-94.0
67999,2.0,-99.5,,,-94.0
68018,2.0,-99.0,,,-94.0
68030,2.0,-99.0,,,-94.0
68062,2.0,-99.0,,,-94.0
68080,2.0,-97.0,,,-94.0
68093,2.0,-96.0,,,-94.0
68112,2.0,-95.0,,,-94.0
68130,2.0,-94.0,,,-94.0
68141,2.0,-93.0,,,-94.0
68147,2.0,-92.25,,,-94.0
68165,2.0,-91.5,,,-94.0
68181,2.0,-90.75,,,-94.0
68183,2.0,-90.0,,,-94.0
68197,2.0,-89.0,,,-94.0
68198,2.0,-88.6,,,-94.0
68216,2.0,-88.2,,,-94.0
68222,2.0,-87.8,,,-94.0
68223,2.0,-87.4,,37.0,-94.0
68232,2.0,-87.0,,37.25,-94.0
68235,2.0,-86.5,,37.5,-94.0
68252,2.0,-86.0,,37.75,-94.0
68255,2.0,-85.66666666666667,,38.0,-94.0
68259,2.0,-85.33333333333333,,38.333333333333336,-94.0
68268,2.0,-85.0,,38.666666666666664,-94.0
68274,2.0,-84.33333333333333,,39.0,-94.0
68276,2.0,-83.66666666666667,,40.0,-94.0
68285,2.0,-83.0,,41.0,-94.0
68293,2.0,-82.5,,41.0,-94.0
68302,2.0,-82.0,,41.0,-94.0
68311,2.0,-81.5,,41.0,-94.0
68315,2.0,-81.0,,41.0,-94.0
68329,2.0,-80.5,,41.2,-94.0
68337,2.0,-80.0,,41.4,-94.0
68346,2.0,-79.5,,41.6,-94.0
68356,2.0,-79.0,,41.8,-94.0
68357,2.0,-78.66666666666667,,42.0,-94.0
68363,2.0,-78.33333333333333,,42.0,-94.0
68372,2.0,-78.0,,42.0,-94.0
68381,2.0,-77.5,,42.0,-94.0
68391,2.0,-77.0,,42.0,-94.0
68397,2.0,-76.0,,42.0,-94.0
68401,2.0,-75.5,,42.0,-94.0
68415,2.0,-75.0,,43.0,-94.0
68427,2.0,-74.0,,44.0,-94.0
68432,2.0,-73.0,,44.0,-94.0
68451,2.0,-72.0,,44.0,-94.0
68458,2.0,-71.5,,44.0,-94.0
68469,2.0,-71.0,,44.5,-94.0
68486,2.0,-70.0,,45.0,-94.0
68501,2.0,-69.0,,45.0,-94.0
68519,2.0,-68.0,,45.0,-94.0
68533,2.0,-67.0,,45.0,-94.0
68554,2.0,-66.0,,45.333333333333336,-94.0
68572,2.0,-65.0,,45.666666666666664,-94.0
68574,2.0,-64.0,,46.0,-94.0
68590,2.0,-63.0,,46.0,-94.0
68607,2.0,-62.0,,46.0,-94.0
68614,2.0,-61.0,,46.0,-94.0
68623,2.0,-60.5,,46.0,-94.0
68632,2.0,-60.0,,46.666666666666664,-94.0
68648,2.0,-59.0,,47.333333333333336,-94.0
68660,2.0,-58.5,,48.0,-94.0
68666,2.0,-58.0,,48.0,-94.0
68684,2.0,-57.0,,48.0,-94.0
68702,2.0,-56.0,,48.0,-94.0
68719,2.0,-55.0,,48.0,-94.0
68734,2.0,-54.0,,48.0,-94.0
68736,2.0,-53.0,,48.25,-94.0
68746,2.0,-52.0,,48.5,-94.0
68747,2.0,,,48.75,-94.0
68761,2.0,,,49.0,-94.0
68844,2.0,,,49.0,-94.0
68858,2.0,,,50.0,-94.0
68939,2.0,,,50.0,-94.0
68967,2.0,,,51.0,-94.0
69043,2.0,,,51.0,-94.0
69064,2.0,,,52.0,-94.0
69124,2.0,,,52.0,-94.0
69146,2.0,,,53.0,-94.0
69217,2.0,,,53.0,-94.0
69236,2.0,,,54.0,-94.0
69275,2.0,,,54.0,-94.0
69298,2.0,,,54.0,-93.5
69303,2.0,,,55.0,-93.0
69318,2.0,,,56.0,-93.0
69353,2.0,,,56.0,-93.0
69357,2.0,,,56.0,-92.5
69379,2.0,,,56.5,-92.0
69380,2.0,,,57.0,-92.0
69397,2.0,,,57.0,-92.0
69414,2.0,,,57.0,-92.0
69433,2.0,,,57.0,-92.0
69437,2.0,,,57.0,-92.0
69449,2.0,,,57.0,-91.66666666666667
69459,2.0,,,57.0,-91.33333333333333
69463,2.0,,,57.333333333333336,-91.0
69467,2.0,,,57.666666666666664,-91.0
69478,2.0,,,58.0,-91.0
69485,2.0,,,58.0,-91.0
69511,2.0,,,58.0,-91.0
69512,2.0,,,58.5,-91.0
69522,2.0,,,59.0,-91.0
69581,2.0,,,59.0,-91.0
69585,2.0,,,59.0,-91.0
69597,2.0,,,59.0,-90.5
69612,2.0,,,59.0,-90.0
69615,2.0,,,59.0,-90.0
69617,2.0,,,59.0,-90.0
69632,2.0,,,59.5,-90.0
69637,2.0,,,60.0,-90.0
69650,2.0,,,60.0,-90.0
69666,2.0,,,60.0,-90.0
69669,2.0,,,60.0,-89.66666666666667
69684,2.0,,,60.0,-89.33333333333333
69693,2.0,,,60.0,-89.0
69702,2.0,,,60.0,-89.0
69714,2.0,,,60.0,-89.0
69720,2.0,,,60.5,-89.0
69724,2.0,,,61.0,-89.0
69737,2.0,,,61.0,-89.0
69742,2.0,,,61.0,-89.0
69745,2.0,,,61.0,-88.66666666666667
69763,2.0,,,61.0,-88.33333333333333
69768,2.0,,,61.0,-88.0
69779,2.0,,,61.0,-88.0
69797,2.0,,,61.0,-88.0
69812,2.0,,,62.0,-88.0
69815,2.0,,,62.0,-88.0
69832,2.0,,,62.0,-88.0
69849,2.0,,,62.0,-88.0
69867,2.0,,,62.0,-88.0
69885,2.0,,,62.0,-88.0
69889,2.0,,,62.0,-88.0
69902,2.0,,,62.5,-88.0
69907,2.0,,,63.0,-88.0
69920,2.0,,,63.0,-88.0
69937,2.0,,,63.0,-88.0
69940,2.0,,,63.0,-88.0
69954,2.0,,,64.0,-88.0
69955,2.0,,,64.0,-88.0
69972,2.0,,,64.0,-88.0
69979,2.0,,,64.0,-88.0
69996,2.0,,,64.0,-88.0
70014,2.0,,,64.0,-88.0
70028,2.0,,,64.0,-88.0
70032,2.0,,,64.5,-88.0
70048,2.0,,,65.0,-88.0
70050,2.0,,,65.0,-88.0
70066,2.0,,,65.0,-88.0
70073,2.0,,,65.0,-88.0
70085,2.0,,,65.0,-87.5
70090,2.0,,,65.0,-87.0
70102,2.0,,,65.0,-87.0
70109,2.0,,,65.0,-87.0
70119,2.0,,,65.0,-86.66666666666667
70120,2.0,,,65.0,-86.33333333333333
70121,2.0,,,65.33333333333333,-86.0
70138,2.0,,,65.66666666666667,-86.0
70140,2.0,,,66.0,-86.0
70142,2.0,,,66.0,-86.0
70154,2.0,,,66.0,-85.0
70158,2.0,,,66.0,-85.0
70173,2.0,,,66.0,-85.0
70175,2.0,,,66.0,-85.0
