,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
5081,-91.0,-100.0,,-100.0,-59.94736842105263
5086,-90.8,-100.0,,-100.0,-59.89473684210526
5103,-90.6,-100.0,,-100.0,-59.8421052631579
5119,-90.4,-100.0,,-100.0,-59.78947368421053
5136,-90.2,-100.0,,-100.0,-59.73684210526316
5141,-90.0,-100.0,,-100.0,-59.68421052631579
5153,-89.5,-100.0,,-100.0,-59.63157894736842
5170,-89.0,-100.0,,-100.0,-59.578947368421055
5186,-88.5,-100.0,,-100.0,-59.526315789473685
5201,-88.0,-100.0,,-100.0,-59.473684210526315
5203,-87.4,-100.0,,-100.0,-59.421052631578945
5219,-86.8,-100.0,,-100.0,-59.36842105263158
5236,-86.2,-100.0,,-100.0,-59.31578947368421
5253,-85.6,-100.0,,-100.0,-59.26315789473684
5261,-85.0,-100.0,,-100.0,-59.21052631578947
5269,-84.0,-100.0,,-100.0,-59.1578947368421
5321,-83.0,-100.0,,-100.0,-59.10526315789474
5501,-83.0,-100.0,,-100.0,-59.05263157894737
5556,-82.5,-100.0,,-100.0,-59.0
5561,-82.0,-100.0,,-100.0,-58.5
5574,-81.6,-100.0,,-100.0,-58.0
5606,-81.2,-100.0,,-100.0,-56.0
5613,-80.8,-100.0,,-100.0,-55.0
5614,-80.4,-100.0,,-100.0,
5621,-80.0,-100.0,,-100.0,
5681,-78.0,-100.0,,-100.0,
6171,-71.0,-100.0,,-100.0,
6231,-70.0,-100.0,,-100.0,
6411,-68.0,-100.0,,-100.0,
6461,-67.0,-100.0,,-100.0,
6521,-65.0,-100.0,,-100.0,
6561,-65.0,-100.0,,-100.0,
6570,-64.8,-100.0,,-100.0,
6587,-64.6,-100.0,,-100.0,
6603,-64.4,-100.0,,-100.0,
6620,-64.2,-100.0,,-100.0,
6621,-64.0,-100.0,,-100.0,
6636,-63.5,-100.0,,-100.0,
