,ALPARR84EASL2,A5XU9JZ5IHLA1,ARUXF7MD6PFIJ
216416,-94.0,-96.0,-100.0
216432,-95.0,-96.0,-100.0
216449,-96.0,-96.0,-100.0
216466,-97.0,-96.0,-100.0
216482,-98.0,-96.0,-100.0
216499,-99.0,-96.0,-100.0
216516,-100.0,-96.0,-100.0
249339,-100.0,-96.0,-100.0
249358,-100.0,-96.0,-99.0
249365,-100.0,-96.0,-99.0
249391,-100.0,-96.0,-97.0
249394,-100.0,-96.0,-97.0
249409,-100.0,-96.0,-96.0
249413,-100.0,-96.0,-96.0
249428,-100.0,-96.0,-94.0
249431,-100.0,-96.0,-94.0
249445,-100.0,-96.0,-93.0
249449,-100.0,-96.0,-93.0
249462,-100.0,-96.0,-92.0
249467,-100.0,-96.0,-92.0
249481,-100.0,-96.0,-91.0
249484,-100.0,-96.0,-91.0
249499,-100.0,-96.0,-90.0
249502,-100.0,-96.0,-90.0
249505,-100.0,-96.0,-89.0
249632,-100.0,-96.0,-89.0
249650,-100.0,-96.0,-88.0
249654,-100.0,-96.0,-88.0
249659,-100.0,-96.0,-87.0
249665,-100.0,-96.0,-87.0
249691,-100.0,-96.0,-85.0
249695,-100.0,-96.0,-85.0
249708,-100.0,-96.0,-84.0
249713,-100.0,-96.0,-84.0
249728,-100.0,-96.0,-83.0
249872,-100.0,-96.0,-83.0
249889,-100.0,-96.0,-83.0
249906,-100.0,-96.0,-83.0
249923,-100.0,-96.0,-83.0
249939,-100.0,-96.0,-83.0
249956,-100.0,-96.0,-83.0
250056,-100.0,-96.0,-83.0
250063,-100.0,-96.0,-83.0
250073,-100.0,-96.0,-83.5
250084,-100.0,-96.0,-84.0
250089,-100.0,-96.0,-84.0
250100,-100.0,-96.0,-84.0
250106,-100.0,-96.0,-84.5
250113,-100.0,-96.0,-85.0
250117,-100.0,-96.0,-85.0
250122,-100.0,-96.0,-86.0
250132,-100.0,-96.0,-87.0
250135,-100.0,-96.0,-87.0
250139,-100.0,-96.0,-88.0
250143,-100.0,-96.0,-88.0
250155,-100.0,-96.0,-89.0
250160,-100.0,-96.0,-89.0
250174,-100.0,-96.0,-90.0
250177,-100.0,-96.0,-90.0
250192,-100.0,-96.0,-91.0
250195,-100.0,-96.0,-91.0
250210,-100.0,-96.0,-92.0
250214,-100.0,-96.0,-92.0
250229,-100.0,-96.0,-93.0
250300,-100.0,-96.0,-93.0
250309,-100.0,-96.0,-94.0
250325,-100.0,-96.0,-94.0
250342,-100.0,-96.0,-96.0
250347,-100.0,-96.0,-96.0
250377,-100.0,-96.0,-98.0
250383,-100.0,-96.0,-98.0
250412,-100.0,-96.0,-100.0
251666,-100.0,-96.0,-100.0
251683,-99.0,-96.0,-100.0
251699,-98.0,-96.0,-100.0
251716,-97.0,-96.0,-100.0
251733,-96.0,-96.0,-100.0
251749,-95.0,-96.0,-100.0
251766,-93.0,-96.0,-100.0
251783,-92.0,-96.0,-100.0
251799,-91.0,-96.0,-100.0
251816,-90.0,-96.0,-100.0
251833,-89.0,-96.0,-100.0
251849,-88.0,-96.0,-100.0
251866,-87.0,-96.0,-100.0
251883,-86.0,-96.0,-100.0
251899,-85.0,-96.0,-100.0
251917,-84.0,-96.0,-100.0
252181,-84.0,-96.0,-100.0
252199,-84.0,-96.0,-99.0
252202,-84.0,-96.0,-99.0
252223,-84.0,-96.0,-97.0
252227,-84.0,-96.0,-97.0
252241,-84.0,-96.0,-96.0
252244,-84.0,-96.0,-96.0
252260,-84.0,-96.0,-95.0
252263,-84.0,-96.0,-95.0
252275,-84.0,-96.0,-94.0
252277,-84.0,-96.0,-94.0
252282,-84.0,-96.0,-94.0
252293,-84.0,-96.0,-94.0
252295,-84.0,-96.0,-94.0
252306,-84.0,-96.0,-94.0
252310,-84.0,-96.0,-94.0
252312,-84.0,-96.0,-94.0
252323,-84.0,-96.0,-94.0
252327,-84.0,-96.0,-94.0
252330,-84.0,-96.0,-94.0
252339,-84.0,-96.0,-94.0
252343,-84.0,-96.0,-94.0
252345,-84.0,-96.0,-94.0
252356,-84.0,-96.0,-94.0
252361,-84.0,-96.0,-94.0
252372,-84.0,-96.0,-94.0
252384,-84.0,-96.0,-94.0
252389,-84.0,-96.0,-93.5
252392,-84.0,-96.0,-93.0
252400,-84.0,-96.0,-93.0
252426,-84.0,-96.0,-91.0
252430,-84.0,-96.0,-91.0
252443,-84.0,-96.0,-90.0
252447,-84.0,-96.0,-90.0
252462,-84.0,-96.0,-89.0
252465,-84.0,-96.0,-89.0
252478,-84.0,-96.0,-88.0
252489,-84.0,-96.0,-88.0
252507,-84.0,-96.0,-88.0
252522,-84.0,-96.0,-88.0
252539,-84.0,-96.0,-88.0
252556,-84.0,-96.0,-88.0
252572,-84.0,-96.0,-88.0
252579,-84.0,-96.0,-88.0
252595,-84.0,-96.0,-88.0
252597,-84.0,-96.0,-88.0
252612,-84.0,-96.0,-88.0
252614,-84.0,-96.0,-88.0
252627,-84.0,-96.0,-88.0
252630,-84.0,-96.0,-88.0
252646,-84.0,-96.0,-88.0
252648,-84.0,-96.0,-88.0
252661,-84.0,-96.0,-88.0
252704,-84.0,-96.0,-88.0
252711,-84.0,-96.0,-89.0
252715,-84.0,-96.0,-89.0
252742,-84.0,-96.0,-91.0
252746,-84.0,-96.0,-91.0
252761,-84.0,-96.0,-92.0
252764,-84.0,-96.0,-92.0
252777,-84.0,-96.0,-93.0
252783,-84.0,-96.0,-93.0
252795,-84.0,-96.0,-94.0
252798,-84.0,-96.0,-94.0
252813,-84.0,-96.0,-95.0
252817,-84.0,-96.0,-95.0
252833,-84.0,-96.0,-96.0
252837,-84.0,-96.0,-96.0
252849,-84.0,-96.0,-97.0
252999,-84.0,-96.0,-97.0
253017,-84.0,-96.0,-98.0
253020,-84.0,-96.0,-98.0
253041,-84.0,-96.0,-100.0
254649,-84.0,-96.0,-100.0
254667,-85.0,-96.0,-100.0
254683,-86.0,-96.0,-100.0
254699,-87.0,-96.0,-100.0
254716,-88.0,-96.0,-100.0
254733,-89.0,-96.0,-100.0
254750,-91.0,-96.0,-100.0
254766,-92.0,-96.0,-100.0
254783,-93.0,-96.0,-100.0
254799,-94.0,-96.0,-100.0
254816,-95.0,-96.0,-100.0
254833,-96.0,-96.0,-100.0
254849,-97.0,-96.0,-100.0
254866,-98.0,-96.0,-100.0
254883,-99.0,-96.0,-100.0
254899,-100.0,-96.0,-100.0
256519,-100.0,-96.0,-100.0
256536,-100.0,-96.0,-100.0
256539,-100.0,-96.0,-100.0
256552,-100.0,-96.0,-100.0
256555,-100.0,-96.0,-100.0
256570,-100.0,-96.0,-100.0
256573,-100.0,-96.0,-100.0
256585,-100.0,-96.0,-100.0
256588,-100.0,-96.0,-100.0
256602,-100.0,-96.0,-100.0
256605,-100.0,-96.0,-100.0
256619,-100.0,-96.0,-100.0
256822,-100.0,-96.0,-100.0
256840,-100.0,-96.0,-100.0
256842,-100.0,-96.0,-100.0
256854,-100.0,-96.0,-100.0
256856,-100.0,-96.0,-100.0
256871,-100.0,-96.0,-100.0
256873,-100.0,-96.0,-100.0
256889,-100.0,-96.0,-100.0
320080,-100.0,-96.0,-100.0
320096,-100.0,-96.0,-99.0
320108,-100.0,-96.0,-99.0
320133,-100.0,-96.0,-98.0
320139,-100.0,-96.0,-98.0
320167,-100.0,-96.0,-96.0
320171,-100.0,-96.0,-96.0
320186,-100.0,-96.0,-94.0
322463,-100.0,-96.0,-94.0
322481,-100.0,-96.0,-95.0
322485,-100.0,-96.0,-95.0
322514,-100.0,-96.0,-97.0
322518,-100.0,-96.0,-97.0
322532,-100.0,-96.0,-98.0
322535,-100.0,-96.0,-98.0
322550,-100.0,-96.0,-99.0
322553,-100.0,-96.0,-99.0
322568,-100.0,-96.0,-100.0
330900,-100.0,-96.0,-100.0
330917,-99.0,-96.0,-100.0
330933,-98.0,-96.0,-100.0
330950,-97.0,-96.0,-100.0
330967,-96.0,-96.0,-100.0
330983,-94.0,-96.0,-100.0
331000,-93.0,-96.0,-100.0
331017,-92.0,-96.0,-100.0
331033,-91.0,-96.0,-100.0
331050,-90.0,-96.0,-100.0
332250,-90.0,-96.0,-100.0
332267,-89.0,-96.0,-100.0
332283,-88.0,-96.0,-100.0
332300,-87.0,-96.0,-100.0
332317,-86.0,-96.0,-100.0
332333,-85.0,-96.0,-100.0
332350,-83.0,-96.0,-100.0
332367,-82.0,-96.0,-100.0
332383,-81.0,-96.0,-100.0
332400,-80.0,-96.0,-100.0
332417,-79.0,-96.0,-100.0
332433,-78.0,-96.0,-100.0
332451,-77.0,-96.0,-100.0
332567,-77.0,-96.0,-100.0
332586,-77.0,-96.0,-99.0
332589,-77.0,-96.0,-99.0
332618,-77.0,-96.0,-97.0
332623,-77.0,-96.0,-97.0
332637,-77.0,-96.0,-96.0
332641,-77.0,-96.0,-96.0
332673,-77.0,-96.0,-94.0
332678,-77.0,-96.0,-94.0
332698,-77.0,-96.0,-93.0
332750,-77.0,-96.0,-93.0
332768,-76.0,-96.0,-93.0
332784,-75.0,-96.0,-93.0
332800,-74.0,-96.0,-93.0
332817,-72.0,-96.0,-93.0
332833,-71.0,-96.0,-93.0
332850,-70.0,-96.0,-93.0
332867,-69.0,-96.0,-93.0
332883,-68.0,-96.0,-93.0
332900,-67.0,-96.0,-93.0
332917,-66.0,-96.0,-93.0
332933,-65.0,-96.0,-93.0
332950,-63.0,-96.0,-93.0
332967,-62.0,-96.0,-93.0
332983,-61.0,-96.0,-93.0
333000,-60.0,-96.0,-93.0
333017,-59.0,-96.0,-93.0
333033,-58.0,-96.0,-93.0
333050,-57.0,-96.0,-93.0
333067,-56.0,-96.0,-93.0
333083,-55.0,-96.0,-93.0
333100,-53.0,-96.0,-93.0
333105,-53.0,-96.0,-93.0
333120,-53.0,-96.0,-92.0
333124,-53.0,-96.0,-92.0
333138,-53.0,-96.0,-91.0
333141,-53.0,-96.0,-91.0
333156,-53.0,-96.0,-90.0
333159,-53.0,-96.0,-90.0
333174,-53.0,-96.0,-89.0
333179,-53.0,-96.0,-89.0
333181,-53.0,-96.0,-88.0
333975,-53.0,-96.0,-88.0
334000,-53.0,-96.0,-89.0
334003,-53.0,-96.0,-89.0
334017,-53.0,-96.0,-90.0
334022,-53.0,-96.0,-90.0
334034,-53.0,-96.0,-91.0
334037,-53.0,-96.0,-91.0
334053,-53.0,-96.0,-92.0
334056,-53.0,-96.0,-92.0
334071,-53.0,-96.0,-93.0
334074,-53.0,-96.0,-93.0
334090,-53.0,-96.0,-94.0
334093,-53.0,-96.0,-94.0
334110,-53.0,-96.0,-95.0
334186,-53.0,-96.0,-95.0
334204,-53.0,-96.0,-96.0
334207,-53.0,-96.0,-96.0
334219,-53.0,-96.0,-97.0
334224,-53.0,-96.0,-97.0
334238,-53.0,-96.0,-98.0
334244,-53.0,-96.0,-98.0
334255,-53.0,-96.0,-99.0
334258,-53.0,-96.0,-99.0
334273,-53.0,-96.0,-100.0
338150,-53.0,-96.0,-100.0
338167,-54.0,-96.0,-100.0
338183,-55.0,-96.0,-100.0
338200,-57.0,-96.0,-100.0
338217,-58.0,-96.0,-100.0
338233,-59.0,-96.0,-100.0
338250,-60.0,-96.0,-100.0
338267,-61.0,-96.0,-100.0
338283,-62.0,-96.0,-100.0
338300,-63.0,-96.0,-100.0
338317,-64.0,-96.0,-100.0
338333,-65.0,-96.0,-100.0
338350,-67.0,-96.0,-100.0
338367,-68.0,-96.0,-100.0
338383,-69.0,-96.0,-100.0
338400,-70.0,-96.0,-100.0
338417,-71.0,-96.0,-100.0
338433,-72.0,-96.0,-100.0
338450,-73.0,-96.0,-100.0
338467,-74.0,-96.0,-100.0
338483,-75.0,-96.0,-100.0
338500,-77.0,-96.0,-100.0
338517,-78.0,-96.0,-100.0
338533,-79.0,-96.0,-100.0
338550,-80.0,-96.0,-100.0
338567,-81.0,-96.0,-100.0
338583,-82.0,-96.0,-100.0
338600,-83.0,-96.0,-100.0
338617,-84.0,-96.0,-100.0
338633,-85.0,-96.0,-100.0
338651,-86.0,-96.0,-100.0
338667,-88.0,-96.0,-100.0
338683,-89.0,-96.0,-100.0
338700,-90.0,-96.0,-100.0
338717,-91.0,-96.0,-100.0
338733,-92.0,-96.0,-100.0
338750,-93.0,-96.0,-100.0
338767,-94.0,-96.0,-100.0
338783,-95.0,-96.0,-100.0
338800,-97.0,-96.0,-100.0
338817,-98.0,-96.0,-100.0
338833,-99.0,-96.0,-100.0
338850,-100.0,-96.0,-100.0
341500,-100.0,-96.0,-100.0
341518,-99.0,-96.0,-100.0
341533,-98.0,-96.0,-100.0
341550,-97.0,-96.0,-100.0
341567,-96.0,-96.0,-100.0
341583,-94.0,-96.0,-100.0
341600,-93.0,-96.0,-100.0
341617,-92.0,-96.0,-100.0
341633,-91.0,-96.0,-100.0
341650,-90.0,-96.0,-100.0
341667,-89.0,-96.0,-100.0
341683,-88.0,-96.0,-100.0
341700,-87.0,-96.0,-100.0
341717,-86.0,-96.0,-100.0
341733,-84.0,-96.0,-100.0
341750,-83.0,-96.0,-100.0
341767,-82.0,-96.0,-100.0
341783,-81.0,-96.0,-100.0
341793,-80.5,-96.0,-100.0
341800,-80.0,-96.0,-99.5
341810,-79.66666666666667,-96.0,-99.0
341814,-79.33333333333333,-96.0,-99.0
341817,-79.0,-96.0,-98.5
341833,-78.0,-96.0,-98.0
341839,-77.5,-96.0,-98.0
341850,-77.0,-96.0,-97.5
341852,-76.66666666666667,-96.0,-97.0
341855,-76.33333333333333,-96.0,-97.0
341867,-76.0,-96.0,-96.5
341870,-75.33333333333333,-96.0,-96.0
341873,-74.66666666666667,-96.0,-96.0
341883,-74.0,-96.0,-95.5
341888,-73.66666666666667,-96.0,-95.0
341891,-73.33333333333333,-96.0,-95.0
341900,-73.0,-96.0,-94.5
341906,-72.5,-96.0,-94.0
341917,-72.0,-96.0,-94.0
341933,-71.0,-96.0,-94.0
341950,-70.0,-96.0,-94.0
341967,-69.0,-96.0,-94.0
341983,-68.0,-96.0,-94.0
342000,-67.0,-96.0,-94.0
342017,-66.0,-96.0,-94.0
342034,-65.0,-96.0,-94.0
342417,-65.0,-96.0,-94.0
342434,-64.0,-96.0,-94.0
342450,-63.0,-96.0,-94.0
342467,-61.0,-96.0,-94.0
342483,-60.0,-96.0,-94.0
342500,-59.0,-96.0,-94.0
342517,-58.0,-96.0,-94.0
342533,-57.0,-96.0,-94.0
342550,-56.0,-96.0,-94.0
342567,-55.0,-96.0,-94.0
342583,-54.0,-96.0,-94.0
342600,-53.0,-96.0,-94.0
342617,-51.0,-96.0,-94.0
342633,-50.0,-96.0,-94.0
