,AYTF9Q5TZX4IK,AF50K5H2FJWW0,AF8GOPFSTWCH8
28419,-86.89189189189189,-100.0,
28440,-86.83783783783784,-100.0,
28458,-86.78378378378379,-100.0,
28470,-86.72972972972973,-100.0,
28867,-86.67567567567568,-100.0,
28895,-86.62162162162163,-100.0,
28913,-86.56756756756756,-100.0,
28922,-86.51351351351352,-100.0,
28923,-86.45945945945945,-100.0,
28939,-86.4054054054054,-100.0,
28940,-86.35135135135135,-100.0,
28956,-86.29729729729729,-100.0,
28965,-86.24324324324324,-100.0,
28973,-86.1891891891892,-100.0,
28982,-86.13513513513513,-100.0,
28989,-86.08108108108108,-100.0,
29006,-86.02702702702703,-100.0,
29010,-85.97297297297297,-100.0,
29023,-85.91891891891892,-100.0,
29035,-85.86486486486487,-100.0,
29039,-85.8108108108108,-100.0,
29045,-85.75675675675676,-100.0,
29056,-85.70270270270271,-100.0,
29059,-85.64864864864865,-100.0,
29071,-85.5945945945946,-100.0,
29072,-85.54054054054055,-100.0,
29089,-85.48648648648648,-100.0,
29106,-85.43243243243244,-100.0,
29117,-85.37837837837837,-100.0,
29123,-85.32432432432432,-100.0,
29126,-85.27027027027027,-100.0,
29152,-85.21621621621621,-100.0,
29162,-85.16216216216216,-100.0,
29180,-85.10810810810811,-100.0,
29200,-85.05405405405405,-100.0,
29230,-85.0,-100.0,
29238,-84.8,-100.0,
29250,-84.6,-100.0,
29256,-84.4,-100.0,
29273,-84.2,-100.0,
29276,-84.0,-100.0,
29288,-83.6,-100.0,
29289,-83.2,-100.0,
29306,-82.8,-100.0,
29307,-82.4,-100.0,
29311,-82.0,-100.0,
29323,-81.25,-100.0,
29339,-80.5,-100.0,
29356,-79.75,-100.0,
29358,-79.0,-100.0,
29372,-78.33333333333333,-100.0,
29390,-77.66666666666667,-100.0,
29392,-77.0,-100.0,
29406,-77.0,-100.0,
29423,-77.0,-100.0,
29439,-77.0,-100.0,
29440,-77.0,-100.0,
29456,-77.0,-100.0,
29460,-77.0,-100.0,
29511,-77.0,-100.0,
29533,-77.0,-100.0,
29560,-77.0,-100.0,
29563,-77.0,-100.0,
29579,-77.0,-100.0,
29584,-77.0,-100.0,
29610,-77.0,-100.0,
29615,-77.0,-100.0,
29627,-77.0,-100.0,
29632,-77.0,-100.0,
29638,-77.0,-100.0,
29643,-77.0,-100.0,
29649,-77.0,-100.0,
29660,-77.0,-100.0,
29665,-77.0,-100.0,
29671,-77.0,-100.0,
29677,-77.0,-100.0,
29679,-77.0,-100.0,
29695,-77.0,-100.0,
29712,-77.0,-100.0,
29759,-77.0,-100.0,
29770,-77.0,-100.0,
29776,-77.0,-100.0,
29777,-77.0,-100.0,-97.0
29798,-77.0,-100.0,-96.66666666666667
29808,-77.0,-100.0,-96.33333333333333
29812,-77.0,-100.0,-96.0
29843,-77.0,-100.0,-94.5
29858,-77.0,-100.0,-93.0
29860,-77.0,-100.0,-92.33333333333333
29877,-77.0,-100.0,-91.66666666666667
29893,-77.0,-100.0,-91.0
29894,-77.0,-100.0,
29906,-77.0,-100.0,
29986,-77.0,-100.0,
30008,-77.0,-100.0,
30039,-77.0,-100.0,
30050,-77.0,-100.0,
30075,-77.0,-100.0,
30115,-77.0,-100.0,
30123,-77.0,-100.0,
30131,-77.0,-100.0,
30138,-77.0,-100.0,
30141,-77.0,-100.0,
30156,-77.0,-100.0,
30162,-77.0,-100.0,
30167,-77.0,-100.0,
30169,-77.0,-100.0,
30181,-77.0,-100.0,
30186,-77.0,-100.0,
30193,-77.0,-100.0,
30219,-77.0,-100.0,
30232,-77.0,-100.0,
30240,-77.0,-100.0,
