,A9ZBEA4T2FNZ3,ADYYCYVBZE1V
40423,-100.0,-100.0
40442,-100.0,-100.0
40460,-100.0,-100.0
40480,-100.0,-100.0
40497,-100.0,-100.0
40516,-100.0,-100.0
40530,-100.0,-100.0
40550,-100.0,-100.0
40553,-100.0,-100.0
40574,-100.0,-100.0
40587,-100.0,-100.0
40607,-100.0,-100.0
40622,-100.0,-100.0
40642,-100.0,-100.0
40657,-100.0,-100.0
40675,-100.0,-100.0
40686,-100.0,-100.0
40709,-100.0,-100.0
40727,-100.0,-100.0
40749,-100.0,-100.0
40762,-100.0,-100.0
40771,-100.0,-100.0
40788,-100.0,-100.0
40809,-100.0,-100.0
40825,-100.0,-100.0
40846,-100.0,-100.0
40862,-100.0,-100.0
40893,-100.0,-100.0
40917,-100.0,-100.0
40949,-100.0,-100.0
40969,-100.0,-100.0
40981,-100.0,-100.0
40997,-100.0,-100.0
41018,-100.0,-100.0
41048,-100.0,-100.0
41082,-100.0,-100.0
41104,-100.0,-100.0
41114,-100.0,-100.0
41131,-100.0,-100.0
41144,-100.0,-100.0
41164,-100.0,-100.0
41175,-100.0,-100.0
41193,-100.0,-100.0
41199,-100.0,-100.0
41220,-100.0,-100.0
41233,-100.0,-100.0
41253,-100.0,-100.0
41269,-100.0,-100.0
41290,-100.0,-100.0
41304,-100.0,-100.0
41324,-100.0,-100.0
41342,-100.0,-100.0
41356,-100.0,-100.0
41380,-100.0,-100.0
41396,-100.0,-100.0
41407,-100.0,-100.0
41422,-100.0,-100.0
41443,-100.0,-100.0
41454,-100.0,-100.0
41473,-100.0,-100.0
41486,-100.0,-100.0
41511,-100.0,-100.0
41521,-100.0,-100.0
41541,-100.0,-100.0
41555,-100.0,-100.0
41573,-100.0,-100.0
41589,-100.0,-100.0
41608,-100.0,-100.0
41627,-100.0,-100.0
41635,-100.0,-100.0
41650,-100.0,-100.0
41671,-100.0,-100.0
41684,-100.0,-100.0
41709,-100.0,-100.0
41720,-100.0,-100.0
41759,-100.0,-100.0
41772,-100.0,-100.0
41795,-100.0,-100.0
41810,-100.0,-100.0
41823,-100.0,-100.0
41831,-100.0,-100.0
41847,-100.0,-100.0
41864,-100.0,-100.0
41882,-100.0,-100.0
41901,-100.0,-100.0
41917,-100.0,-100.0
41935,-100.0,-100.0
41951,-100.0,-100.0
41969,-100.0,-100.0
41987,-100.0,-100.0
42004,-100.0,-100.0
42022,-100.0,-100.0
42040,-100.0,-100.0
42056,-100.0,-100.0
42064,-100.0,-100.0
42081,-100.0,-100.0
42098,-100.0,-100.0
42118,-100.0,-100.0
42140,-100.0,-100.0
42156,-100.0,-100.0
42176,-100.0,-100.0
42190,-100.0,-100.0
42208,-100.0,-100.0
42222,-100.0,-100.0
42239,-100.0,-100.0
42256,-100.0,-100.0
42263,-100.0,-100.0
42281,-100.0,-100.0
42298,-100.0,-100.0
42316,-100.0,-100.0
42328,-100.0,-100.0
42329,-100.0,-100.0
57245,-100.0,-100.0
57276,-100.0,-99.0
57331,-100.0,-98.0
57366,-100.0,-95.0
57393,-100.0,-93.0
57420,-100.0,-92.0
57472,-100.0,-91.0
57499,-100.0,-91.0
57525,-100.0,-90.0
57552,-100.0,-88.0
57594,-100.0,-85.0
57642,-100.0,-85.0
57665,-99.0,-85.0
57671,-98.0,-85.0
57694,-97.0,-84.5
57698,-96.0,-84.0
57724,-95.0,-82.0
57738,-94.0,-81.5
57750,-93.5,-81.0
57758,-93.0,-80.0
57776,-92.5,-79.0
57779,-92.0,-79.0
57801,-90.0,-79.0
57821,-89.0,-79.0
57843,-88.0,-79.0
57844,-87.0,-79.0
57863,-86.0,-78.5
57871,-85.5,-78.0
57885,-85.0,-77.5
57897,-84.5,-77.0
57905,-84.0,-76.33333333333333
57916,-82.0,-75.66666666666667
57924,-81.5,-75.0
57937,-81.0,-75.0
57958,-80.0,-75.0
57979,-78.0,-75.0
58000,-77.0,-75.0
58019,-76.5,-75.0
58021,-76.0,-74.66666666666667
58042,-74.0,-74.33333333333333
58047,-73.5,-74.0
58064,-73.0,-73.33333333333333
58084,-72.0,-72.66666666666667
58098,-71.0,-72.0
58104,-70.0,-72.0
58116,-69.0,-72.0
58137,-68.0,-72.0
58157,-66.0,-72.0
58176,-65.5,-72.0
58178,-65.0,-71.66666666666667
58199,-64.0,-71.33333333333333
58204,-63.333333333333336,-71.0
58217,-62.666666666666664,-70.0
58220,-62.0,-69.66666666666667
58242,-61.0,-69.33333333333333
58246,-60.5,-69.0
58262,-60.0,-69.0
58283,-58.0,-69.0
58304,-57.0,-69.0
58323,-55.5,-69.0
58335,-54.0,-68.5
58351,-53.5,-68.0
58356,-53.0,-67.5
58376,-52.5,-67.0
58378,-52.0,-67.0
58398,-50.0,-67.0
58419,-49.0,-67.0
58441,-48.0,-67.0
58462,-46.0,-67.0
