,AYZH634E8OS41,AZSSG2REHDX18,A1XY2JMPVJCF4
0,-100.0,-100.0,-100.0
1,-100.0,-100.0,-100.0
6340,-100.0,-100.0,-100.0
6373,-100.0,-100.0,-100.0
6394,-100.0,-100.0,-100.0
6426,-100.0,-100.0,-100.0
6461,-100.0,-100.0,-100.0
6492,-100.0,-100.0,-100.0
6526,-100.0,-100.0,-100.0
6557,-100.0,-100.0,-100.0
6579,-100.0,-100.0,-100.0
6611,-100.0,-100.0,-100.0
6644,-100.0,-100.0,-100.0
6675,-100.0,-100.0,-100.0
6709,-100.0,-100.0,-100.0
6730,-100.0,-100.0,-100.0
6762,-100.0,-100.0,-100.0
6795,-100.0,-100.0,-100.0
6827,-100.0,-100.0,-100.0
6861,-100.0,-100.0,-100.0
6885,-100.0,-100.0,-100.0
7074,-100.0,-100.0,-100.0
7152,-100.0,-100.0,-100.0
7177,-100.0,-100.0,-100.0
7198,-100.0,-100.0,-100.0
7266,-100.0,-100.0,-100.0
7301,-100.0,-100.0,-100.0
7331,-100.0,-100.0,-100.0
7387,-100.0,-100.0,-100.0
7455,-100.0,-100.0,-100.0
7489,-100.0,-100.0,-100.0
7512,-100.0,-100.0,-100.0
7764,-100.0,-100.0,-100.0
7797,-100.0,-100.0,-100.0
7830,-100.0,-100.0,-100.0
7851,-100.0,-100.0,-100.0
7884,-100.0,-100.0,-100.0
7917,-100.0,-100.0,-100.0
7950,-100.0,-100.0,-100.0
7983,-100.0,-100.0,-100.0
8004,-100.0,-100.0,-100.0
8037,-100.0,-100.0,-100.0
8069,-100.0,-100.0,-100.0
8102,-100.0,-100.0,-100.0
8132,-100.0,-100.0,-100.0
8156,-100.0,-100.0,-100.0
8191,-100.0,-100.0,-100.0
8224,-100.0,-100.0,-100.0
9636,-100.0,-100.0,-100.0
9671,-100.0,-100.0,-100.0
9708,-100.0,-100.0,-100.0
9761,-100.0,-100.0,-100.0
9830,-100.0,-100.0,-100.0
11044,-100.0,-100.0,-100.0
11107,-100.0,-100.0,-100.0
11141,-100.0,-100.0,-100.0
11197,-100.0,-100.0,-100.0
11228,-100.0,-100.0,-100.0
11263,-100.0,-100.0,-100.0
11446,-100.0,-100.0,-100.0
11480,-100.0,-100.0,-100.0
11511,-100.0,-100.0,-100.0
11533,-100.0,-100.0,-100.0
11566,-100.0,-100.0,-100.0
11599,-100.0,-100.0,-100.0
11630,-100.0,-100.0,-100.0
11663,-100.0,-100.0,-100.0
11685,-100.0,-100.0,-100.0
11874,-100.0,-100.0,-100.0
11944,-100.0,-100.0,-100.0
11974,-100.0,-100.0,-100.0
11997,-100.0,-100.0,-100.0
12029,-100.0,-100.0,-100.0
12063,-100.0,-100.0,-100.0
12093,-100.0,-100.0,-100.0
12336,-100.0,-100.0,-100.0
12369,-100.0,-100.0,-100.0
12401,-100.0,-100.0,-100.0
12432,-100.0,-100.0,-100.0
12467,-100.0,-100.0,-100.0
12487,-100.0,-100.0,-100.0
13163,-100.0,-100.0,-100.0
13199,-100.0,-100.0,-100.0
13228,-100.0,-100.0,-100.0
13262,-100.0,-100.0,-100.0
13283,-100.0,-100.0,-100.0
13316,-100.0,-100.0,-100.0
13666,-100.0,-100.0,-100.0
13692,-100.0,-100.0,-100.0
13724,-100.0,-100.0,-100.0
13756,-100.0,-100.0,-100.0
13779,-100.0,-100.0,-100.0
13812,-100.0,-100.0,-100.0
13846,-100.0,-100.0,-100.0
13877,-100.0,-100.0,-100.0
13913,-100.0,-100.0,-100.0
14866,-100.0,-100.0,-100.0
14893,-100.0,-100.0,-100.0
14917,-100.0,-100.0,-100.0
14991,-100.0,-100.0,-100.0
15025,-100.0,-100.0,-100.0
15047,-100.0,-100.0,-100.0
15079,-100.0,-100.0,-100.0
15109,-100.0,-100.0,-100.0
15172,-100.0,-100.0,-100.0
15235,-100.0,-100.0,-100.0
15268,-100.0,-100.0,-100.0
15299,-100.0,-100.0,-100.0
15332,-100.0,-100.0,-100.0
15355,-100.0,-100.0,-100.0
15386,-100.0,-100.0,-100.0
15421,-100.0,-100.0,-100.0
15452,-100.0,-100.0,-100.0
15485,-100.0,-100.0,-100.0
15517,-100.0,-100.0,-100.0
15539,-100.0,-100.0,-100.0
15822,-100.0,-100.0,-100.0
15844,-100.0,-100.0,-100.0
15877,-100.0,-100.0,-100.0
15899,-100.0,-100.0,-100.0
16187,-100.0,-100.0,-100.0
16220,-100.0,-100.0,-100.0
16251,-100.0,-100.0,-100.0
16285,-100.0,-100.0,-100.0
16316,-100.0,-100.0,-100.0
16468,-100.0,-100.0,-100.0
16491,-100.0,-100.0,-100.0
16523,-100.0,-100.0,-100.0
16555,-100.0,-100.0,-100.0
16676,-100.0,-100.0,-100.0
16708,-100.0,-100.0,-100.0
16741,-100.0,-100.0,-100.0
16773,-100.0,-100.0,-100.0
16800,-100.0,-100.0,-100.0
16981,-100.0,-100.0,-100.0
17016,-100.0,-100.0,-100.0
17045,-100.0,-100.0,-100.0
17079,-100.0,-100.0,-100.0
18879,-100.0,-100.0,-100.0
18949,-100.0,-100.0,-100.0
18982,-100.0,-100.0,-100.0
19014,-100.0,-100.0,-100.0
19036,-100.0,-100.0,-100.0
19067,-100.0,-100.0,-100.0
19101,-100.0,-100.0,-100.0
19132,-100.0,-100.0,-100.0
19163,-100.0,-100.0,-100.0
19197,-100.0,-100.0,-100.0
19256,-100.0,-100.0,-100.0
19301,-100.0,-100.0,-100.0
19354,-100.0,-100.0,-100.0
19394,-100.0,-100.0,-100.0
19421,-100.0,-100.0,-100.0
19454,-100.0,-100.0,-100.0
19489,-100.0,-100.0,-100.0
19512,-100.0,-100.0,-100.0
19544,-100.0,-100.0,-100.0
19577,-100.0,-100.0,-100.0
19607,-100.0,-100.0,-100.0
19642,-100.0,-100.0,-100.0
19672,-100.0,-100.0,-100.0
19696,-100.0,-100.0,-100.0
19727,-100.0,-100.0,-100.0
19761,-100.0,-100.0,-100.0
19830,-100.0,-100.0,-100.0
19853,-100.0,-100.0,-100.0
19886,-100.0,-100.0,-100.0
19919,-100.0,-100.0,-100.0
19949,-100.0,-100.0,-100.0
19985,-100.0,-100.0,-100.0
20005,-100.0,-100.0,-100.0
20038,-100.0,-100.0,-100.0
20070,-100.0,-100.0,-100.0
20104,-100.0,-100.0,-100.0
20136,-100.0,-100.0,-100.0
27011,-100.0,-100.0,-100.0
27034,-100.0,-100.0,-100.0
27066,-100.0,-100.0,-100.0
27099,-100.0,-100.0,-100.0
27130,-100.0,-100.0,-100.0
27164,-100.0,-100.0,-100.0
27305,-100.0,-100.0,-100.0
27322,-100.0,-100.0,-100.0
27338,-100.0,-100.0,-100.0
27355,-100.0,-100.0,-100.0
27371,-100.0,-100.0,-100.0
27388,-100.0,-100.0,-100.0
27405,-100.0,-100.0,-100.0
27422,-100.0,-100.0,-100.0
27438,-100.0,-100.0,-100.0
27455,-100.0,-100.0,-100.0
27472,-100.0,-100.0,-100.0
27488,-100.0,-100.0,-100.0
27505,-100.0,-100.0,-100.0
27715,-100.0,-100.0,-100.0
27747,-100.0,-100.0,-100.0
27780,-100.0,-100.0,-100.0
27812,-100.0,-100.0,-100.0
27834,-100.0,-100.0,-100.0
27862,-100.0,-100.0,-100.0
27889,-100.0,-100.0,-100.0
27899,-100.0,-100.0,-100.0
27906,-100.0,-100.0,-100.0
27922,-100.0,-100.0,-100.0
27939,-100.0,-100.0,-100.0
27955,-100.0,-100.0,-100.0
27972,-100.0,-100.0,-100.0
27989,-100.0,-100.0,-100.0
28005,-100.0,-100.0,-100.0
28022,-100.0,-100.0,-100.0
28039,-100.0,-100.0,-100.0
28055,-100.0,-100.0,-100.0
28072,-100.0,-100.0,-100.0
28089,-100.0,-100.0,-100.0
29791,-100.0,-100.0,-100.0
29809,-100.0,-100.0,-100.0
29824,-100.0,-100.0,-100.0
29841,-100.0,-100.0,-100.0
29857,-100.0,-100.0,-100.0
29874,-100.0,-100.0,-100.0
29891,-100.0,-100.0,-100.0
29908,-100.0,-100.0,-100.0
29924,-100.0,-100.0,-100.0
29941,-100.0,-100.0,-100.0
29958,-100.0,-100.0,-100.0
29963,-100.0,-100.0,-100.0
29975,-100.0,-100.0,-100.0
29997,-100.0,-100.0,-100.0
30027,-100.0,-100.0,-100.0
30062,-100.0,-100.0,-100.0
30081,-100.0,-100.0,-100.0
30116,-100.0,-100.0,-100.0
30147,-100.0,-100.0,-100.0
30180,-100.0,-100.0,-100.0
30212,-100.0,-100.0,-100.0
30234,-100.0,-100.0,-100.0
30301,-100.0,-100.0,-100.0
30368,-100.0,-100.0,-100.0
30401,-100.0,-100.0,-100.0
30426,-100.0,-100.0,-100.0
30458,-100.0,-100.0,-100.0
30490,-100.0,-100.0,-100.0
30523,-100.0,-100.0,-100.0
30580,-100.0,-100.0,-100.0
30613,-100.0,-100.0,-100.0
30646,-100.0,-100.0,-100.0
30681,-100.0,-100.0,-100.0
31506,-100.0,-100.0,-100.0
31527,-100.0,-100.0,-100.0
31561,-100.0,-100.0,-100.0
31593,-100.0,-100.0,-100.0
31624,-100.0,-100.0,-100.0
31657,-100.0,-100.0,-100.0
33595,-100.0,-100.0,-100.0
33612,-100.0,-100.0,-100.0
33628,-100.0,-100.0,-100.0
33645,-100.0,-100.0,-100.0
33662,-100.0,-100.0,-100.0
33678,-100.0,-100.0,-100.0
33695,-100.0,-100.0,-100.0
33712,-100.0,-100.0,-100.0
33728,-100.0,-100.0,-100.0
33745,-100.0,-100.0,-100.0
36576,-100.0,-100.0,-100.0
36609,-100.0,-100.0,-100.0
36640,-100.0,-100.0,-100.0
36662,-100.0,-100.0,-100.0
36696,-100.0,-100.0,-100.0
38792,-100.0,-100.0,-100.0
38827,-100.0,-100.0,-100.0
38858,-100.0,-100.0,-100.0
38880,-100.0,-100.0,-100.0
38914,-100.0,-100.0,-100.0
38944,-100.0,-100.0,-100.0
38979,-100.0,-100.0,-100.0
40761,-100.0,-100.0,-100.0
40791,-100.0,-100.0,-100.0
40814,-100.0,-100.0,-100.0
40881,-100.0,-100.0,-100.0
40948,-100.0,-100.0,-100.0
40969,-100.0,-100.0,-100.0
41002,-100.0,-100.0,-100.0
41033,-100.0,-100.0,-100.0
41066,-100.0,-100.0,-100.0
41652,-100.0,-100.0,-100.0
41686,-100.0,-100.0,-100.0
41718,-100.0,-100.0,-100.0
41751,-100.0,-100.0,-100.0
41762,-100.0,-100.0,-100.0
41795,-100.0,-100.0,-100.0
42027,-100.0,-100.0,-100.0
42052,-100.0,-100.0,-100.0
42074,-100.0,-100.0,-100.0
42106,-100.0,-100.0,-100.0
42140,-100.0,-100.0,-100.0
42183,-100.0,-100.0,-100.0
42727,-100.0,-100.0,-100.0
42760,-100.0,-100.0,-100.0
42793,-100.0,-100.0,-100.0
42863,-100.0,-100.0,-100.0
42920,-100.0,-100.0,-100.0
43195,-100.0,-100.0,-100.0
43227,-100.0,-100.0,-100.0
43261,-100.0,-100.0,-100.0
43292,-100.0,-100.0,-100.0
43325,-100.0,-100.0,-100.0
43357,-100.0,-100.0,-100.0
43379,-100.0,-100.0,-100.0
43411,-100.0,-100.0,-100.0
43444,-100.0,-100.0,-100.0
43476,-100.0,-100.0,-100.0
43965,-100.0,-100.0,-100.0
43997,-100.0,-100.0,-100.0
44020,-100.0,-100.0,-100.0
44051,-100.0,-100.0,-100.0
44086,-100.0,-100.0,-100.0
44473,-100.0,-100.0,-100.0
44491,-100.0,-100.0,-100.0
44507,-100.0,-100.0,-100.0
44523,-100.0,-100.0,-100.0
44540,-100.0,-100.0,-100.0
44557,-100.0,-100.0,-100.0
44573,-100.0,-100.0,-100.0
44590,-100.0,-100.0,-100.0
44607,-100.0,-100.0,-100.0
44624,-100.0,-100.0,-100.0
44640,-100.0,-100.0,-100.0
44657,-100.0,-100.0,-100.0
44674,-100.0,-100.0,-100.0
44690,-100.0,-100.0,-100.0
44707,-100.0,-100.0,-100.0
44724,-100.0,-100.0,-100.0
44740,-100.0,-100.0,-100.0
44757,-100.0,-100.0,-100.0
44774,-100.0,-100.0,-100.0
44790,-100.0,-100.0,-100.0
47802,-100.0,-100.0,-100.0
47834,-100.0,-100.0,-100.0
47858,-100.0,-100.0,-100.0
47889,-100.0,-100.0,-100.0
48111,-100.0,-100.0,-100.0
48158,-100.0,-100.0,-100.0
48190,-100.0,-100.0,-100.0
48233,-100.0,-100.0,-100.0
48266,-100.0,-100.0,-100.0
48298,-100.0,-100.0,-100.0
49304,-100.0,-100.0,-100.0
49339,-100.0,-100.0,-100.0
49371,-100.0,-100.0,-100.0
49405,-100.0,-100.0,-100.0
49437,-100.0,-100.0,-100.0
49459,-100.0,-100.0,-100.0
49492,-100.0,-100.0,-100.0
49526,-100.0,-100.0,-100.0
49768,-100.0,-100.0,-100.0
49798,-100.0,-100.0,-100.0
49829,-100.0,-100.0,-100.0
49902,-100.0,-100.0,-100.0
49960,-100.0,-100.0,-100.0
50029,-100.0,-100.0,-100.0
50059,-100.0,-100.0,-100.0
50083,-100.0,-100.0,-100.0
50120,-100.0,-100.0,-100.0
50148,-100.0,-100.0,-100.0
50183,-100.0,-100.0,-100.0
50212,-100.0,-100.0,-100.0
