,AYZH634E8OS41,AZSSG2REHDX18,A1XY2JMPVJCF4
50235,-100.0,-100.0,-100.0
50266,-100.0,-100.0,-100.0
50300,-100.0,-100.0,-100.0
50331,-100.0,-100.0,-100.0
50365,-100.0,-100.0,-100.0
50398,-100.0,-100.0,-100.0
50420,-100.0,-100.0,-100.0
50452,-100.0,-100.0,-100.0
50487,-100.0,-100.0,-100.0
50520,-100.0,-100.0,-100.0
50552,-100.0,-100.0,-100.0
50574,-100.0,-100.0,-100.0
50974,-100.0,-100.0,-100.0
51034,-100.0,-100.0,-100.0
51065,-100.0,-100.0,-100.0
51099,-100.0,-100.0,-100.0
51131,-100.0,-100.0,-100.0
51164,-100.0,-100.0,-100.0
51197,-100.0,-100.0,-100.0
51219,-100.0,-100.0,-100.0
51474,-100.0,-100.0,-100.0
51508,-100.0,-100.0,-100.0
51528,-100.0,-100.0,-100.0
51561,-100.0,-100.0,-100.0
51593,-100.0,-100.0,-100.0
52207,-100.0,-100.0,-100.0
52241,-100.0,-100.0,-100.0
52270,-100.0,-100.0,-100.0
52304,-100.0,-100.0,-100.0
52325,-100.0,-100.0,-100.0
52359,-100.0,-100.0,-100.0
52576,-100.0,-100.0,-100.0
52610,-100.0,-100.0,-100.0
52632,-100.0,-100.0,-100.0
52663,-100.0,-100.0,-100.0
52694,-100.0,-100.0,-100.0
52728,-100.0,-100.0,-100.0
52762,-100.0,-100.0,-100.0
52820,-100.0,-100.0,-100.0
53205,-100.0,-100.0,-100.0
53241,-100.0,-100.0,-100.0
53271,-100.0,-100.0,-100.0
53295,-100.0,-100.0,-100.0
53324,-100.0,-100.0,-100.0
65530,-100.0,-100.0,-100.0
65548,-100.0,-100.0,-100.0
65563,-100.0,-100.0,-100.0
65580,-100.0,-100.0,-100.0
65596,-100.0,-100.0,-100.0
65613,-100.0,-100.0,-100.0
65630,-100.0,-100.0,-100.0
65647,-100.0,-100.0,-100.0
65663,-100.0,-100.0,-100.0
65680,-100.0,-100.0,-100.0
65697,-100.0,-100.0,-100.0
65700,-100.0,-100.0,-100.0
65714,-100.0,-100.0,-100.0
65732,-100.0,-100.0,-100.0
65735,-100.0,-100.0,-100.0
65753,-100.0,-100.0,-100.0
65756,-100.0,-100.0,-100.0
65785,-100.0,-100.0,-100.0
65787,-100.0,-100.0,-100.0
65819,-100.0,-100.0,-100.0
65822,-100.0,-100.0,-100.0
65852,-100.0,-100.0,-100.0
66698,-100.0,-100.0,-100.0
66715,-100.0,-100.0,-100.0
66731,-100.0,-100.0,-100.0
66748,-100.0,-100.0,-100.0
66764,-100.0,-100.0,-100.0
66781,-100.0,-100.0,-100.0
66798,-100.0,-100.0,-100.0
66815,-100.0,-100.0,-100.0
66831,-100.0,-100.0,-100.0
66848,-100.0,-100.0,-100.0
66865,-100.0,-100.0,-100.0
66881,-100.0,-100.0,-100.0
66899,-100.0,-100.0,-100.0
67999,-100.0,-100.0,-100.0
68017,-100.0,-100.0,-100.0
68566,-100.0,-100.0,-100.0
68598,-100.0,-100.0,-100.0
68601,-100.0,-100.0,-100.0
68620,-100.0,-100.0,-100.0
68624,-100.0,-100.0,-100.0
68687,-100.0,-100.0,-100.0
68690,-100.0,-100.0,-100.0
68721,-100.0,-100.0,-100.0
68725,-100.0,-100.0,-100.0
68754,-100.0,-100.0,-100.0
68833,-100.0,-100.0,-100.0
68851,-100.0,-100.0,-100.0
68867,-100.0,-100.0,-100.0
68883,-100.0,-100.0,-100.0
68900,-100.0,-100.0,-100.0
68917,-100.0,-100.0,-100.0
68934,-100.0,-100.0,-100.0
75090,-100.0,-100.0,-100.0
75108,-100.0,-100.0,-100.0
75124,-100.0,-100.0,-100.0
75140,-100.0,-100.0,-100.0
75157,-100.0,-100.0,-100.0
75174,-100.0,-100.0,-100.0
75190,-100.0,-100.0,-100.0
75208,-100.0,-100.0,-100.0
75224,-100.0,-100.0,-100.0
75241,-100.0,-100.0,-100.0
75257,-100.0,-100.0,-100.0
75274,-100.0,-100.0,-100.0
80968,-100.0,-100.0,-100.0
81042,-100.0,-100.0,-100.0
81046,-100.0,-100.0,-100.0
81071,-100.0,-100.0,-100.0
81074,-100.0,-100.0,-100.0
81094,-100.0,-100.0,-100.0
81097,-100.0,-100.0,-100.0
81126,-100.0,-100.0,-100.0
81129,-100.0,-100.0,-100.0
81164,-100.0,-100.0,-100.0
82098,-100.0,-100.0,-100.0
82116,-100.0,-100.0,-100.0
82131,-100.0,-100.0,-100.0
82148,-100.0,-100.0,-100.0
82165,-100.0,-100.0,-100.0
82181,-100.0,-100.0,-100.0
82198,-100.0,-100.0,-100.0
82215,-100.0,-100.0,-100.0
82231,-100.0,-100.0,-100.0
82248,-100.0,-100.0,-100.0
90240,-100.0,-100.0,-100.0
90258,-100.0,-100.0,-100.0
90274,-100.0,-100.0,-100.0
90290,-100.0,-100.0,-100.0
90307,-100.0,-100.0,-100.0
90323,-100.0,-100.0,-100.0
90340,-100.0,-100.0,-100.0
90357,-100.0,-100.0,-100.0
90374,-100.0,-100.0,-100.0
90390,-100.0,-100.0,-100.0
90407,-100.0,-100.0,-100.0
90424,-100.0,-100.0,-100.0
90440,-100.0,-100.0,-100.0
90457,-100.0,-100.0,-100.0
90474,-100.0,-100.0,-100.0
90490,-100.0,-100.0,-100.0
90507,-100.0,-100.0,-100.0
90524,-100.0,-100.0,-100.0
90540,-100.0,-100.0,-100.0
92135,-100.0,-100.0,-100.0
92200,-100.0,-100.0,-100.0
92203,-100.0,-100.0,-100.0
92230,-100.0,-100.0,-100.0
93316,-100.0,-100.0,-100.0
93348,-100.0,-100.0,-100.0
93350,-100.0,-100.0,-100.0
93380,-100.0,-100.0,-100.0
93384,-100.0,-100.0,-100.0
93412,-100.0,-100.0,-100.0
93416,-100.0,-100.0,-100.0
93435,-100.0,-100.0,-100.0
93587,-100.0,-100.0,-100.0
93621,-100.0,-100.0,-100.0
93625,-100.0,-100.0,-100.0
93652,-100.0,-100.0,-100.0
93657,-100.0,-100.0,-100.0
93686,-100.0,-100.0,-100.0
95412,-100.0,-100.0,-100.0
95430,-100.0,-100.0,-100.0
95446,-100.0,-100.0,-100.0
95462,-100.0,-100.0,-100.0
95479,-100.0,-100.0,-100.0
95496,-100.0,-100.0,-100.0
95513,-100.0,-100.0,-100.0
95529,-100.0,-100.0,-100.0
95546,-100.0,-100.0,-100.0
95563,-100.0,-100.0,-100.0
95579,-100.0,-100.0,-100.0
95596,-100.0,-100.0,-100.0
96995,-100.0,-100.0,-100.0
97008,-100.0,-99.0,-100.0
97016,-100.0,-99.0,-100.0
97023,-100.0,-98.0,-100.0
97026,-100.0,-98.0,-100.0
97048,-100.0,-97.0,-100.0
97052,-100.0,-97.0,-100.0
97066,-100.0,-95.0,-100.0
97070,-100.0,-95.0,-100.0
97080,-100.0,-94.0,-100.0
97084,-100.0,-94.0,-100.0
97094,-100.0,-93.0,-100.0
103054,-100.0,-93.0,-100.0
103072,-100.0,-93.0,-100.0
103088,-100.0,-93.0,-100.0
103104,-100.0,-93.0,-100.0
103121,-100.0,-93.0,-100.0
103138,-100.0,-93.0,-100.0
103154,-100.0,-93.0,-100.0
103171,-100.0,-93.0,-100.0
103188,-100.0,-93.0,-100.0
105867,-100.0,-93.0,-100.0
105919,-100.0,-93.0,-100.0
106076,-100.0,-93.0,-100.0
106128,-100.0,-93.0,-100.0
106163,-100.0,-93.0,-100.0
106842,-100.0,-93.0,-100.0
106912,-100.0,-93.0,-100.0
107104,-100.0,-93.0,-100.0
107138,-100.0,-93.0,-100.0
107278,-100.0,-93.0,-100.0
107313,-100.0,-93.0,-100.0
107400,-100.0,-93.0,-100.0
107434,-100.0,-93.0,-100.0
107522,-100.0,-93.0,-100.0
107574,-100.0,-93.0,-100.0
107609,-100.0,-93.0,-100.0
109361,-100.0,-93.0,-100.0
109379,-100.0,-93.0,-100.0
109394,-100.0,-93.0,-100.0
109411,-100.0,-93.0,-100.0
109428,-100.0,-93.0,-100.0
109444,-100.0,-93.0,-100.0
109461,-100.0,-93.0,-100.0
109478,-100.0,-93.0,-100.0
109494,-100.0,-93.0,-100.0
109512,-100.0,-93.0,-100.0
114331,-100.0,-93.0,-100.0
114364,-100.0,-93.0,-100.0
114367,-100.0,-93.0,-100.0
114384,-100.0,-93.0,-100.0
114389,-100.0,-93.0,-100.0
114417,-100.0,-93.0,-100.0
114419,-100.0,-93.0,-100.0
114450,-100.0,-93.0,-100.0
114453,-100.0,-93.0,-100.0
114482,-100.0,-93.0,-100.0
114487,-100.0,-93.0,-100.0
114539,-100.0,-93.0,-100.0
115199,-100.0,-93.0,-100.0
115231,-100.0,-93.0,-100.0
115234,-100.0,-93.0,-100.0
115263,-100.0,-93.0,-100.0
115266,-100.0,-93.0,-100.0
115296,-100.0,-93.0,-100.0
115299,-100.0,-93.0,-100.0
115328,-100.0,-93.0,-100.0
117370,-100.0,-93.0,-100.0
117387,-100.0,-93.0,-100.0
117403,-100.0,-93.0,-100.0
117420,-100.0,-93.0,-100.0
117437,-100.0,-93.0,-100.0
117453,-100.0,-93.0,-100.0
117470,-100.0,-93.0,-100.0
117487,-100.0,-93.0,-100.0
117503,-100.0,-93.0,-100.0
117520,-100.0,-93.0,-100.0
118188,-100.0,-93.0,-100.0
118205,-100.0,-93.0,-100.0
118221,-100.0,-93.0,-100.0
118237,-100.0,-93.0,-100.0
118254,-100.0,-93.0,-100.0
118271,-100.0,-93.0,-100.0
118287,-100.0,-93.0,-100.0
118304,-100.0,-93.0,-100.0
118321,-100.0,-93.0,-100.0
118338,-100.0,-93.0,-100.0
127231,-100.0,-93.0,-100.0
127248,-100.0,-93.0,-100.0
127264,-100.0,-93.0,-100.0
127281,-100.0,-93.0,-100.0
127297,-100.0,-93.0,-100.0
127314,-100.0,-93.0,-100.0
127331,-100.0,-93.0,-100.0
127348,-100.0,-93.0,-100.0
127364,-100.0,-93.0,-100.0
127381,-100.0,-93.0,-100.0
127398,-100.0,-93.0,-100.0
130951,-100.0,-93.0,-100.0
130969,-100.0,-93.0,-100.0
130985,-100.0,-93.0,-100.0
131001,-100.0,-93.0,-100.0
131018,-100.0,-93.0,-100.0
131035,-100.0,-93.0,-100.0
131051,-100.0,-93.0,-100.0
131068,-100.0,-93.0,-100.0
131085,-100.0,-93.0,-100.0
131102,-100.0,-93.0,-100.0
131118,-100.0,-93.0,-100.0
131135,-100.0,-93.0,-100.0
131152,-100.0,-93.0,-100.0
131169,-100.0,-93.0,-100.0
132536,-100.0,-93.0,-100.0
132554,-100.0,-93.0,-100.0
132570,-100.0,-93.0,-100.0
132586,-100.0,-93.0,-100.0
132603,-100.0,-93.0,-100.0
132620,-100.0,-93.0,-100.0
132636,-100.0,-93.0,-100.0
132653,-100.0,-93.0,-100.0
132670,-100.0,-93.0,-100.0
132686,-100.0,-93.0,-100.0
132703,-100.0,-93.0,-100.0
132720,-100.0,-93.0,-100.0
132737,-100.0,-93.0,-100.0
134472,-100.0,-93.0,-100.0
134489,-100.0,-93.0,-100.0
134505,-100.0,-93.0,-100.0
134522,-100.0,-93.0,-100.0
134538,-100.0,-93.0,-100.0
134555,-100.0,-93.0,-100.0
134572,-100.0,-93.0,-100.0
134589,-100.0,-93.0,-100.0
134605,-100.0,-93.0,-100.0
134622,-100.0,-93.0,-100.0
134639,-100.0,-93.0,-100.0
134655,-100.0,-93.0,-100.0
134673,-100.0,-93.0,-100.0
134811,-100.0,-93.0,-100.0
134863,-100.0,-93.0,-100.0
134898,-100.0,-93.0,-100.0
134950,-100.0,-93.0,-100.0
135002,-100.0,-93.0,-100.0
135089,-100.0,-93.0,-100.0
135107,-100.0,-93.0,-100.0
135123,-100.0,-93.0,-100.0
135139,-100.0,-93.0,-100.0
135142,-100.0,-93.0,-100.0
135156,-100.0,-93.0,-100.0
135173,-100.0,-93.0,-100.0
135189,-100.0,-93.0,-100.0
135206,-100.0,-93.0,-100.0
135211,-100.0,-93.0,-100.0
135223,-100.0,-93.0,-100.0
135239,-100.0,-93.0,-100.0
135246,-100.0,-93.0,-100.0
135256,-100.0,-93.0,-100.0
135298,-100.0,-93.0,-100.0
135368,-100.0,-93.0,-100.0
135420,-100.0,-93.0,-100.0
135455,-100.0,-93.0,-100.0
135507,-100.0,-93.0,-100.0
135542,-100.0,-93.0,-100.0
135594,-100.0,-93.0,-100.0
135647,-100.0,-93.0,-100.0
135648,-100.0,-93.0,-100.0
136773,-100.0,-93.0,-100.0
136790,-100.0,-93.0,-100.0
136806,-100.0,-93.0,-100.0
136823,-100.0,-93.0,-100.0
136840,-100.0,-93.0,-100.0
136856,-100.0,-93.0,-100.0
136873,-100.0,-93.0,-100.0
136890,-100.0,-93.0,-100.0
136906,-100.0,-93.0,-100.0
136923,-100.0,-93.0,-100.0
136973,-100.0,-93.0,-100.0
136990,-100.0,-93.0,-100.0
137006,-100.0,-93.0,-100.0
137023,-100.0,-93.0,-100.0
137040,-100.0,-93.0,-100.0
137056,-100.0,-93.0,-100.0
137073,-100.0,-93.0,-100.0
137090,-100.0,-93.0,-100.0
137106,-100.0,-93.0,-100.0
137123,-100.0,-93.0,-100.0
140261,-100.0,-93.0,-100.0
140293,-100.0,-93.0,-100.0
140297,-100.0,-93.0,-100.0
140315,-100.0,-93.0,-100.0
140319,-100.0,-93.0,-100.0
140344,-100.0,-93.0,-100.0
140348,-100.0,-93.0,-100.0
140378,-100.0,-93.0,-100.0
140410,-100.0,-93.0,-100.0
140427,-100.0,-93.0,-100.0
140443,-100.0,-93.0,-100.0
140461,-100.0,-93.0,-100.0
140470,-100.0,-93.0,-100.0
140477,-100.0,-93.0,-100.0
140494,-100.0,-93.0,-100.0
140502,-100.0,-93.0,-100.0
140505,-100.0,-93.0,-100.0
140511,-100.0,-93.0,-100.0
140527,-100.0,-93.0,-100.0
140536,-100.0,-93.0,-100.0
140540,-100.0,-93.0,-100.0
140544,-100.0,-93.0,-100.0
140571,-100.0,-93.0,-100.0
140644,-100.0,-93.0,-100.0
140661,-100.0,-93.0,-100.0
140677,-100.0,-93.0,-100.0
140694,-100.0,-93.0,-100.0
140710,-100.0,-93.0,-100.0
140727,-100.0,-93.0,-100.0
140744,-100.0,-93.0,-100.0
140760,-100.0,-93.0,-100.0
140778,-100.0,-93.0,-100.0
142247,-100.0,-93.0,-100.0
142265,-100.0,-93.0,-100.0
142280,-100.0,-93.0,-100.0
142297,-100.0,-93.0,-100.0
142314,-100.0,-93.0,-100.0
142330,-100.0,-93.0,-100.0
142347,-100.0,-93.0,-100.0
142364,-100.0,-93.0,-100.0
142830,-100.0,-93.0,-100.0
142848,-100.0,-93.0,-100.0
