,AHLS6AZ1VTNH7,A3UTSRN8QLKWE,A21V0SPZ59EEA
11762,-66.0,-100.0,
11779,-66.0,-100.0,
11795,-66.0,-100.0,
11812,-66.0,-100.0,
11829,-66.0,-100.0,
11846,-66.0,-100.0,
11863,-66.0,-100.0,
11881,-66.0,-100.0,
11896,-66.0,-100.0,
11912,-66.0,-100.0,
11929,-66.0,-100.0,
11945,-66.0,-100.0,
11962,-66.0,-100.0,
11987,-66.0,-100.0,
11997,-66.0,-100.0,
12012,-66.0,-100.0,
12030,-66.0,-100.0,
12046,-66.0,-100.0,
12062,-66.0,-100.0,
12079,-66.0,-100.0,
12097,-66.0,-100.0,
12112,-66.0,-100.0,
12129,-66.0,-100.0,
12146,-66.0,-100.0,
12163,-66.0,-100.0,
12179,-66.0,-100.0,
12195,-66.0,-100.0,
12214,-66.0,-100.0,
12231,-66.0,-100.0,
12245,-66.0,-100.0,
12262,-66.0,-100.0,
12279,-66.0,-100.0,
12296,-66.0,-100.0,
12312,-66.0,-100.0,
12329,-66.0,-100.0,
12345,-66.0,-100.0,
12362,-66.0,-100.0,
12379,-66.0,-100.0,
12396,-66.0,-100.0,
12412,-66.0,-100.0,
12429,-66.0,-100.0,
12447,-66.0,-100.0,
12462,-66.0,-100.0,
12479,-66.0,-100.0,
12496,-66.0,-100.0,
12512,-66.0,-100.0,
12530,-66.0,-100.0,
12550,-66.0,-100.0,
12564,-66.0,-100.0,
12579,-66.0,-100.0,
12595,-66.0,-100.0,
12612,-66.0,-100.0,
12629,-66.0,-100.0,
12646,-66.0,-100.0,
12662,-66.0,-100.0,
12679,-66.0,-100.0,
12695,-66.0,-100.0,
12712,-66.0,-100.0,
12729,-66.0,-100.0,
12745,-66.0,-100.0,
12762,-66.0,-100.0,
12780,-66.0,-100.0,
12797,-66.0,-100.0,
12812,-66.0,-100.0,
12829,-66.0,-100.0,
12846,-66.0,-100.0,
12863,-66.0,-100.0,
12879,-66.0,-100.0,
12895,-66.0,-100.0,
12912,-66.0,-100.0,
12929,-66.0,-100.0,
12945,-66.0,-100.0,
12962,-66.0,-100.0,
12982,-66.0,-100.0,
12995,-66.0,-100.0,
13012,-66.0,-100.0,
13030,-66.0,-100.0,
13045,-66.0,-100.0,
13062,-66.0,-100.0,
13079,-66.0,-100.0,
13096,-66.0,-100.0,
13114,-66.0,-100.0,
13129,-66.0,-100.0,
13146,-66.0,-100.0,
13163,-66.0,-100.0,
13181,-66.0,-100.0,
13196,-66.0,-100.0,
13212,-66.0,-100.0,
13229,-66.0,-100.0,
13262,-66.0,-100.0,
13281,-66.0,-100.0,
13300,-66.0,-100.0,
13312,-66.0,-100.0,
13330,-66.0,-100.0,
13346,-66.0,-100.0,
13362,-66.0,-100.0,
13379,-66.0,-100.0,
13400,-66.0,-100.0,
13413,-66.0,-100.0,
13429,-66.0,-100.0,
13445,-66.0,-100.0,
13463,-66.0,-100.0,
13479,-66.0,-100.0,
13496,-66.0,-100.0,
13512,-66.0,-100.0,
13529,-66.0,-100.0,
13547,-66.0,-100.0,
13562,-66.0,-100.0,
13579,-66.0,-100.0,
13612,-66.0,-100.0,
13629,-66.0,-100.0,
13648,-66.0,-100.0,
13679,-66.0,-100.0,
13698,-66.0,-100.0,
13729,-66.0,-100.0,
13745,-66.0,-100.0,
13762,-66.0,-100.0,
13781,-66.0,-100.0,
13813,-66.0,-100.0,
13829,-66.0,-100.0,
13846,-66.0,-100.0,
13865,-66.0,-100.0,
13879,-66.0,-100.0,
13897,-66.0,-100.0,
13913,-66.0,-100.0,
13930,-66.0,-100.0,
21848,-66.0,-100.0,
21874,-68.0,-100.0,
21899,-69.0,-100.0,
21924,-71.0,-100.0,
21948,-73.0,-100.0,
21974,-74.0,-100.0,
21998,-76.0,-100.0,
22024,-78.0,-100.0,
22049,-80.0,-100.0,
22074,-81.0,-100.0,
22099,-83.0,-100.0,
22124,-85.0,-100.0,
22149,-86.0,-100.0,
22175,-88.0,-100.0,
22199,-90.0,-100.0,
