,AOEGJLWFISOZQ,AJE5OG666CBAC,ACOUEGRDJO7B6,A2LV5432PV1S3
183561,-100.0,,-100.0,-100.0
183574,-100.0,,-100.0,-100.0
183576,-100.0,,-100.0,-100.0
183588,-100.0,,-100.0,-100.0
183591,-100.0,,-100.0,-100.0
183605,-100.0,,-100.0,-100.0
183620,-100.0,,-100.0,-100.0
183624,-100.0,,-100.0,-100.0
183640,-100.0,,-100.0,-100.0
183653,-100.0,,-100.0,-100.0
183670,-100.0,,-100.0,-100.0
183689,-100.0,,-100.0,-100.0
183714,-100.0,,-100.0,-100.0
183757,-100.0,,-100.0,-100.0
183775,-100.0,,-100.0,-100.0
183813,-100.0,,-100.0,-100.0
183830,-100.0,,-100.0,-100.0
183858,-100.0,,-100.0,-100.0
183868,-100.0,,-100.0,-100.0
183898,-100.0,,-100.0,-100.0
183908,-100.0,,-100.0,-100.0
183941,-100.0,,-100.0,-100.0
183950,-100.0,,-100.0,-100.0
183982,-100.0,,-100.0,-100.0
183988,-100.0,,-100.0,-100.0
184000,-100.0,,-100.0,-100.0
184031,-100.0,,-100.0,-100.0
184042,-100.0,,-100.0,-100.0
184071,-100.0,,-100.0,-100.0
184082,-100.0,,-100.0,-100.0
184092,-100.0,,-100.0,-100.0
184099,-100.0,,-100.0,-100.0
184100,-100.0,,-100.0,-100.0
184114,-100.0,,-100.0,-100.0
184129,-100.0,,-100.0,-100.0
184147,-100.0,,-100.0,-100.0
184191,-100.0,,-100.0,-100.0
184204,-100.0,,-100.0,-100.0
184229,-100.0,,-100.0,-100.0
184232,-100.0,,-100.0,-100.0
184242,-100.0,,-100.0,-100.0
184251,-100.0,,-99.5,-100.0
184259,-100.0,,-99.0,-100.0
184260,-100.0,,-99.0,-100.0
184268,-100.0,,-98.5,-100.0
184275,-100.0,,-98.0,-100.0
184276,-100.0,,-98.0,-100.0
184277,-100.0,,-97.5,-100.0
184292,-100.0,,-97.0,-100.0
184294,-100.0,,-97.0,-100.0
184300,-100.0,,-96.66666666666667,-100.0
184302,-100.0,,-96.33333333333333,-100.0
184308,-100.0,,-96.0,-100.0
184310,-100.0,,-96.0,-100.0
184311,-100.0,,-95.66666666666667,-100.0
184317,-100.0,,-95.33333333333333,-100.0
184325,-100.0,,-95.0,-100.0
184327,-100.0,,-95.0,-100.0
184331,-100.0,,-94.5,-100.0
184342,-100.0,,-94.0,-100.0
184344,-100.0,,-94.0,-100.0
184356,-100.0,,-93.5,-100.0
184359,-100.0,,-93.0,-100.0
184360,-100.0,,-93.0,-100.0
184364,-100.0,,-92.0,-100.0
184375,-100.0,,-91.0,-100.0
184390,-100.0,,-91.0,-100.0
184415,-100.0,,-91.0,-100.0
184437,-100.0,,-91.0,-100.0
184453,-100.0,,-91.0,-100.0
184475,-100.0,,-91.0,-100.0
184489,-100.0,,-91.0,-100.0
184498,-100.0,,-91.0,-100.0
184517,-100.0,,-91.0,-100.0
184531,-100.0,,-91.0,-100.0
184548,-100.0,,-91.0,-100.0
184555,-100.0,,-91.0,-100.0
184564,-100.0,,-91.0,-100.0
184565,-100.0,,-91.0,-100.0
184582,-100.0,,-91.0,-100.0
184595,-100.0,,-91.0,-100.0
184608,-100.0,,-91.0,-100.0
184630,-100.0,,-91.0,-100.0
184649,-100.0,,-91.0,-100.0
184670,-100.0,,-91.0,-100.0
184685,-100.0,,-91.0,-100.0
184729,-100.0,,-91.0,-100.0
184739,-100.0,,-91.0,-100.0
184744,-100.0,,-91.0,-100.0
184750,-100.0,,-91.0,-100.0
184761,-100.0,,-91.0,-100.0
184768,-100.0,,-91.0,-100.0
184777,-100.0,,-91.0,-100.0
184784,-100.0,,-91.0,-100.0
184788,-100.0,,-91.0,-100.0
184795,-100.0,,-91.0,-100.0
184803,-100.0,,-91.0,-100.0
184816,-100.0,,-91.0,-100.0
184820,-100.0,,-91.0,-100.0
184831,-100.0,,-91.0,-100.0
184838,-100.0,,-91.0,-100.0
184871,-100.0,,-91.0,-100.0
184886,-100.0,,-91.0,-100.0
184935,-100.0,,-91.0,-100.0
184956,-100.0,,-91.0,-100.0
184999,-100.0,,-91.0,-100.0
185018,-100.0,,-91.0,-100.0
185036,-100.0,,-91.0,-100.0
185045,-100.0,,-91.0,-100.0
185050,-100.0,,-91.0,-100.0
185056,-100.0,,-91.0,-100.0
185066,-100.0,,-91.0,-100.0
185081,-100.0,,-91.0,-100.0
185084,-100.0,,-91.0,-100.0
185094,-100.0,,-91.0,-100.0
185119,-100.0,,-91.0,-100.0
185129,-100.0,,-91.0,-100.0
185151,-100.0,,-91.0,-100.0
185160,-100.0,,-91.0,-100.0
185166,-100.0,,-91.0,-100.0
185179,-100.0,,-91.0,-100.0
185206,-100.0,,-91.0,-100.0
185216,-100.0,,-91.0,-100.0
185239,-100.0,,-91.0,-100.0
185251,-100.0,,-91.0,-100.0
185266,-100.0,,-91.0,-100.0
185276,-100.0,,-91.0,-100.0
185285,-100.0,,-91.0,-100.0
185298,-100.0,,-91.0,-100.0
185302,-100.0,,-91.0,-100.0
185317,-100.0,,-91.0,-100.0
185318,-100.0,,-91.0,-100.0
185327,-100.0,,-91.0,-100.0
185333,-100.0,,-91.0,-100.0
185336,-100.0,,-91.0,-100.0
185345,-100.0,,-91.0,-100.0
185349,-100.0,,-91.0,-100.0
185361,-100.0,,-91.0,-100.0
185365,-100.0,,-91.0,-100.0
185377,-100.0,,-91.0,-100.0
185382,-100.0,,-91.0,-100.0
185396,-100.0,,-91.0,-100.0
185402,-100.0,,-91.0,-100.0
185413,-100.0,,-91.0,-100.0
185417,-100.0,,-91.0,-100.0
185431,-100.0,,-91.0,-100.0
185448,-100.0,,-91.0,-100.0
185459,-100.0,,-91.0,-100.0
185464,-100.0,,-91.0,-100.0
185477,-100.0,,-91.0,-100.0
185482,-100.0,,-91.0,-100.0
185494,-100.0,,-91.0,-100.0
185498,-100.0,,-91.0,-100.0
185514,-100.0,,-91.0,-100.0
185519,-100.0,,-91.0,-100.0
185537,-100.0,,-91.0,-100.0
185549,-100.0,,-91.0,-100.0
185556,-100.0,,-91.0,-100.0
185564,-100.0,,-91.0,-100.0
185569,-100.0,,-91.0,-100.0
185580,-100.0,,-91.0,-100.0
185586,-100.0,,-91.0,-100.0
185593,-100.0,,-91.0,-100.0
185598,-100.0,,-91.0,-100.0
185599,-100.0,,-91.0,-100.0
185610,-100.0,,-91.0,-100.0
185615,-100.0,,-91.0,-100.0
185616,-100.0,,-91.0,-100.0
185627,-100.0,,-91.0,-100.0
185630,-100.0,,-91.0,-100.0
185632,-100.0,,-91.0,-100.0
185643,-100.0,,-91.0,-100.0
185648,-100.0,,-91.0,-100.0
185651,-100.0,,-91.0,-100.0
185659,-100.0,,-91.0,-100.0
185664,-100.0,,-91.0,-100.0
185677,-100.0,,-91.0,-100.0
185681,-100.0,,-91.0,-100.0
185693,-100.0,,-91.0,-100.0
185697,-100.0,,-91.0,-100.0
185710,-100.0,,-91.0,-100.0
185715,-100.0,,-91.0,-100.0
185727,-100.0,,-91.0,-100.0
185732,-100.0,,-91.0,-100.0
185744,-100.0,,-91.0,-100.0
185748,-100.0,,-91.0,-100.0
185761,-100.0,,-91.0,-100.0
185767,-100.0,,-91.0,-100.0
185778,-100.0,,-91.0,-100.0
185782,-100.0,,-91.0,-100.0
185794,-100.0,,-91.0,-100.0
185798,-100.0,,-91.0,-100.0
185810,-100.0,,-91.0,-100.0
185815,-100.0,,-91.0,-100.0
185827,-100.0,,-91.0,-100.0
185831,-100.0,,-91.0,-100.0
185844,-100.0,,-91.0,-100.0
185849,-100.0,,-91.0,-100.0
185850,-100.0,,-91.0,-100.0
185860,-100.0,,-91.0,-100.0
185865,-100.0,,-91.0,-100.0
185869,-100.0,,-91.0,-100.0
185877,-100.0,,-91.0,-100.0
185883,-100.0,,-91.0,-100.0
185889,-100.0,,-91.0,-100.0
185895,-100.0,,-91.0,-100.0
185900,-100.0,,-91.0,-100.0
185902,-100.0,,-91.0,-100.0
185914,-100.0,,-91.0,-100.0
185917,-100.0,,-91.0,-100.0
185928,-100.0,,-91.0,-100.0
185953,-100.0,,-91.0,-100.0
185982,-100.0,,-91.0,-100.0
185984,-100.0,,-91.0,-100.0
185996,-100.0,,-91.0,-100.0
186000,-100.0,,-91.0,-100.0
186010,-100.0,,-91.0,-100.0
186018,-100.0,,-91.0,-100.0
186027,-100.0,,-91.0,-100.0
186032,-100.0,,-91.0,-100.0
186043,-100.0,,-91.0,-100.0
186048,-100.0,,-91.0,-100.0
186059,-100.0,,-91.0,-100.0
186064,-100.0,,-91.0,-100.0
186075,-100.0,,-91.0,-100.0
186082,-100.0,,-91.0,-100.0
186095,-100.0,,-91.0,-100.0
186101,-100.0,,-91.0,-100.0
186114,-100.0,,-91.0,-100.0
186120,-100.0,,-91.0,-100.0
186127,-100.0,,-91.0,-100.0
186134,-100.0,,-91.0,-100.0
186138,-100.0,,-91.0,-100.0
186143,-100.0,,-91.0,-100.0
186149,-100.0,,-91.0,-100.0
186153,-100.0,,-91.0,-100.0
186160,-100.0,,-91.0,-100.0
186168,-100.0,,-91.0,-100.0
186183,-100.0,,-91.0,-100.0
186184,-100.0,,-91.0,-100.0
186195,-100.0,,-91.0,-100.0
186199,-100.0,,-91.0,-100.0
186213,-100.0,,-91.0,-100.0
186234,-100.0,,-91.0,-100.0
186243,-100.0,,-91.0,-100.0
186248,-100.0,,-91.0,-100.0
186260,-100.0,,-91.0,-100.0
186266,-100.0,,-91.0,-100.0
186276,-100.0,,-91.0,-100.0
186283,-100.0,,-91.0,-100.0
186296,-100.0,,-91.0,-100.0
186332,-100.0,,-91.0,-100.0
186346,-100.0,,-91.0,-100.0
186351,-100.0,,-91.0,-100.0
186364,-100.0,,-91.0,-100.0
186370,-100.0,,-91.0,-100.0
186384,-100.0,,-91.0,-100.0
186401,-100.0,,-91.0,-100.0
186436,-100.0,,-91.0,-100.0
186447,-100.0,,-91.0,-100.0
186470,-100.0,,-91.0,-100.0
186481,-100.0,,-91.0,-100.0
186497,-100.0,,-91.0,-100.0
186513,-100.0,,-91.0,-100.0
186533,-100.0,,-91.0,-100.0
186534,-100.0,,-91.0,-100.0
186542,-100.0,,-91.0,-100.0
186548,-100.0,,-91.0,-100.0
186552,-100.0,,-91.0,-100.0
186559,-100.0,,-91.0,-100.0
186563,-100.0,,-91.0,-100.0
186571,-100.0,,-91.0,-100.0
186575,-100.0,,-91.0,-100.0
186579,-100.0,,-91.0,-100.0
186583,-100.0,,-91.0,-100.0
186591,-100.0,,-91.0,-100.0
186595,-100.0,,-91.0,-100.0
186604,-100.0,,-91.0,-100.0
186611,-100.0,,-91.0,-100.0
186614,-100.0,,-91.0,-100.0
186623,-100.0,,-91.0,-100.0
186626,-100.0,,-91.0,-100.0
186630,-100.0,,-91.0,-100.0
186643,-100.0,,-91.0,-100.0
186646,-100.0,,-91.0,-100.0
186658,-100.0,,-91.0,-100.0
186663,-100.0,,-91.0,-100.0
186675,-100.0,,-91.0,-100.0
186678,-100.0,,-91.0,-100.0
186691,-100.0,,-91.0,-100.0
186694,-100.0,,-91.0,-100.0
186714,-100.0,,-91.0,-100.0
186732,-100.0,,-91.0,-100.0
186742,-100.0,,-91.0,-100.0
186746,-100.0,,-91.0,-100.0
186759,-100.0,,-91.0,-100.0
186761,-100.0,,-91.0,-100.0
186766,-100.0,,-91.0,-100.0
186775,-100.0,,-91.0,-100.0
186778,-100.0,,-91.0,-100.0
186787,-100.0,,-91.0,-100.0
186791,-100.0,,-91.0,-100.0
186795,-100.0,,-91.0,-100.0
186806,-100.0,,-91.0,-100.0
186810,-100.0,,-91.0,-100.0
186814,-100.0,,-91.0,-100.0
186818,-100.0,,-91.0,-100.0
186826,-100.0,,-91.0,-100.0
186832,-100.0,,-91.0,-100.0
186837,-100.0,,-91.0,-100.0
186843,-100.0,,-91.0,-100.0
186846,-100.0,,-91.0,-100.0
186858,-100.0,,-91.0,-100.0
186861,-100.0,,-91.0,-100.0
186875,-100.0,,-91.0,-100.0
186879,-100.0,,-91.0,-100.0
186891,-100.0,,-91.0,-100.0
186896,-100.0,,-91.0,-100.0
186911,-100.0,,-91.0,-100.0
186930,-100.0,,-91.0,-100.0
186943,-100.0,,-91.0,-100.0
186947,-100.0,,-91.0,-100.0
186959,-100.0,,-91.0,-100.0
186964,-100.0,,-91.0,-100.0
186975,-100.0,,-91.0,-100.0
186979,-100.0,,-91.0,-100.0
186994,-100.0,,-91.0,-100.0
187016,-100.0,,-91.0,-100.0
187032,-100.0,,-91.0,-100.0
187036,-100.0,,-91.0,-100.0
187041,-100.0,,-91.0,-100.0
187060,-100.0,,-91.0,-100.0
187066,-100.0,,-91.0,-100.0
187070,-100.0,,-91.0,-100.0
187089,-100.0,,-91.0,-100.0
187105,-100.0,,-91.0,-100.0
187462,-100.0,,-91.0,-100.0
187479,-100.0,,-91.0,-100.0
187505,-100.0,,-91.0,-100.0
187516,-100.0,,-91.0,-100.0
187545,-100.0,,-91.0,-100.0
187561,-100.0,,-91.0,-100.0
187609,-100.0,,-91.0,-100.0
187643,-100.0,,-91.0,-100.0
188149,-100.0,,-91.0,-100.0
188184,-100.0,,-91.0,-100.0
188217,-100.0,,-91.0,-100.0
188250,-100.0,,-91.0,-100.0
188266,-100.0,,-91.0,-100.0
188355,-100.0,,-91.0,-100.0
188376,-100.0,,-91.0,-100.0
188411,-100.0,,-91.0,-100.0
188424,-100.0,,-91.0,-100.0
188449,-100.0,,-91.0,-100.0
188467,-100.0,,-91.0,-100.0
188498,-100.0,,-91.0,-100.0
188514,-100.0,,-91.0,-100.0
188533,-100.0,,-91.0,-100.0
188548,-100.0,,-91.0,-100.0
188550,-100.0,,-91.0,-100.0
188565,-100.0,,-91.0,-100.0
188569,-100.0,,-91.0,-100.0
188577,-100.0,,-91.0,-100.0
188601,-100.0,,-91.0,-100.0
189608,-100.0,,-91.0,-100.0
189624,-100.0,,-91.0,-100.0
189626,-100.0,,-91.0,-100.0
189655,-100.0,,-91.0,-100.0
189656,-100.0,,-91.0,-100.0
189670,-100.0,,-91.0,-100.0
189671,-100.0,,-91.0,-100.0
189684,-100.0,,-91.0,-100.0
191449,-100.0,,-91.0,-100.0
191466,-100.0,,-91.0,-100.0
191499,-100.0,,-91.0,-100.0
191532,-100.0,,-91.0,-100.0
191547,-100.0,,-91.0,-100.0
191565,-100.0,,-91.0,-100.0
191583,-100.0,,-91.0,-100.0
191617,-100.0,,-91.0,-100.0
191649,-100.0,,-91.0,-100.0
191833,-100.0,,-91.0,-100.0
191851,-100.0,,-91.0,-100.0
191881,-100.0,,-91.0,-100.0
191900,-100.0,,-91.0,-100.0
191915,-100.0,,-91.0,-100.0
191932,-100.0,,-91.0,-100.0
191948,-100.0,,-91.0,-100.0
191965,-100.0,,-91.0,-100.0
191982,-100.0,,-91.0,-100.0
192015,-100.0,,-91.0,-100.0
192033,-100.0,,-91.0,-100.0
192065,-100.0,,-91.0,-100.0
192082,-100.0,,-91.0,-100.0
192115,-100.0,,-91.0,-100.0
192130,-100.0,,-91.0,-100.0
192147,-100.0,,-91.0,-100.0
192167,-100.0,,-91.0,-100.0
192199,-100.0,,-91.0,-100.0
192232,-100.0,,-91.0,-100.0
192248,-100.0,,-91.0,-100.0
192282,-100.0,,-91.0,-100.0
192714,-100.0,,-91.0,-100.0
192733,-100.0,,-91.0,-100.0
192751,-100.0,,-91.0,-100.0
192764,-100.0,,-91.0,-100.0
192799,-100.0,,-91.0,-100.0
192817,-100.0,,-91.0,-100.0
192848,-100.0,,-91.0,-100.0
192883,-100.0,,-91.0,-100.0
192915,-100.0,,-91.0,-100.0
192935,-100.0,,-91.0,-100.0
192949,-100.0,,-91.0,-100.0
192965,-100.0,,-91.0,-100.0
192983,-100.0,,-91.0,-100.0
193000,-100.0,,-91.0,-100.0
193272,-100.0,,-91.0,-100.0
193298,-100.0,,-91.0,-100.0
193347,-100.0,,-91.0,-100.0
193356,-100.0,,-91.0,-100.0
193375,-100.0,,-91.0,-100.0
193384,-100.0,,-91.0,-100.0
193390,-100.0,,-91.0,-100.0
193403,-100.0,,-91.0,-100.0
193409,-100.0,,-91.0,-100.0
193422,-100.0,,-91.0,-100.0
193444,-100.0,,-91.0,-100.0
193454,-100.0,,-91.0,-100.0
193482,-100.0,,-91.0,-100.0
193497,-100.0,,-91.0,-100.0
193539,-100.0,,-91.0,-100.0
193561,-100.0,,-91.0,-100.0
193596,-100.0,,-91.0,-100.0
193609,-100.0,,-91.0,-100.0
193632,-100.0,,-91.0,-100.0
193641,-100.0,,-91.0,-100.0
193646,-100.0,,-91.0,-100.0
193649,-100.0,,-91.0,-100.0
193659,-100.0,,-91.0,-100.0
193669,-100.0,,-91.0,-100.0
193681,-100.0,,-91.0,-100.0
193685,-100.0,,-91.0,-100.0
193689,-100.0,,-91.0,-100.0
193699,-100.0,,-91.0,-100.0
193710,-100.0,,-91.0,-100.0
193715,-100.0,,-91.0,-100.0
193719,-100.0,,-91.0,-100.0
193732,-100.0,,-91.0,-100.0
193750,-100.0,,-91.0,-100.0
193754,-100.0,,-91.0,-100.0
193761,-100.0,,-91.0,-100.0
193766,-100.0,,-91.0,-100.0
193772,-100.0,,-91.0,-100.0
193785,-100.0,,-91.0,-100.0
193799,-100.0,,-91.0,-100.0
193810,-100.0,,-91.0,-100.0
193818,-100.0,,-91.0,-100.0
193843,-100.0,,-91.0,-100.0
193853,-100.0,,-91.0,-100.0
193923,-100.0,,-91.0,-100.0
193936,-100.0,,-91.0,-100.0
193959,-100.0,,-91.0,-100.0
193969,-100.0,,-91.0,-100.0
193995,-100.0,,-91.0,-100.0
194004,-100.0,,-91.0,-100.0
194027,-100.0,,-91.0,-100.0
194035,-100.0,,-91.0,-100.0
194049,-100.0,,-91.0,-100.0
194060,-100.0,,-91.0,-100.0
194067,-100.0,,-91.0,-100.0
194070,-100.0,,-91.0,-100.0
194083,-100.0,,-91.0,-100.0
194094,-100.0,,-91.0,-100.0
194098,-100.0,,-91.0,-100.0
194104,-100.0,,-91.0,-100.0
194116,-100.0,,-91.0,-100.0
194125,-100.0,,-91.0,-100.0
194136,-100.0,,-91.0,-100.0
194146,-100.0,,-91.0,-100.0
194169,-100.0,,-91.0,-100.0
194224,-100.0,,-91.0,-100.0
194239,-100.0,,-91.0,-100.0
194262,-100.0,,-91.0,-100.0
194271,-100.0,,-91.0,-100.0
194294,-100.0,,-91.0,-100.0
194306,-100.0,,-91.0,-100.0
194330,-100.0,,-91.0,-100.0
194340,-100.0,,-91.0,-100.0
194390,-100.0,,-91.0,-100.0
194408,-100.0,,-91.0,-100.0
194444,-100.0,,-91.0,-100.0
194457,-100.0,,-91.0,-100.0
194459,-100.0,,-91.0,-100.0
194474,-100.0,,-91.0,-100.0
194475,-100.0,,-91.0,-100.0
194490,-100.0,,-91.0,-100.0
194492,-100.0,,-91.0,-100.0
194503,-100.0,,-91.0,-100.0
194505,-100.0,,-91.0,-100.0
194519,-100.0,,-91.0,-100.0
194521,-100.0,,-91.0,-100.0
194525,-100.0,,-91.0,-100.0
194535,-100.0,,-91.0,-100.0
194537,-100.0,,-91.0,-100.0
194545,-100.0,,-91.0,-100.0
194560,-100.0,,-91.0,-100.0
194564,-100.0,,-91.0,-100.0
194576,-100.0,,-91.0,-100.0
194578,-100.0,,-91.0,-100.0
194590,-100.0,,-91.0,-100.0
194592,-100.0,,-91.0,-100.0
194596,-100.0,,-91.0,-100.0
194607,-100.0,,-91.0,-100.0
194609,-100.0,,-91.0,-100.0
194622,-100.0,,-91.0,-100.0
194624,-100.0,,-91.0,-100.0
194629,-100.0,,-91.0,-100.0
194636,-100.0,,-91.0,-100.0
194638,-100.0,,-91.0,-100.0
194651,-100.0,,-91.0,-100.0
194652,-100.0,,-91.0,-100.0
194654,-100.0,,-91.0,-100.0
194668,-100.0,,-91.0,-100.0
194678,-100.0,,-91.0,-100.0
194680,-100.0,,-91.0,-100.0
194693,-100.0,,-91.0,-100.0
194695,-100.0,,-91.0,-100.0
194697,-100.0,,-91.0,-100.0
194708,-100.0,,-91.0,-100.0
194710,-100.0,,-91.0,-100.0
194724,-100.0,,-91.0,-100.0
194728,-100.0,,-91.0,-100.0
194737,-100.0,,-91.0,-100.0
194739,-100.0,,-91.0,-100.0
194741,-100.0,,-91.0,-100.0
194754,-100.0,,-91.0,-100.0
194756,-100.0,,-91.0,-100.0
194799,-100.0,,-91.0,-100.0
194827,-100.0,,-91.0,-100.0
194836,-100.0,,-91.0,-100.0
194861,-100.0,,-91.0,-100.0
194868,-100.0,,-91.0,-100.0
194888,-100.0,,-91.0,-100.0
194903,-100.0,,-91.0,-100.0
194924,-100.0,,-91.0,-100.0
194933,-100.0,,-91.0,-100.0
194938,-100.0,,-91.0,-100.0
194950,-100.0,,-91.0,-100.0
194956,-100.0,,-91.0,-100.0
194966,-100.0,,-91.0,-100.0
194989,-100.0,,-91.0,-100.0
194998,-100.0,,-91.0,-100.0
195028,-100.0,,-91.0,-100.0
195042,-100.0,,-91.0,-100.0
195065,-100.0,,-91.0,-100.0
195078,-100.0,,-91.0,-100.0
195101,-100.0,,-91.0,-100.0
195109,-100.0,,-91.0,-100.0
195129,-100.0,,-91.0,-100.0
195138,-100.0,,-91.0,-100.0
195141,-100.0,,-91.0,-100.0
195153,-100.0,,-91.0,-100.0
195173,-100.0,,-91.0,-100.0
195182,-100.0,,-91.0,-100.0
195186,-100.0,,-91.0,-100.0
195199,-100.0,,-91.0,-100.0
195226,-100.0,,-91.0,-100.0
195235,-100.0,,-91.0,-100.0
195257,-100.0,,-91.0,-100.0
195271,-100.0,,-91.0,-100.0
195274,-100.0,,-91.0,-100.0
195287,-100.0,,-91.0,-100.0
195314,-100.0,,-91.0,-100.0
195327,-100.0,,-91.0,-100.0
195350,-100.0,,-91.0,-100.0
195365,-100.0,,-91.0,-100.0
195388,-100.0,,-91.0,-100.0
195402,-100.0,,-91.0,-100.0
195422,-100.0,,-91.0,-100.0
195434,-100.0,,-91.0,-100.0
195457,-100.0,,-91.0,-100.0
195464,-100.0,,-91.0,-100.0
195470,-100.0,,-91.0,-100.0
195482,-100.0,,-91.0,-100.0
195487,-100.0,,-91.0,-100.0
195498,-100.0,,-91.0,-100.0
195527,-100.0,,-91.0,-100.0
195538,-100.0,,-91.0,-100.0
195561,-100.0,,-91.0,-100.0
195569,-100.0,,-91.0,-100.0
195593,-100.0,,-91.0,-100.0
195610,-100.0,,-91.0,-100.0
195633,-100.0,,-91.0,-100.0
195640,-100.0,,-91.0,-100.0
195660,-100.0,,-91.0,-100.0
195667,-100.0,,-91.0,-100.0
195672,-100.0,,-91.0,-100.0
195684,-100.0,,-91.0,-100.0
195710,-100.0,,-91.0,-100.0
195719,-100.0,,-91.0,-100.0
195740,-100.0,,-91.0,-100.0
195748,-100.0,,-91.0,-100.0
195771,-100.0,,-91.0,-100.0
195790,-100.0,,-91.0,-100.0
195799,-100.0,,-91.0,-100.0
195830,-100.0,,-91.0,-100.0
195859,-100.0,,-91.0,-100.0
195877,-100.0,,-91.0,-100.0
195938,-100.0,,-91.0,-100.0
195984,-100.0,,-91.0,-100.0
195996,-100.0,,-91.0,-100.0
196016,-100.0,,-91.0,-100.0
196044,-100.0,,-91.0,-100.0
196052,-100.0,,-91.0,-100.0
196072,-100.0,,-91.0,-100.0
196080,-100.0,,-91.0,-100.0
196122,-100.0,,-91.0,-100.0
196137,-100.0,,-91.0,-100.0
196161,-100.0,,-91.0,-100.0
196170,-100.0,,-91.0,-100.0
196195,-100.0,,-91.0,-100.0
196206,-100.0,,-91.0,-100.0
196213,-100.0,,-91.0,-100.0
196223,-100.0,,-91.0,-100.0
196227,-100.0,,-91.0,-100.0
196233,-100.0,,-91.0,-100.0
196261,-100.0,,-91.0,-100.0
196270,-100.0,,-91.0,-100.0
196289,-100.0,,-91.0,-100.0
196297,-100.0,,-91.0,-100.0
196341,-100.0,,-91.0,-100.0
196350,-100.0,,-91.0,-100.0
196355,-100.0,,-91.0,-100.0
196367,-100.0,,-91.0,-100.0
196400,-100.0,,-91.0,-100.0
196410,-100.0,,-91.0,-100.0
196424,-100.0,,-91.0,-100.0
196433,-100.0,,-91.0,-100.0
196437,-100.0,,-91.0,-100.0
196448,-100.0,,-91.0,-100.0
196453,-100.0,,-91.0,-100.0
196464,-100.0,,-91.0,-100.0
196467,-100.0,,-91.0,-100.0
196480,-100.0,,-91.0,-100.0
196485,-100.0,,-91.0,-100.0
196496,-100.0,,-91.0,-100.0
196499,-100.0,,-91.0,-100.0
196515,-100.0,,-91.0,-100.0
196518,-100.0,,-91.0,-100.0
196531,-100.0,,-91.0,-100.0
196536,-100.0,,-91.0,-100.0
196547,-100.0,,-91.0,-100.0
196550,-100.0,,-91.0,-100.0
196563,-100.0,,-91.0,-100.0
196566,-100.0,,-91.0,-100.0
196580,-100.0,,-91.0,-100.0
196583,-100.0,,-91.0,-100.0
196596,-100.0,,-91.0,-100.0
196599,-100.0,,-91.0,-100.0
196615,-100.0,,-91.0,-100.0
196618,-100.0,,-91.0,-100.0
196632,-100.0,,-91.0,-100.0
196634,-100.0,,-91.0,-100.0
196648,-100.0,,-91.0,-100.0
196650,-100.0,,-91.0,-100.0
196663,-100.0,,-91.0,-100.0
196667,-100.0,,-91.0,-100.0
196681,-100.0,,-91.0,-100.0
196684,-100.0,,-91.0,-100.0
196696,-100.0,,-91.0,-100.0
196722,-100.0,,-91.0,-100.0
196738,-100.0,,-91.0,-100.0
196773,-100.0,,-91.0,-100.0
196787,-100.0,,-91.0,-100.0
196810,-100.0,,-91.0,-100.0
196821,-100.0,,-91.0,-100.0
196842,-100.0,,-91.0,-100.0
196855,-100.0,,-91.0,-100.0
196883,-100.0,,-91.0,-100.0
196893,-100.0,,-91.0,-100.0
196919,-100.0,,-91.0,-100.0
196986,-100.0,,-91.0,-100.0
196992,-100.0,,-91.0,-100.0
197016,-100.0,,-91.0,-100.0
197047,-100.0,,-91.0,-100.0
197060,-100.0,,-91.0,-100.0
197105,-100.0,,-91.0,-100.0
197114,-100.0,,-91.0,-100.0
197145,-100.0,,-91.0,-100.0
197156,-100.0,,-91.0,-100.0
197193,-100.0,,-91.0,-100.0
197204,-100.0,,-91.0,-100.0
197236,-100.0,,-91.0,-100.0
197254,-100.0,,-91.0,-100.0
197285,-100.0,,-91.0,-100.0
197301,-100.0,,-91.0,-100.0
197342,-100.0,,-91.0,-100.0
197358,-100.0,,-91.5,-100.0
197360,-100.0,,-92.0,-100.0
197361,-100.0,,-92.0,-100.0
197376,-100.0,,-93.0,-100.0
197377,-100.0,,-93.0,-100.0
197392,-100.0,,-94.0,-100.0
197393,-100.0,,-94.0,-100.0
197398,-100.0,,-94.33333333333333,-100.0
197406,-100.0,,-94.66666666666667,-100.0
197409,-100.0,,-95.0,-100.0
197410,-100.0,,-95.0,-100.0
197426,-100.0,,-96.0,-100.0
197427,-100.0,,-96.0,-100.0
197437,-100.0,,-96.5,-100.0
197442,-100.0,,-97.0,-100.0
197444,-100.0,,-97.0,-100.0
197449,-100.0,,-97.5,-100.0
197458,-100.0,,-98.0,-100.0
197460,-100.0,,-98.0,-100.0
197476,-100.0,,-99.0,-100.0
197524,-100.0,,-99.0,-100.0
197538,-100.0,,-99.0,-100.0
197543,-100.0,,-99.0,-100.0
197559,-100.0,,-100.0,-100.0
197648,-100.0,,-100.0,-100.0
197669,-100.0,,-100.0,-100.0
197781,-100.0,,-100.0,-100.0
197800,-100.0,,-100.0,-100.0
197837,-100.0,,-100.0,-100.0
197851,-100.0,,-100.0,-100.0
198159,-100.0,,-100.0,-100.0
198265,-100.0,,-100.0,-100.0
198289,-100.0,,-100.0,-100.0
198351,-100.0,,-100.0,-100.0
198459,-100.0,,-100.0,-100.0
