,A3BPENSX5EVJ2,AWE3BMS01D2F9
70415,,-100.0
70432,,-100.0
70450,,-100.0
70468,,-100.0
70485,,-100.0
70520,,-100.0
70538,,-100.0
70555,,-100.0
70563,,-100.0
70579,,-100.0
70596,,-100.0
70614,,-100.0
70632,,-100.0
70666,,-100.0
70684,,-100.0
70702,,-100.0
70720,,-100.0
70738,,-100.0
70755,,-100.0
70771,,-100.0
70789,,-100.0
70797,,-100.0
70813,,-100.0
70832,,-100.0
70848,,-100.0
70856,,-100.0
70867,,-100.0
70875,,-100.0
70883,,-100.0
70892,,-100.0
70901,,-100.0
70910,,-100.0
70919,,-100.0
70926,,-100.0
70942,,-100.0
70943,,-100.0
70950,,-100.0
70969,,-100.0
70985,,-100.0
70994,,-100.0
71003,,-100.0
71013,,-100.0
71022,,-100.0
71038,,-100.0
71053,,-100.0
71076,,-100.0
71104,,-100.0
71135,,-100.0
71154,,-100.0
71180,,-100.0
71206,,-100.0
71235,,-100.0
71254,,-100.0
71276,,-100.0
71288,,-100.0
71323,,-100.0
71369,,-100.0
71373,,-100.0
71388,,-100.0
71389,,-100.0
71390,,-100.0
71408,,-100.0
71426,,-100.0
71442,,-100.0
71730,,-100.0
71753,,-99.0
71779,,-98.0
71798,,-97.0
71818,,-96.0
71838,,-95.0
71857,,-94.0
71865,,-93.0
71884,,-92.0
71904,,-91.0
71925,,-90.0
71946,,-89.0
71967,,-88.0
71986,,-87.0
71988,,-86.5
72006,,-86.0
72007,,-85.5
72025,,-85.0
72041,,-85.0
72043,,-85.0
72059,,-84.5
72061,,-84.0
72077,,-83.5
72085,,-83.0
72092,,-82.0
72093,,-82.0
72108,,-82.0
72126,,-80.0
72128,,-79.66666666666667
72147,,-79.33333333333333
72148,,-79.0
72164,,-78.5
72168,,-78.0
72183,,-77.5
72186,,-77.0
72203,,-76.0
72205,,-76.0
72223,,-76.0
72228,,-76.0
72240,,-75.5
72248,,-75.0
72259,,-74.5
72273,,-74.0
72275,,-73.5
72282,,-73.0
72293,,-72.5
72303,,-72.0
72310,,-71.66666666666667
72329,,-71.33333333333333
72337,,-71.0
72345,,-71.0
72356,,-71.0
72364,,-70.5
72388,,-70.0
72398,,-69.75
72422,,-69.5
72446,,-69.25
72447,,-69.0
72467,,-68.0
72475,,-67.5
72482,,-67.0
72493,,-66.5
72500,,-66.0
72508,,-65.0
72510,,-64.5
72523,,-64.0
72528,,-63.5
72543,,-63.0
72559,,-62.0
72562,,-61.5
72576,,-61.0
72584,,-60.5
72594,,-60.0
72597,,-59.5
72612,,-59.0
72615,,-58.666666666666664
72623,,-58.333333333333336
72630,,-58.0
72639,,-57.5
72648,,-57.0
72657,,-56.5
72666,,-56.0
72674,,-55.5
72681,,-55.0
72691,,-54.5
72699,,-54.0
72710,,-53.5
72713,,-53.0
72723,,-51.0
72727,,-50.5
72743,,-50.0
72744,,-49.5
72758,,-49.0
72761,,-48.5
72776,,-48.0
72795,,-47.0
72797,,-46.5
72814,,-46.0
72828,,-45.0
72832,,-44.666666666666664
72838,,-44.333333333333336
72850,,-44.0
72855,,-43.5
72863,,-43.0
72874,,-42.0
72890,,-41.0
72891,,-41.0
72900,,-41.0
72909,,-40.0
72915,,-39.0
72925,,-39.0
72930,,-39.0
72940,,-38.0
72943,,-38.0
72963,,-38.0
72975,,-37.0
72979,,-36.5
72995,,-36.0
72998,,-35.5
73010,,-35.0
73017,,-34.333333333333336
73030,,-33.666666666666664
73035,,-33.0
73050,,-33.0
73055,,-32.0
73065,,-31.0
73073,,-30.5
73085,,-30.0
73091,,-29.5
73098,,-29.0
73107,,-28.5
73115,,-28.0
73126,,-27.5
73136,,-27.0
73140,,-26.0
73143,,-25.666666666666668
73161,,-25.333333333333332
73162,,-25.0
73176,,-23.0
73179,,-22.5
73192,,-22.0
73194,,-21.5
73209,,-21.0
73213,,-20.5
73227,,-20.0
73230,,-19.5
73246,,-19.0
73248,,-18.666666666666668
73255,,-18.333333333333332
73263,,-18.0
73272,,-17.5
73279,,-17.0
73289,,-16.5
73300,,-16.0
73307,,-15.5
73314,,-15.0
73327,,-14.0
73337,,-13.0
73344,,-12.5
73349,,-12.0
73359,,-11.5
73366,,-11.0
73376,,-10.0
73392,,-9.0
73394,,-8.5
73412,,-8.0
73416,,-7.5
73426,,-7.0
73445,,-6.0
73448,,-5.5
73464,,-5.0
73479,,-3.0
73482,,-2.5
73496,,-2.0
73509,,-1.5
73514,,-1.0
73533,,0.0
73552,,1.0
73568,,2.0
73578,,3.0
73594,,4.0
73602,,4.5
73608,,5.0
73630,,7.0
73643,,8.0
73647,,8.5
73666,,9.0
73673,,9.5
73678,,10.0
73690,,10.5
73695,,11.0
73705,,11.5
73714,,12.0
73731,,13.0
73747,,14.0
73753,,14.5
73765,,15.0
73783,,17.0
73794,,18.0
73808,,19.0
73820,,19.5
73828,,20.0
73841,,21.0
73852,,21.5
73861,,22.0
73873,,22.5
73879,,23.0
73896,,24.0
73898,,24.333333333333332
73911,,24.666666666666668
73916,,25.0
73930,,27.0
73932,,27.5
73947,,28.0
73954,,28.5
73968,,29.0
73979,,29.5
73983,,30.0
73994,,31.0
74002,,31.5
74008,,32.0
74014,,32.5
74024,,33.0
74038,,33.5
74044,,34.0
74055,,34.5
74060,,35.0
74065,,35.5
74080,,36.0
74083,,37.0
74094,,38.0
74104,,38.333333333333336
74109,,38.666666666666664
74111,,39.0
74127,,39.5
74137,,40.0
74143,,40.0
74151,,40.0
74160,,40.5
74167,,41.0
74182,,42.0
74186,,42.5
74199,,43.0
74218,,44.0
74224,,46.0
74241,,46.5
74246,,47.0
74259,,48.0
74263,,48.333333333333336
74270,,48.666666666666664
74277,,49.0
74286,,49.5
74294,,50.0
74299,,50.5
74311,,51.0
74320,,51.333333333333336
74331,,51.666666666666664
74332,,52.0
74346,,53.0
74351,,53.333333333333336
74363,,53.666666666666664
74364,,54.0
74381,,55.0
74385,,56.0
74392,,56.5
74398,,57.0
74410,,57.5
74417,,58.0
74423,,59.0
74426,,59.5
74440,,60.0
74443,,60.5
74460,,61.0
74461,,61.5
74475,,62.0
74479,,62.5
74495,,63.0
74496,,63.5
74511,,64.0
74521,,65.0
74528,,66.0
74531,,66.33333333333333
74538,,66.66666666666667
74550,,67.0
74557,,67.5
74563,,68.0
74573,,68.5
74581,,69.0
74590,,69.5
74597,,70.0
74608,,70.5
74616,,71.0
74627,,71.5
74633,,72.0
74639,,73.0
74643,,73.5
74659,,74.0
74665,,75.0
74675,,76.0
74685,,76.5
74693,,77.0
74695,,77.5
74713,,78.0
74725,,78.5
74728,,79.0
74737,,79.5
74749,,80.0
74758,,80.5
74761,,81.0
74773,,81.5
74779,,82.0
74790,,82.5
74797,,83.0
74808,,83.5
74815,,84.0
74825,,85.0
74834,,86.0
74843,,86.5
74849,,87.0
74856,,88.0
74860,,88.5
74875,,89.0
74878,,89.5
74893,,90.0
74895,,90.5
74910,,91.0
74912,,91.5
74927,,92.0
74930,,92.5
74943,,93.0
74947,,93.33333333333333
74958,,93.66666666666667
74962,,94.0
74971,,95.0
74979,,96.0
74991,,96.5
74997,,97.0
75015,,98.0
78003,,98.0
78025,,98.0
78058,,98.0
78073,,98.0
78109,,98.0
78126,,98.0
78143,,98.0
78181,,98.0
78202,,98.0
78471,,98.0
78497,,98.0
78528,,98.0
78546,,98.0
78562,,98.0
78610,,98.0
78626,,98.0
79291,,98.0
79309,,98.0
79344,,98.0
79380,,98.0
79419,,98.0
79431,,98.0
79448,,98.0
79456,,98.0
79473,,98.0
79490,,98.0
79507,,98.0
79525,,98.0
79543,,98.0
79562,,98.0
79578,,98.0
79595,,98.0
79612,,98.0
79630,,98.0
79648,,98.0
79655,,98.0
79674,,98.0
79726,,98.0
79761,,98.0
79776,,98.0
79794,,98.0
79811,,98.0
79830,,98.0
79847,,98.0
79864,,98.0
79880,,98.0
79887,,98.0
79906,,98.0
79923,,98.0
79944,,98.0
79959,,98.0
79975,,98.0
79993,,98.0
80011,,98.0
80029,,98.0
80046,,98.0
80062,,98.0
