,AF50K5H2FJWW0,A4WBW7FVQASZE,AQ3KPKZ6UIYPF
5595,-89.46464646464646,-100.0,-100.0
5610,-89.39393939393939,-100.0,-100.0
5615,-89.32323232323232,-100.0,-100.0
5620,-89.25252525252526,-100.0,-100.0
5637,-89.18181818181819,-100.0,-100.0
5643,-89.11111111111111,-100.0,-100.0
5648,-89.04040404040404,-100.0,-100.0
5659,-88.96969696969697,-100.0,-100.0
5696,-88.8989898989899,-100.0,-100.0
5715,-88.82828282828282,-100.0,-100.0
5718,-88.75757575757575,-100.0,-100.0
5720,-88.68686868686869,-100.0,-100.0
5726,-88.61616161616162,-100.0,-100.0
5737,-88.54545454545455,-100.0,-100.0
5759,-88.47474747474747,-100.0,-100.0
5775,-88.4040404040404,-100.0,-100.0
5782,-88.33333333333333,-100.0,-100.0
5792,-88.26262626262627,-100.0,-100.0
5793,-88.1919191919192,-100.0,-100.0
5804,-88.12121212121212,-100.0,-100.0
5812,-88.05050505050505,-100.0,-100.0
5821,-87.97979797979798,-100.0,-100.0
5827,-87.9090909090909,-100.0,-100.0
5834,-87.83838383838383,-100.0,-100.0
5849,-87.76767676767676,-100.0,-100.0
5860,-87.6969696969697,-100.0,-100.0
5861,-87.62626262626263,-100.0,-100.0
5870,-87.55555555555556,-100.0,-100.0
5885,-87.48484848484848,-100.0,-100.0
5895,-87.41414141414141,-100.0,-100.0
5920,-87.34343434343434,-100.0,-100.0
5934,-87.27272727272728,-100.0,-100.0
5945,-87.20202020202021,-100.0,-100.0
5957,-87.13131313131314,-100.0,-100.0
5979,-87.06060606060606,-100.0,-100.0
5986,-86.98989898989899,-100.0,-100.0
5992,-86.91919191919192,-100.0,-100.0
6013,-86.84848484848484,-100.0,-100.0
6026,-86.77777777777777,-100.0,-100.0
6027,-86.70707070707071,-100.0,-100.0
6032,-86.63636363636364,-100.0,-100.0
6047,-86.56565656565657,-100.0,-100.0
6052,-86.4949494949495,-100.0,-100.0
6060,-86.42424242424242,-100.0,-100.0
6063,-86.35353535353535,-100.0,-100.0
6067,-86.28282828282829,-100.0,-100.0
6087,-86.21212121212122,-100.0,-100.0
6098,-86.14141414141415,-100.0,-100.0
6103,-86.07070707070707,-100.0,-100.0
6118,-86.0,-100.0,-100.0
6120,-85.92929292929293,-100.0,-100.0
6128,-85.85858585858585,-100.0,-100.0
6148,-85.78787878787878,-100.0,-100.0
6152,-85.71717171717172,-100.0,-100.0
6216,-85.64646464646465,-100.0,-100.0
6245,-85.57575757575758,-100.0,-100.0
6247,-85.5050505050505,-100.0,-100.0
6267,-85.43434343434343,-100.0,-100.0
6270,-85.36363636363636,-100.0,-100.0
6272,-85.2929292929293,-100.0,-100.0
6280,-85.22222222222223,-100.0,-100.0
6286,-85.15151515151516,-100.0,-100.0
6287,-85.08080808080808,-100.0,-100.0
6296,-85.01010101010101,-100.0,-100.0
6300,-84.93939393939394,-100.0,-100.0
6318,-84.86868686868686,-100.0,-100.0
6332,-84.79797979797979,-100.0,-100.0
6338,-84.72727272727273,-100.0,-100.0
6340,-84.65656565656566,-100.0,-100.0
6341,-84.58585858585859,-100.0,-100.0
6355,-84.51515151515152,-100.0,-100.0
6360,-84.44444444444444,-100.0,-100.0
6372,-84.37373737373737,-100.0,-100.0
6376,-84.3030303030303,-100.0,-100.0
6395,-84.23232323232324,-100.0,-100.0
6398,-84.16161616161617,-100.0,-100.0
6413,-84.0909090909091,-100.0,-100.0
6519,-84.02020202020202,-100.0,-100.0
6537,-83.94949494949495,-100.0,-100.0
6543,-83.87878787878788,-100.0,-100.0
6563,-83.8080808080808,-100.0,-100.0
6572,-83.73737373737373,-100.0,-100.0
6577,-83.66666666666667,-100.0,-100.0
6587,-83.5959595959596,-100.0,-100.0
6596,-83.52525252525253,-100.0,-100.0
6601,-83.45454545454545,-100.0,-100.0
6614,-83.38383838383838,-100.0,-100.0
6755,-83.31313131313132,-100.0,-100.0
6773,-83.24242424242425,-100.0,-100.0
6779,-83.17171717171718,-100.0,-100.0
6796,-83.1010101010101,-100.0,-100.0
6810,-83.03030303030303,-100.0,-100.0
6814,-82.95959595959596,-100.0,-100.0
6822,-82.88888888888889,-100.0,-100.0
6838,-82.81818181818181,-100.0,-100.0
6852,-82.74747474747474,-100.0,-100.0
6864,-82.67676767676768,-100.0,-100.0
6882,-82.60606060606061,-100.0,-100.0
6999,-82.53535353535354,-100.0,-100.0
7016,-82.46464646464646,-100.0,-100.0
7021,-82.39393939393939,-100.0,-100.0
7028,-82.32323232323233,-100.0,-100.0
7034,-82.25252525252526,-100.0,-100.0
7049,-82.18181818181819,-100.0,-100.0
7068,-82.11111111111111,-100.0,-100.0
7087,-82.04040404040404,-100.0,-100.0
7229,-81.96969696969697,-100.0,-100.0
7250,-81.8989898989899,-100.0,-100.0
7273,-81.82828282828282,-100.0,-100.0
7281,-81.75757575757575,-100.0,-100.0
7286,-81.68686868686869,-100.0,-100.0
7300,-81.61616161616162,-100.0,-100.0
7354,-81.54545454545455,-100.0,-100.0
7395,-81.47474747474747,-100.0,-100.0
7432,-81.4040404040404,-100.0,-100.0
7475,-81.33333333333334,-100.0,-100.0
7505,-81.26262626262627,-100.0,-100.0
7576,-81.1919191919192,-100.0,-100.0
7600,-81.12121212121212,-100.0,-100.0
7644,-81.05050505050505,-100.0,-100.0
7709,-80.97979797979798,-100.0,-100.0
7751,-80.9090909090909,-100.0,-100.0
7798,-80.83838383838383,-100.0,-100.0
7828,-80.76767676767676,-100.0,-100.0
7843,-80.6969696969697,-100.0,-100.0
7876,-80.62626262626263,-100.0,-100.0
7893,-80.55555555555556,-100.0,-100.0
7972,-80.48484848484848,-100.0,-100.0
8015,-80.41414141414141,-100.0,-100.0
8082,-80.34343434343434,-100.0,-100.0
8092,-80.27272727272728,-100.0,-100.0
8120,-80.20202020202021,-100.0,-100.0
8182,-80.13131313131314,-100.0,-100.0
8226,-80.06060606060606,-100.0,-100.0
8459,-79.98989898989899,-100.0,-100.0
8496,-79.91919191919192,-100.0,-100.0
8553,-79.84848484848484,-100.0,-100.0
8584,-79.77777777777777,-100.0,-100.0
8608,-79.70707070707071,-100.0,-100.0
8647,-79.63636363636364,-100.0,-100.0
8699,-79.56565656565657,-100.0,-100.0
8721,-79.4949494949495,-100.0,-100.0
8766,-79.42424242424242,-100.0,-100.0
8812,-79.35353535353535,-100.0,-100.0
8826,-79.28282828282829,-100.0,-100.0
8870,-79.21212121212122,-100.0,-100.0
9032,-79.14141414141415,-100.0,-100.0
9044,-79.07070707070707,-100.0,-100.0
9045,-79.0,-100.0,-100.0
9061,-78.0,-100.0,-100.0
9067,-78.0,-100.0,-100.0
9095,-76.0,-100.0,-100.0
9104,-76.0,-100.0,-100.0
9110,-75.0,-100.0,-100.0
9130,-74.0,-100.0,-100.0
9132,-74.0,-100.0,-100.0
9156,-74.0,-100.0,-100.0
9174,-72.5,-100.0,-100.0
9191,-71.0,-100.0,-100.0
9200,-71.0,-100.0,-100.0
9220,-70.0,-100.0,-100.0
9224,-69.0,-100.0,-100.0
9233,-69.0,-100.0,-100.0
9260,-67.0,-100.0,-100.0
9280,-67.0,-100.0,-100.0
9282,-66.5,-100.0,-100.0
9294,-66.0,-100.0,-100.0
9303,-66.0,-100.0,-100.0
9321,-66.0,-100.0,-100.0
9349,-66.0,-100.0,-100.0
9403,-66.0,-100.0,-100.0
9437,-66.0,-100.0,-100.0
9456,-66.0,-100.0,-100.0
9506,-66.0,-100.0,-100.0
9535,-66.0,-100.0,-100.0
9578,-66.0,-100.0,-100.0
9591,-66.0,-100.0,-100.0
9607,-65.0,-100.0,-100.0
9627,-65.0,-100.0,-100.0
9640,-64.0,-100.0,-100.0
9648,-64.0,-100.0,-100.0
9661,-63.0,-100.0,-100.0
9674,-63.0,-100.0,-100.0
9685,-63.0,-100.0,-100.0
9700,-62.0,-100.0,-100.0
9704,-62.0,-100.0,-100.0
9732,-62.0,-100.0,-100.0
9740,-61.0,-100.0,-100.0
10195,-66.57142857142857,-100.0,-100.0
10232,-72.14285714285714,-100.0,-100.0
10249,-77.71428571428572,-100.0,-100.0
10291,-83.28571428571428,-100.0,-100.0
10342,-88.85714285714286,-100.0,-100.0
10379,-94.42857142857143,-100.0,-100.0
10412,-100.0,-100.0,-100.0
10421,-99.5,-100.0,-100.0
10430,-99.0,-100.0,-100.0
10436,-99.0,-100.0,-100.0
10462,-97.0,-100.0,-100.0
10470,-97.0,-100.0,-100.0
10484,-96.0,-100.0,-100.0
10499,-95.0,-100.0,-100.0
10504,-95.0,-100.0,-100.0
10516,-93.0,-100.0,-100.0
10521,-93.0,-100.0,-100.0
10536,-92.0,-100.0,-100.0
10541,-91.0,-100.0,-100.0
10546,-91.0,-100.0,-100.0
10552,-90.0,-100.0,-100.0
10575,-89.0,-100.0,-100.0
10581,-89.0,-100.0,-100.0
10591,-88.0,-100.0,-100.0
10610,-87.0,-100.0,-100.0
10616,-87.0,-100.0,-100.0
10628,-86.0,-100.0,-100.0
10632,-86.0,-100.0,-100.0
10662,-83.0,-100.0,-100.0
10668,-83.0,-100.0,-100.0
10680,-82.0,-100.0,-100.0
10685,-82.0,-100.0,-100.0
10697,-81.0,-100.0,-100.0
10715,-80.0,-100.0,-100.0
10720,-80.0,-100.0,-100.0
10723,-79.33333333333333,-100.0,-100.0
10732,-78.66666666666667,-100.0,-100.0
10739,-78.0,-100.0,-100.0
10746,-78.0,-100.0,-100.0
10756,-77.0,-100.0,-100.0
10761,-77.0,-100.0,-100.0
10777,-76.0,-100.0,-100.0
10792,-75.0,-100.0,-100.0
10797,-75.0,-100.0,-100.0
10826,-72.0,-100.0,-100.0
10832,-72.0,-100.0,-100.0
10844,-71.0,-100.0,-100.0
