Time(sec),ALPARR84EASL2
304.0,78.39772727272727
305.0,78.39772727272727
306.0,78.39772727272727
307.0,78.39772727272727
308.0,78.39772727272727
309.0,78.39772727272727
310.0,78.39772727272727
311.0,71.5153409090909
312.0,66.0
313.0,66.0
314.0,66.0
315.0,66.0
316.0,66.0
317.0,66.0
318.0,66.0
319.0,66.0
320.0,66.0
321.0,66.0
322.0,66.0
323.0,66.0
324.0,66.0
325.0,66.0
326.0,66.0
327.0,66.0
328.0,66.0
329.0,66.0
330.0,66.0
331.0,66.0
332.0,66.0
333.0,66.0
334.0,66.0
335.0,66.0
336.0,66.0
337.0,66.0
338.0,66.0
339.0,66.0
340.0,66.0
341.0,66.0
342.0,66.0
343.0,66.0
344.0,66.0
345.0,66.0
346.0,66.0
347.0,66.0
348.0,66.0
349.0,66.0
350.0,66.0
351.0,66.0
352.0,66.0
353.0,66.0
354.0,66.0
355.0,66.0
356.0,66.0
357.0,66.0
358.0,66.0
359.0,69.75142857142858
360.0,72.0
361.0,92.54354066985647
362.0,98.83333333333334
363.0,98.95000000000002
364.0,100.0
365.0,100.0
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,100.0
371.0,100.0
372.0,100.0
373.0,100.0
374.0,100.0
375.0,100.0
376.0,100.0
377.0,100.0
378.0,100.0
379.0,100.0
380.0,100.0
381.0,100.0
382.0,100.0
383.0,100.0
384.0,100.0
385.0,100.0
386.0,100.0
387.0,100.0
388.0,99.83030303030303
389.0,97.06969696969698
390.0,95.5
391.0,95.5
392.0,95.5
393.0,95.5
394.0,95.5
395.0,95.5
396.0,95.5
397.0,95.5
398.0,95.5
399.0,92.96481481481482
400.0,87.09333333333333
401.0,75.0
402.0,75.18461538461538
403.0,80.60307692307693
404.0,82.0
405.0,82.0
406.0,82.0
407.0,82.0
408.0,82.0
409.0,85.87272727272727
410.0,91.0
411.0,91.0
412.0,98.52548076923077
413.0,99.0625
414.0,99.0625
415.0,99.0625
416.0,99.0625
417.0,99.0625
418.0,99.0625
419.0,99.0625
420.0,99.0625
421.0,99.0625
422.0,99.8125
423.0,100.0
424.0,100.0
425.0,100.0
426.0,100.0
427.0,100.0
428.0,100.0
429.0,100.0
430.0,100.0
431.0,100.0
432.0,100.0
433.0,100.0
434.0,100.0
435.0,100.0
436.0,100.0
437.0,100.0
438.0,100.0
439.0,100.0
440.0,100.0
441.0,100.0
442.0,100.0
443.0,100.0
444.0,100.0
445.0,100.0
446.0,100.0
447.0,100.0
448.0,100.0
449.0,100.0
450.0,100.0
451.0,100.0
452.0,100.0
453.0,100.0
454.0,100.0
455.0,100.0
456.0,100.0
457.0,99.18181818181817
458.0,98.63636363636364
459.0,98.63636363636364
460.0,98.63636363636364
461.0,98.63636363636364
462.0,98.63636363636364
463.0,98.63636363636364
464.0,98.63636363636364
465.0,90.33095238095238
466.0,80.02041666666666
467.0,64.19604086845467
468.0,54.25098039215686
469.0,44.2562091503268
470.0,29.691176470588232
471.0,25.0
472.0,23.86611253196931
473.0,19.52173913043478
474.0,19.52173913043478
475.0,12.78
476.0,8.126284600389862
477.0,-7.48109068627451
478.0,-34.83888888888889
479.0,-35.0
480.0,-35.0
481.0,-35.0
482.0,-35.0
483.0,-35.0
484.0,-35.0
485.0,-35.0
486.0,-35.38333333333333
487.0,-58.88938228438228
488.0,-62.605769230769226
489.0,-72.1768253968254
490.0,-74.0
491.0,-74.0
492.0,-74.0
493.0,-74.0
494.0,-74.0
495.0,-74.0
496.0,-74.0
497.0,-74.0
498.0,-74.0
499.0,-74.0
500.0,-74.0
501.0,-74.0
502.0,-74.0
503.0,-74.0
504.0,-74.0
505.0,-74.0
506.0,-83.21423076923078
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-99.96435185185184
521.0,-96.71719576719578
522.0,-91.0
523.0,-91.0
524.0,-91.0
525.0,-91.0
526.0,-91.0
527.0,-91.0
528.0,-91.0
529.0,-91.0
530.0,-91.0
531.0,-91.0
532.0,-91.0
533.0,-91.0
534.0,-91.0
535.0,-91.0
536.0,-91.0
537.0,-91.0
538.0,-91.0
539.0,-91.0
540.0,-91.0
541.0,-91.03999999999999
542.0,-92.00000000000003
543.0,-94.22571428571429
544.0,-98.84285714285713
545.0,-99.69142857142857
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
