Time(sec),A73CNVUAKO1AY
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-99.9625
20.0,-97.6925
21.0,-95.0
22.0,-95.0
23.0,-95.0
24.0,-95.0
25.0,-95.0
26.0,-95.0
27.0,-95.18518518518519
28.0,-97.34920634920634
29.0,-98.94047619047619
30.0,-99.0
31.0,-99.0
32.0,-97.78461538461538
33.0,-94.0
34.0,-94.0
35.0,-94.0
36.0,-94.0
37.0,-94.0
38.0,-94.0
39.0,-94.0
40.0,-94.0
41.0,-94.0
42.0,-94.0
43.0,-94.0
44.0,-94.0
45.0,-94.0
46.0,-94.0
47.0,-94.0
48.0,-94.0
49.0,-94.0
50.0,-94.0
51.0,-94.0
52.0,-94.0
53.0,-94.0
54.0,-94.0
55.0,-94.0
56.0,-94.0
57.0,-94.0
58.0,-94.0
59.0,-94.0
60.0,-94.0
61.0,-94.0
62.0,-94.0
63.0,-94.0
64.0,-91.11724747474747
65.0,-76.5311951754386
66.0,-53.36362723877429
67.0,-34.75642857142857
68.0,-32.0
69.0,-32.0
70.0,-31.619090909090904
71.0,-23.55883116883117
72.0,-11.081568986568985
73.0,0.008055555555555127
74.0,5.277777777777778
75.0,5.277777777777778
76.0,5.277777777777778
77.0,5.277777777777778
78.0,5.277777777777778
79.0,5.277777777777778
80.0,5.277777777777778
81.0,5.277777777777778
82.0,5.277777777777778
83.0,5.277777777777778
84.0,12.071191553544493
85.0,23.994999999999997
86.0,36.220000000000006
87.0,53.393484848484846
88.0,68.55
89.0,82.72
90.0,97.59642857142856
91.0,99.97857142857143
92.0,100.0
93.0,100.0
94.0,100.0
95.0,100.0
96.0,100.0
97.0,100.0
98.0,100.0
99.0,100.0
100.0,100.0
101.0,100.0
102.0,100.0
103.0,100.0
104.0,100.0
105.0,100.0
106.0,100.0
107.0,100.0
108.0,100.0
109.0,100.0
110.0,100.0
111.0,100.0
112.0,100.0
113.0,100.0
114.0,100.0
115.0,100.0
116.0,100.0
117.0,100.0
118.0,100.0
119.0,100.0
120.0,100.0
121.0,100.0
122.0,100.0
123.0,98.92
124.0,86.28666666666666
125.0,77.45
126.0,66.27000000000001
127.0,46.228571428571435
128.0,29.536824494949496
129.0,27.0
130.0,27.0
131.0,27.0
132.0,27.0
133.0,27.0
134.0,27.0
135.0,27.0
136.0,27.0
137.0,27.0
138.0,28.2630710955711
139.0,43.52564588189588
140.0,63.52893939393939
141.0,81.74930555555557
142.0,97.60398536648536
143.0,100.0
144.0,100.0
145.0,100.0
146.0,100.0
147.0,100.0
148.0,100.0
149.0,100.0
150.0,100.0
151.0,100.0
152.0,100.0
153.0,100.0
154.0,100.0
155.0,100.0
156.0,100.0
157.0,100.0
158.0,100.0
159.0,100.0
160.0,100.0
161.0,100.0
162.0,100.0
163.0,100.0
164.0,100.0
165.0,100.0
166.0,100.0
167.0,100.0
168.0,100.0
169.0,100.0
170.0,100.0
171.0,100.0
172.0,100.0
173.0,100.0
174.0,100.0
175.0,100.0
176.0,100.0
177.0,100.0
178.0,100.0
179.0,100.0
180.0,100.0
181.0,100.0
182.0,100.0
