Time(sec),AF50K5H2FJWW0
0.0,-99.96825396825396
1.0,-99.90194003527338
2.0,-99.8342151675485
3.0,-99.76366843033509
4.0,-99.6994708994709
5.0,-99.62962962962963
6.0,-99.56049382716051
7.0,-99.49559082892418
8.0,-99.42504409171076
9.0,-99.35802469135804
10.0,-99.29100529100529
11.0,-99.22045855379189
12.0,-99.15555555555555
13.0,-99.08641975308643
14.0,-99.01657848324514
15.0,-98.95238095238095
16.0,-98.88183421516756
17.0,-98.81410934744268
18.0,-98.74779541446208
19.0,-98.68148148148147
20.0,-97.54999999999998
21.0,-90.11333333333333
22.0,-98.5
23.0,-98.5
24.0,-98.5264705882353
25.0,-98.97058823529412
26.0,-99.55882352941177
27.0,-99.98235294117646
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-96.26166666666667
34.0,-89.38631827731093
35.0,-83.11764705882354
36.0,-83.11764705882354
37.0,-83.11764705882354
38.0,-83.11764705882354
39.0,-83.11764705882354
40.0,-83.11764705882354
41.0,-83.11764705882354
42.0,-83.11764705882354
43.0,-83.11764705882354
44.0,-83.11764705882354
45.0,-70.57205882352942
46.0,-61.33125
47.0,-61.0
48.0,-61.0
49.0,-61.0
50.0,-61.0
51.0,-65.55857142857143
52.0,-68.0
53.0,-68.0
54.0,-68.0
55.0,-68.0
56.0,-68.0
57.0,-68.0
58.0,-68.0
59.0,-68.0
60.0,-68.0
61.0,-68.0
62.0,-68.0
63.0,-68.0
64.0,-68.0
65.0,-68.0
66.0,-68.0
67.0,-68.0
68.0,-68.0
69.0,-68.0
70.0,-67.81818181818181
71.0,-48.777843137254905
72.0,-44.02941176470588
73.0,-43.147058823529406
74.0,-42.28235294117648
75.0,-27.197160493827162
76.0,-13.839506172839503
77.0,-24.575149911816577
78.0,-59.75110722610723
79.0,-75.93891233766234
80.0,-86.47474747474747
81.0,-87.0
82.0,-87.0
83.0,-87.0
84.0,-87.0
85.0,-90.78999999999999
86.0,-95.94
87.0,-92.81333333333333
88.0,-92.0
89.0,-92.0
90.0,-92.0
91.0,-92.0
92.0,-92.0
93.0,-92.0
94.0,-90.13250000000001
95.0,-88.46875
96.0,-88.26041666666666
97.0,-88.05833333333334
98.0,-88.0
99.0,-88.0
100.0,-88.0
101.0,-88.0
102.0,-88.0
103.0,-70.72113095238096
104.0,-61.458035714285714
105.0,-53.841808608058614
106.0,-49.28717948717949
107.0,-49.0
108.0,-49.0
109.0,-49.0
110.0,-49.0
111.0,-49.0
112.0,-49.0
113.0,-49.0
114.0,-49.0
115.0,-49.0
116.0,-49.0
117.0,-49.0
118.0,-49.0
119.0,-49.0
120.0,-49.0
121.0,-49.0
122.0,-49.0
123.0,-49.0
124.0,-49.0
125.0,-49.0
126.0,-48.96546762589929
127.0,-48.810894141829394
128.0,-48.644809866392606
129.0,-48.37512846865365
130.0,-48.04624871531347
131.0,-47.717368961973285
132.0,-47.388489208633096
133.0,-47.059609455292915
134.0,-40.202903391572455
135.0,-18.3
136.0,-18.0
137.0,-18.0
138.0,-27.697573260073263
139.0,-60.97537993920973
140.0,-61.91489361702129
141.0,-61.91489361702129
142.0,-61.91489361702129
143.0,-61.91489361702129
144.0,-61.59840425531915
145.0,-43.465606060606056
146.0,-12.952777777777778
147.0,4.128571428571428
148.0,9.44031746031746
149.0,-39.08277472527472
150.0,-95.07249417249417
151.0,-96.5801282051282
152.0,-96.64423076923077
153.0,-96.70833333333333
154.0,-96.7724358974359
155.0,-96.83653846153845
156.0,-96.90064102564102
157.0,-96.96474358974359
158.0,-97.0
159.0,-97.0
160.0,-97.0
161.0,-97.0
162.0,-97.0
163.0,-96.73928571428571
164.0,-88.875
165.0,-88.875
166.0,-88.875
167.0,-88.875
168.0,-88.875
169.0,-79.46341575091574
170.0,-43.97115384615385
171.0,-43.0
172.0,-43.0
173.0,-43.0
174.0,-43.0
175.0,-43.0
176.0,-43.0
177.0,-43.0
178.0,-43.0
179.0,-43.0
180.0,-43.0
181.0,-43.0
182.0,-43.0
183.0,-43.0
184.0,-43.0
185.0,-43.0
186.0,-43.0
187.0,-27.713593073593067
188.0,-30.644635642135643
189.0,-57.86285714285714
190.0,-57.97714285714286
191.0,-58.09142857142857
192.0,-58.20571428571429
193.0,-58.31999999999998
194.0,-58.434285714285714
195.0,-58.548571428571435
196.0,-58.662857142857135
197.0,-58.77714285714285
198.0,-58.89142857142857
199.0,-58.988571428571426
200.0,-59.0
201.0,-59.0
202.0,-59.0
203.0,-59.0
204.0,-59.0
205.0,-59.0
206.0,-59.0
207.0,-59.0
208.0,-59.0
209.0,-59.0
210.0,-59.0
211.0,-59.0
212.0,-59.0
213.0,-59.0
214.0,-32.89423076923076
215.0,-8.0
216.0,-8.01818181818182
217.0,-8.323232323232322
218.0,-29.351428571428574
219.0,-88.73157647907648
220.0,-99.03541666666666
221.0,-99.07708333333333
222.0,-99.11875
223.0,-99.16041666666666
224.0,-99.20208333333333
225.0,-99.24375
226.0,-99.28291666666665
227.0,-99.29166666666666
228.0,-99.29166666666666
229.0,-99.29166666666666
230.0,-99.29166666666666
231.0,-99.29166666666666
232.0,-99.29166666666666
233.0,-99.29166666666666
234.0,-99.29166666666666
235.0,-99.29166666666666
236.0,-99.29416666666665
237.0,-99.32708333333333
238.0,-99.36875
239.0,-99.41041666666666
240.0,-99.45208333333333
241.0,-99.49375
242.0,-99.53541666666666
243.0,-99.57708333333333
244.0,-99.61875
245.0,-99.66041666666666
246.0,-99.70208333333333
247.0,-99.74375
248.0,-99.78541666666666
249.0,-99.82708333333333
