Time(sec),ASL9LVC97FUCZ
360.0,
361.0,
362.0,
363.0,
364.0,
365.0,
366.0,
367.0,
368.0,
369.0,
370.0,
371.0,
372.0,
373.0,
374.0,-32.0
375.0,-32.0
376.0,-32.0
377.0,-32.0
378.0,-32.0
379.0,-32.0
380.0,-32.0
381.0,-32.0
382.0,-32.0
383.0,-32.0
384.0,-32.0
385.0,-32.0
386.0,-32.0
387.0,-32.0
388.0,-32.0
389.0,-32.0
390.0,-32.0
391.0,-32.0
392.0,-32.0
393.0,-32.0
394.0,-32.0
395.0,-32.0
396.0,-32.0
397.0,-32.0
398.0,-32.0
399.0,-32.0
400.0,-29.405555555555555
401.0,-12.560678733031674
402.0,9.712735326688815
403.0,14.0
404.0,19.892261904761906
405.0,26.436189443239336
406.0,28.501220173535792
407.0,29.729076283441792
408.0,30.56625090383225
409.0,
410.0,
411.0,
412.0,
413.0,
414.0,
415.0,
416.0,
417.0,
418.0,
419.0,
420.0,
421.0,
422.0,
423.0,
424.0,
425.0,
426.0,
427.0,
428.0,
429.0,
430.0,
431.0,
432.0,
433.0,
434.0,
435.0,
436.0,
437.0,
438.0,
439.0,
440.0,
441.0,
442.0,
443.0,
444.0,
445.0,
446.0,
447.0,
448.0,
449.0,
450.0,
451.0,
452.0,
453.0,
454.0,71.36456073752713
455.0,72.14592371655822
456.0,73.26215654374548
457.0,74.37838937093277
458.0,75.49462219812003
459.0,80.17706073752711
460.0,84.0
461.0,84.0
462.0,84.0
463.0,84.0
464.0,84.0
465.0,84.0
466.0,84.0
467.0,84.0
468.0,84.0
469.0,72.87692307692308
470.0,48.69427609427609
471.0,40.46642300194931
472.0,37.854044834307985
473.0,37.147417153996095
474.0,36.440789473684205
475.0,35.73416179337232
476.0,35.23952241715399
477.0,
478.0,
479.0,
480.0,
481.0,
482.0,
483.0,
484.0,
485.0,
486.0,
487.0,
488.0,
489.0,
490.0,
491.0,
492.0,
493.0,
494.0,
495.0,
496.0,
497.0,
498.0,
499.0,
500.0,
501.0,
502.0,
503.0,
504.0,
505.0,
506.0,
507.0,
508.0,
509.0,
510.0,14.5
511.0,14.5
512.0,14.5
513.0,14.5
514.0,14.5
515.0,17.477777777777778
516.0,35.347727272727276
517.0,46.7
518.0,56.540705128205126
519.0,59.0
520.0,59.0
521.0,59.0
522.0,59.0
523.0,59.0
524.0,59.0
525.0,59.0
526.0,59.0
527.0,59.0
528.0,59.0
529.0,59.0
530.0,59.0
531.0,59.0
532.0,59.0
533.0,59.0
534.0,59.0
535.0,59.0
536.0,59.0
537.0,59.0
538.0,59.0
539.0,59.0
540.0,59.0
