Time(sec),AIW4MXW1HBKNH
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-96.56666666666668
11.0,-83.8752380952381
12.0,-68.07708333333332
13.0,-65.0
14.0,-65.0
15.0,-65.0
16.0,-65.0
17.0,-65.0
18.0,-65.0
19.0,-65.0
20.0,-65.0
21.0,-65.0
22.0,-65.0
23.0,-65.0
24.0,-65.0
25.0,-65.0
26.0,-56.902380952380966
27.0,-47.0
28.0,-47.784375
29.0,-57.0
30.0,-57.0
31.0,-55.23
32.0,-39.06
33.0,-38.0
34.0,-38.0
35.0,-28.111666666666668
36.0,-20.168090277777775
37.0,12.892481684981686
38.0,43.36320335366388
39.0,62.34666666666667
40.0,72.0
41.0,67.62920634920634
42.0,22.350140692640693
43.0,0.5246153846153845
44.0,-12.0
45.0,-12.0
46.0,-12.0
47.0,-12.0
48.0,-12.0
49.0,-12.0
50.0,-8.715032679738561
51.0,32.495432263814614
52.0,55.0375
53.0,29.763021978021975
54.0,3.0
55.0,3.0
56.0,3.0
57.0,3.0
58.0,3.0
59.0,3.0
60.0,3.0
61.0,3.0
62.0,3.0
63.0,3.0
64.0,3.0
65.0,3.0
66.0,3.0
67.0,3.0
68.0,3.0
69.0,3.0
70.0,3.0
71.0,3.0
72.0,3.0
73.0,3.0
74.0,3.0
75.0,3.0
76.0,3.0
77.0,3.0
78.0,3.0
79.0,3.0
80.0,3.0
81.0,3.0
82.0,5.5375
83.0,10.924725274725274
84.0,-11.0236161986162
85.0,-46.5632105321579
86.0,-73.86568627450978
87.0,-97.70271291208792
88.0,-100.0
89.0,-100.0
90.0,-100.0
91.0,-100.0
92.0,-100.0
93.0,-100.0
94.0,-100.0
95.0,-100.0
96.0,-100.0
97.0,-100.0
98.0,-98.36875
99.0,-75.15142857142857
100.0,-72.0
101.0,-72.0
102.0,-72.0
103.0,-72.0
104.0,-72.0
105.0,-72.0
106.0,-72.0
107.0,-72.0
108.0,-72.0
109.0,-72.0
110.0,-72.0
111.0,-72.0
112.0,-72.0
113.0,-72.0
114.0,-72.0
115.0,-72.0
116.0,-72.0
117.0,-72.0
118.0,-72.0
119.0,-72.0
120.0,-62.26872252747253
121.0,-37.742393162393164
122.0,-27.0
123.0,-27.0
124.0,-27.0
125.0,-27.0
126.0,-48.2175
127.0,-64.0
128.0,-64.0
129.0,-64.0
130.0,-64.0
131.0,-64.0
132.0,-64.0
133.0,-49.03772054334554
134.0,-15.770386904761903
135.0,-13.0
136.0,-13.0
137.0,-13.0
138.0,-13.0
139.0,-13.0
140.0,-13.0
141.0,-13.0
142.0,-13.0
143.0,-13.0
144.0,-13.0
145.0,-13.0
146.0,-13.0
147.0,-13.0
148.0,-13.0
149.0,-13.0
150.0,-13.0
151.0,-13.0
152.0,-13.0
153.0,-13.0
154.0,-13.0
155.0,-13.0
156.0,-13.0
157.0,-13.0
158.0,-8.10681818181818
159.0,-3.0
160.0,-3.0
161.0,4.809772727272727
162.0,6.0
163.0,6.0
164.0,6.0
165.0,6.0
166.0,6.0
167.0,10.466666666666665
168.0,15.0
169.0,15.0
170.0,25.973809523809525
171.0,27.0
172.0,28.300625000000004
173.0,18.342496114996116
174.0,-25.797410714285718
175.0,-41.0
176.0,-41.0
177.0,-41.0
178.0,-41.0
