Time(sec),AIW4MXW1HBKNH
179.0,-41.0
180.0,-41.0
181.0,-41.0
182.0,-41.0
183.0,-41.0
184.0,-41.0
185.0,-40.89411764705882
186.0,-32.28
187.0,-32.0
188.0,-32.0
189.0,-32.0
190.0,-32.0
191.0,-32.0
192.0,-32.0
193.0,-32.0
194.0,-32.0
195.0,-32.0
196.0,-31.409166666666664
197.0,2.5080919489007725
198.0,7.0
199.0,10.2
200.0,35.0
201.0,27.8
202.0,18.01875
203.0,16.0
204.0,16.0
205.0,-1.4579335016835018
206.0,-16.196186166774403
207.0,-24.77111111111111
208.0,-25.0
209.0,-25.0
210.0,-25.0
211.0,-25.0
212.0,-25.0
213.0,-25.0
214.0,-25.0
215.0,-25.0
216.0,-25.0
217.0,-18.41642107892108
218.0,16.031751332100914
219.0,71.54151218062984
220.0,100.0
221.0,58.35487012987013
222.0,39.0
223.0,39.0
224.0,50.3875
225.0,63.92918367346939
226.0,68.0
227.0,68.0
228.0,68.0
229.0,68.0
230.0,68.0
231.0,68.0
232.0,68.0
233.0,68.0
234.0,68.0
235.0,68.0
236.0,68.0
237.0,68.0
238.0,68.0
239.0,68.0
240.0,68.0
241.0,68.0
242.0,68.0
243.0,68.0
244.0,68.0
245.0,68.0
246.0,68.0
247.0,68.0
248.0,61.26154100529101
249.0,14.33528439153439
250.0,-31.364325396825393
251.0,-64.8
252.0,-65.0
253.0,-65.0
254.0,-65.0
255.0,-65.0
256.0,-65.0
257.0,-65.0
258.0,-65.0
259.0,-65.0
260.0,-65.0
261.0,-65.0
262.0,-65.0
263.0,-65.0
264.0,-59.767857142857146
265.0,-51.276666666666664
266.0,-51.0
267.0,-51.0
268.0,-51.0
269.0,-51.0
270.0,-51.0
271.0,-51.0
272.0,-51.0
273.0,-51.0
274.0,-51.0
275.0,-51.0
276.0,-51.0
277.0,-51.0
278.0,-51.0
279.0,-51.0
280.0,-31.856785714285714
281.0,-16.0
282.0,-16.0
283.0,-0.6006944444444443
284.0,17.49607142857143
285.0,29.63611111111111
286.0,36.0
287.0,39.085256410256406
288.0,48.666666666666664
289.0,53.84159544159545
290.0,55.98148148148148
291.0,56.0
292.0,56.0
293.0,56.0
294.0,56.0
295.0,56.0
296.0,56.0
297.0,56.0
298.0,56.0
299.0,56.0
300.0,56.0
301.0,56.0
302.0,56.0
303.0,56.0
304.0,56.0
305.0,56.0
306.0,56.0
307.0,56.0
308.0,59.925892857142856
309.0,68.3
310.0,70.0
311.0,70.0
312.0,70.0
313.0,70.0
314.0,70.0
315.0,70.0
316.0,70.0
317.0,70.0
318.0,70.0
319.0,70.0
320.0,70.0
321.0,70.0
322.0,57.16208333333333
323.0,22.70416666666667
324.0,14.0
325.0,14.0
326.0,14.0
327.0,14.0
328.0,14.0
329.0,14.6875
330.0,52.85436507936508
331.0,54.688989898989895
332.0,31.174814814814816
333.0,46.504079485329484
334.0,-10.103373093374373
335.0,-55.5966368286445
336.0,-65.0
337.0,-65.0
338.0,-65.0
339.0,-65.0
340.0,-65.0
341.0,-65.0
342.0,-65.0
343.0,-65.0
344.0,-65.0
345.0,-65.0
346.0,-65.0
347.0,-65.0
348.0,-61.51666666666667
349.0,-58.0
350.0,-58.0
351.0,-58.0
352.0,-58.0
353.0,-58.0
354.0,-58.0
355.0,-58.0
356.0,-58.0
357.0,-58.0
358.0,-58.0
359.0,-58.0
360.0,-58.0
361.0,-58.0
362.0,-58.0
363.0,-58.0
364.0,-58.0
365.0,-58.0
366.0,-58.0
367.0,-58.0
368.0,-58.0
369.0,-58.0
370.0,-58.0
371.0,-58.0
372.0,-58.0
373.0,-58.0
374.0,-58.0
375.0,-58.0
376.0,-58.0
377.0,-58.0
378.0,-58.0
379.0,-58.0
380.0,-58.0
381.0,-58.0
382.0,-58.0
383.0,-58.0
384.0,-58.0
385.0,-58.0
386.0,-58.0
387.0,-58.0
388.0,-58.0
389.0,-58.0
390.0,-58.0
391.0,-58.0
392.0,-58.0
393.0,-58.0
394.0,-57.839999999999996
395.0,-28.09297619047619
396.0,-19.0
397.0,-19.0
398.0,-19.0
399.0,-19.0
400.0,-19.0
401.0,-19.0
402.0,-19.0
403.0,-19.0
404.0,-19.0
405.0,-19.0
406.0,-19.0
407.0,-19.0
408.0,-19.0
409.0,-19.0
410.0,-26.538611111111113
411.0,-64.15212301587302
412.0,-69.0
413.0,-69.24
414.0,-80.86666666666667
415.0,-85.0
416.0,-85.0
417.0,-85.0
418.0,-85.0
419.0,-85.0
420.0,-85.0
421.0,-85.0
422.0,-85.0
423.0,-85.0
424.0,-85.0
425.0,-85.0
426.0,-83.13636363636364
427.0,-81.25000000000001
428.0,-76.84848484848486
429.0,-52.18219298245615
430.0,-25.1006828109018
431.0,12.941071428571428
432.0,59.77736111111111
433.0,64.68392857142857
434.0,24.73641304347826
435.0,-2.6734217171717174
436.0,-14.0
437.0,-14.0
438.0,-14.0
439.0,-14.0
440.0,-15.169999999999998
441.0,-34.78958333333334
442.0,-36.0
443.0,-36.0
444.0,-36.23157051282051
445.0,-48.651944444444446
446.0,-52.66382575757575
447.0,-54.0
448.0,-54.0
449.0,-54.0
450.0,-54.0
451.0,-54.0
452.0,-54.0
453.0,-54.0
454.0,-46.116641269841274
455.0,-51.72970230062335
456.0,-60.0
457.0,-60.0
458.0,-60.0
459.0,-60.0
460.0,-60.0
461.0,-60.0
462.0,-60.0
463.0,-60.0
464.0,-60.0
465.0,-60.0
466.0,-60.0
467.0,-60.0
468.0,-60.0
469.0,-60.0
470.0,-57.37660891555439
471.0,-33.51261119081779
472.0,11.022308612440192
473.0,6.3985714285714295
474.0,-7.500925925925927
475.0,0.6770662768031184
476.0,50.3924073771385
477.0,62.0
478.0,45.84562403077173
479.0,0.145709671744223
480.0,-23.379588014981273
481.0,-31.952996254681647
482.0,-37.64250936329588
483.0,-41.00224719101123
484.0,-43.989138576779034
485.0,-46.46516853932584
486.0,-49.0870552434457
487.0,-64.90060056631349
488.0,-78.1082042957043
489.0,-84.0
490.0,-84.0
491.0,-84.0
492.0,-84.0
493.0,-84.0
494.0,-84.0
495.0,-84.0
496.0,-84.0
497.0,-84.0
498.0,-84.0
499.0,-84.0
500.0,-84.0
501.0,-84.0
502.0,-84.0
503.0,-84.0
504.0,-84.0
505.0,-84.0
506.0,-84.0
507.0,-84.0
508.0,-84.0
509.0,-84.0
510.0,-87.26846153846154
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-97.67222222222222
525.0,-95.0
526.0,-95.0
527.0,-95.0
528.0,-95.0
529.0,-94.0862962962963
530.0,-88.0
531.0,-88.0
532.0,-87.10933493589744
533.0,-73.95097902097902
534.0,-79.65483821733821
535.0,-87.0
536.0,-87.0
537.0,-87.0
538.0,-87.0
539.0,-87.0
540.0,-87.0
541.0,-87.0
542.0,-87.0
543.0,-87.0
544.0,-87.0
545.0,-87.0
546.0,-85.96114718614719
547.0,-61.71135397789345
548.0,-45.0
549.0,-45.0
550.0,-45.0
551.0,-45.0
552.0,-45.0
553.0,-62.42888888888888
554.0,-70.0
555.0,-70.0
556.0,-70.0
557.0,-70.0
558.0,-70.0
559.0,-70.0
560.0,-70.0
561.0,-70.0
562.0,-70.0
563.0,-70.0
564.0,-70.0
565.0,-70.0
566.0,-70.0
567.0,-70.0
568.0,-70.0
569.0,-70.0
570.0,-70.0
571.0,-70.0
572.0,-70.0
573.0,-70.0
574.0,-70.0
575.0,-70.51875
576.0,-77.85
577.0,-78.0
578.0,-78.0
579.0,-78.0
580.0,-78.0
581.0,-78.0
582.0,-78.0
583.0,-78.0
584.0,-78.0
585.0,-78.0
586.0,-67.22925
587.0,-46.0
588.0,-45.875
589.0,-41.0
590.0,-43.0
591.0,-60.516666666666666
592.0,-62.0
593.0,-62.0
594.0,-62.0
595.0,-62.0
596.0,-62.0
597.0,-73.32693223443223
598.0,-78.0
599.0,-78.0
600.0,-78.0
601.0,-78.0
602.0,-78.0
603.0,-78.0
604.0,-78.0
605.0,-78.0
606.0,-78.0
607.0,-78.0
608.0,-78.0
609.0,-78.0
610.0,-78.0
611.0,-78.0
612.0,-78.0
613.0,-78.0
614.0,-78.0
615.0,-78.0
616.0,-78.0
617.0,-78.0
618.0,-78.0
619.0,-78.0
620.0,-84.01404761904762
621.0,-85.0
622.0,-85.0
623.0,-85.0
624.0,-85.0
625.0,-85.0
626.0,-85.0
627.0,-85.0
628.0,-85.0
629.0,-85.0
630.0,-85.0
631.0,-85.0
632.0,-85.0
633.0,-85.0
634.0,-85.0
635.0,-85.0
636.0,-85.0
637.0,-85.0
638.0,-85.0
639.0,-85.0
640.0,-85.0
641.0,-85.0
642.0,-85.0
643.0,-85.0
644.0,-85.0
645.0,-85.0
646.0,-85.0
647.0,-77.27792207792207
648.0,-72.0
649.0,-72.0
650.0,-72.0
651.0,-72.0
652.0,-72.0
653.0,-72.0
654.0,-72.0
655.0,-72.0
656.0,-72.0
657.0,-72.0
658.0,-72.0
659.0,-72.0
660.0,-72.0
661.0,-72.0
662.0,-72.0
663.0,-72.0
664.0,-72.0
665.0,-72.0
666.0,-72.0
667.0,-72.0
668.0,-53.84467592592593
669.0,-45.0
670.0,-40.07095238095238
671.0,-10.425176767676767
672.0,-30.89366666666667
673.0,-50.686706349206354
674.0,-60.0
675.0,-60.0
676.0,-62.43397435897435
677.0,-81.19769841269843
678.0,-93.3509126984127
679.0,-97.0
680.0,-97.0
681.0,-97.0
682.0,-97.0
683.0,-97.0
684.0,-97.0
685.0,-97.0
686.0,-97.0
687.0,-97.0
688.0,-97.0
689.0,-97.0
690.0,-97.0
691.0,-97.0
692.0,-97.0
693.0,-97.0
694.0,-97.0
695.0,-97.0
696.0,-97.0
697.0,-97.0
698.0,-97.0
699.0,-97.0
700.0,-97.0
701.0,-97.0
702.0,-97.0
